
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
5301,Vinnie Johnson,1985-86,29,DET,NBA,79,12,1978,8.5,18.1,8.4,17.9,0.0,0.2,3.0,3.9,2.2,1.9,4.1,4.9,1.5,0.4,1.6,3.3,20.0,.467,.471,.154,.468,.771,.503
5302,Vinnie Johnson,1986-87,30,DET,NBA,78,8,2166,8.9,19.2,8.8,18.9,0.1,0.2,2.6,3.3,2.0,2.2,4.3,5.0,1.5,0.3,2.2,2.6,20.4,.462,.464,.286,.464,.786,.494
5303,Vinnie Johnson,1987-88,31,DET,NBA,82,1,1935,7.9,17.8,7.8,17.4,0.1,0.4,2.7,4.0,1.7,2.6,4.3,5.0,1.1,0.3,2.8,3.1,18.6,.443,.449,.208,.446,.677,.475
5304,Vinnie Johnson,1988-89,32,DET,NBA,82,21,2073,8.0,17.3,7.8,16.5,0.2,0.8,3.4,4.6,1.9,2.5,4.4,4.2,1.3,0.3,1.8,2.7,19.6,.464,.472,.295,.470,.734,.508
5305,Vinnie Johnson,1989-90,33,DET,NBA,82,12,1972,6.1,14.1,6.0,13.5,0.1,0.6,2.4,3.6,2.0,2.7,4.7,4.7,1.3,0.2,2.2,2.6,14.7,.431,.444,.147,.434,.668,.467
5306,Vinnie Johnson,1990-91,34,DET,NBA,82,28,2390,6.1,14.1,5.9,13.6,0.2,0.5,2.0,3.1,1.7,2.6,4.2,4.1,1.1,0.2,1.8,2.5,14.4,.434,.438,.324,.440,.646,.466
5307,Steve Johnson,1981-82,24,KCK,NBA,78,50,1741,8.2,13.3,8.2,13.3,0.0,0.0,4.4,6.8,3.1,6.3,9.5,1.9,0.8,1.8,4.1,7.7,20.7,.613,.613,,.613,.642,.635
5308,Steve Johnson,1982-83,25,KCK,NBA,79,21,1544,8.7,13.9,8.7,13.9,0.0,0.0,4.3,7.6,3.3,6.0,9.3,2.2,0.9,1.9,4.2,7.5,21.6,.624,.624,,.624,.574,.629
5309,Steve Johnson,1983-84,26,TOT,NBA,81,21,1487,7.3,13.1,7.3,13.1,0.0,0.0,4.0,6.9,3.9,6.2,10.1,2.0,0.9,1.7,4.0,7.4,18.6,.559,.559,,.559,.575,.577
