
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4801,Bill Laimbeer,1990-91,33,DET,NBA,82,81,2668,5.0,10.5,4.5,8.8,0.5,1.7,1.7,2.0,2.3,7.6,9.9,2.1,0.5,0.8,1.3,3.3,12.2,.478,.513,.296,.502,.837,.536
4802,Bill Laimbeer,1991-92,34,DET,NBA,81,46,2234,5.5,11.7,5.0,10.3,0.5,1.4,1.1,1.2,1.7,5.6,7.3,2.6,0.8,0.9,1.6,3.6,12.6,.470,.483,.376,.492,.893,.515
4803,Bill Laimbeer,1992-93,35,DET,NBA,79,41,1933,5.4,10.7,5.3,10.2,0.2,0.5,1.7,1.9,2.0,5.8,7.8,2.4,0.9,0.7,1.1,3.9,12.8,.509,.516,.370,.517,.894,.554
4804,Tom LaGarde,1977-78,22,DEN,NBA,77,,868,4.0,9.8,4.0,9.8,,,4.7,6.2,3.1,5.8,8.9,1.9,0.7,0.7,4.2,6.1,12.7,.405,.405,,.405,.760,.505
4805,Tom LaGarde,1979-80,24,SEA,NBA,82,,1164,4.5,9.5,4.5,9.5,0.0,0.0,2.8,4.2,3.9,5.7,9.6,2.8,0.6,1.1,3.0,6.4,11.8,.477,.477,,.477,.657,.521
4806,Tom LaGarde,1980-81,25,DAL,NBA,82,,2670,5.6,12.0,5.6,12.0,0.0,0.0,3.9,6.0,2.4,6.6,9.0,3.2,0.5,0.6,2.8,4.0,15.1,.470,.470,,.470,.649,.518
4807,Raef LaFrentz,1999-00,23,DEN,NBA,81,80,2435,5.8,13.0,4.9,10.3,0.9,2.7,2.4,3.5,2.5,7.0,9.5,1.4,0.6,2.7,1.4,4.3,14.9,.446,.477,.328,.480,.686,.512
4808,Raef LaFrentz,2000-01,24,DEN,NBA,78,74,2457,5.7,11.9,4.9,9.9,0.7,2.0,2.7,3.8,2.5,6.4,8.9,1.6,0.5,3.0,1.4,4.2,14.8,.477,.499,.367,.508,.698,.544
4809,Raef LaFrentz,2001-02,25,TOT,NBA,78,76,2455,6.2,13.5,4.6,9.6,1.5,3.9,1.5,2.2,2.6,5.9,8.5,1.3,0.8,3.1,1.4,4.1,15.4,.458,.486,.388,.514,.695,.533
4810,Raef LaFrentz,2004-05,28,BOS,NBA,80,80,2196,5.6,11.3,4.2,7.6,1.3,3.7,2.0,2.4,2.5,6.5,9.1,1.6,0.7,1.6,1.1,4.3,14.5,.496,.559,.364,.555,.811,.587
4811,Raef LaFrentz,2005-06,29,BOS,NBA,82,63,2033,4.2,9.8,2.2,4.7,2.0,5.1,0.9,1.3,1.4,5.8,7.2,2.0,0.5,1.3,1.2,4.8,11.3,.431,.474,.392,.533,.680,.546
4812,Christian Laettner,1992-93,23,MIN,NBA,81,81,2823,6.4,13.5,6.4,13.0,0.1,0.5,5.9,7.1,2.2,6.8,9.0,2.8,1.3,1.1,3.5,3.7,18.8,.474,.489,.100,.476,.835,.564
4813,Christian Laettner,1993-94,24,MIN,NBA,70,67,2428,5.9,13.1,5.8,12.7,0.1,0.4,5.6,7.1,2.4,6.6,8.9,4.6,1.3,1.3,3.8,3.9,17.4,.448,.455,.240,.452,.783,.536
4814,Christian Laettner,1994-95,25,MIN,NBA,81,80,2770,5.8,12.0,5.7,11.4,0.2,0.5,5.3,6.5,2.1,5.8,8.0,3.0,1.3,1.1,2.9,3.9,17.2,.489,.497,.325,.496,.818,.580
4815,Christian Laettner,1995-96,26,TOT,NBA,74,71,2495,6.4,13.1,6.2,12.5,0.1,0.6,4.7,5.7,2.7,5.1,7.8,2.8,1.0,1.0,2.7,4.0,17.6,.487,.499,.231,.492,.818,.563
4816,Christian Laettner,1996-97,27,ATL,NBA,82,82,3140,6.3,12.9,5.9,11.9,0.4,1.0,4.1,5.0,2.4,5.8,8.3,2.6,1.2,0.7,2.5,3.2,17.0,.486,.497,.352,.500,.816,.562
4817,Christian Laettner,1997-98,28,ATL,NBA,74,49,2282,5.6,11.5,5.5,11.1,0.1,0.4,4.8,5.6,2.2,5.4,7.7,3.0,1.1,1.2,2.9,3.9,16.1,.485,.495,.222,.489,.864,.576
4818,Christian Laettner,1999-00,30,DET,NBA,82,82,2443,5.6,11.8,5.5,11.4,0.1,0.4,3.5,4.3,2.6,5.6,8.1,2.7,1.2,0.7,2.7,4.8,14.8,.473,.479,.292,.478,.812,.539
4819,Christian Laettner,2000-01,31,TOT,NBA,78,48,1663,6.0,11.9,5.9,11.6,0.1,0.3,3.7,4.4,2.6,5.3,7.9,2.7,1.5,1.0,3.0,5.2,15.8,.503,.507,.308,.506,.833,.568
4820,Christian Laettner,2002-03,33,WAS,NBA,76,66,2215,4.1,8.4,4.1,8.1,0.0,0.3,2.0,2.3,1.9,6.3,8.2,3.8,1.3,0.7,1.4,3.3,10.3,.494,.506,.125,.496,.833,.545
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4821,Fred LaCour,1960-61,22,STL,NBA,55,,722,6.1,14.7,6.1,14.7,,,3.1,4.2,,,8.9,4.2,,,,3.6,15.4,.417,.417,,.417,.750,.465
4822,Fred LaCour,1961-62,23,STL,NBA,73,,1507,5.5,12.8,5.5,12.8,,,2.5,3.1,,,6.5,4.0,,,,4.0,13.5,.429,.429,,.429,.815,.477
4823,Sam Lacey,1970-71,22,CIN,NBA,81,,2648,6.3,15.2,6.3,15.2,,,2.1,3.1,,,12.4,1.6,,,,3.7,14.8,.418,.418,,.418,.687,.448
4824,Sam Lacey,1971-72,23,CIN,NBA,81,,2832,5.2,12.4,5.2,12.4,,,1.5,2.1,,,12.3,2.2,,,,3.6,11.9,.422,.422,,.422,.704,.449
4825,Sam Lacey,1972-73,24,KCO,NBA,79,,2930,5.8,12.2,5.8,12.2,,,1.5,2.2,,,11.5,2.3,,,,3.5,13.1,.474,.474,,.474,.708,.498
4826,Sam Lacey,1973-74,25,KCO,NBA,79,,3107,5.4,11.4,5.4,11.4,,,2.1,2.9,3.4,8.8,12.2,3.5,1.5,2.1,,2.9,13.0,.476,.476,,.476,.749,.513
4827,Sam Lacey,1974-75,26,KCO,NBA,81,,3378,4.2,9.8,4.2,9.8,,,1.5,2.0,2.4,9.8,12.2,4.6,1.5,1.8,,2.9,9.9,.427,.427,,.427,.754,.464
4828,Sam Lacey,1975-76,27,KCK,NBA,81,,3083,4.8,11.9,4.8,11.9,,,2.5,3.3,2.5,9.4,12.0,4.4,1.5,1.6,,3.3,12.1,.401,.401,,.401,.759,.452
4829,Sam Lacey,1976-77,28,KCK,NBA,82,,2595,4.5,10.7,4.5,10.7,,,3.0,3.9,2.6,7.6,10.2,5.4,1.7,1.8,,4.1,12.1,.422,.422,,.422,.762,.484
4830,Sam Lacey,1977-78,29,KCK,NBA,77,,2131,4.5,10.0,4.5,10.0,,,2.3,3.2,2.6,8.2,10.8,5.1,2.0,1.8,3.1,4.5,11.2,.449,.449,,.449,.717,.494
4831,Sam Lacey,1978-79,30,KCK,NBA,82,,2627,4.8,9.6,4.8,9.6,,,2.3,3.1,2.5,7.2,9.6,5.9,1.5,1.9,3.4,4.2,11.9,.502,.502,,.502,.739,.544
4832,Sam Lacey,1979-80,31,KCK,NBA,81,,2412,4.5,10.1,4.5,10.1,0.0,0.0,2.0,2.8,2.6,7.1,9.6,6.9,1.7,1.6,3.1,4.6,11.1,.448,.448,.000,.448,.741,.490
4833,Sam Lacey,1980-81,32,KCK,NBA,82,,2228,3.8,8.7,3.8,8.6,0.0,0.1,1.5,1.9,2.1,7.3,9.4,6.4,1.5,1.9,2.9,4.9,9.2,.442,.444,.200,.443,.786,.483
4834,C.J. Kupec,1976-77,24,LAL,NBA,82,,908,6.1,13.6,6.1,13.6,,,3.1,4.0,3.0,4.9,7.9,2.1,0.7,0.2,,4.5,15.2,.447,.447,,.447,.772,.497
4835,Mitch Kupchak,1976-77,22,WSB,NBA,82,,1513,8.1,14.2,8.1,14.2,,,4.0,5.9,4.4,7.4,11.8,1.5,0.5,0.8,,4.9,20.3,.572,.572,,.572,.691,.605
4836,Mitch Kupchak,1980-81,26,WSB,NBA,82,,1934,7.3,13.9,7.3,13.9,0.0,0.0,4.5,6.3,3.7,6.9,10.6,1.2,0.7,0.5,3.0,3.6,19.1,.525,.525,.000,.525,.706,.571
4837,Kevin Kunnert,1974-75,23,HOU,NBA,75,,1801,6.9,13.5,6.9,13.5,,,2.3,3.4,4.3,8.3,12.6,2.2,0.7,1.7,,4.5,16.2,.512,.512,,.512,.686,.538
4838,Kevin Kunnert,1975-76,24,HOU,NBA,80,,2335,7.2,14.7,7.2,14.7,,,1.6,2.4,4.1,8.0,12.1,2.4,0.9,1.6,,4.9,15.9,.487,.487,,.487,.654,.505
4839,Kevin Kunnert,1976-77,25,HOU,NBA,81,,2050,5.8,12.0,5.8,12.0,,,1.6,2.2,3.7,8.1,11.7,2.7,0.6,1.8,,6.3,13.3,.486,.486,,.486,.738,.513
4840,Kevin Kunnert,1977-78,26,HOU,NBA,80,,2152,6.2,14.1,6.2,14.1,,,1.6,2.3,4.4,7.2,11.6,1.6,0.7,1.5,2.4,5.3,13.9,.437,.437,,.437,.689,.460
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4841,Kevin Kunnert,1978-79,27,SDC,NBA,81,,1684,5.0,10.7,5.0,10.7,,,1.2,1.8,4.3,7.8,12.2,2.4,1.0,2.5,3.0,6.6,11.2,.467,.467,,.467,.659,.487
4842,Toni Kukoc,1993-94,25,CHI,NBA,75,8,1808,6.2,14.5,5.6,12.1,0.6,2.3,3.1,4.2,2.0,4.0,5.9,5.0,1.6,0.7,3.3,2.4,16.2,.431,.462,.271,.453,.743,.497
4843,Toni Kukoc,1994-95,26,CHI,NBA,81,55,2584,6.8,13.5,5.9,10.7,0.9,2.8,3.3,4.4,2.2,4.0,6.1,5.2,1.4,0.2,2.3,2.3,17.7,.504,.553,.313,.536,.748,.575
4844,Toni Kukoc,1995-96,27,CHI,NBA,81,20,2103,6.6,13.5,5.1,9.8,1.5,3.7,3.5,4.6,2.0,3.6,5.5,4.9,1.1,0.5,2.0,2.6,18.2,.490,.524,.403,.546,.772,.589
4845,Toni Kukoc,1997-98,29,CHI,NBA,74,52,2235,6.2,13.5,5.2,10.7,1.0,2.8,2.5,3.5,1.9,3.3,5.3,5.1,1.2,0.6,2.5,2.4,15.8,.455,.480,.362,.493,.708,.525
4846,Toni Kukoc,1998-99,30,CHI,NBA,44,44,1654,6.9,16.3,6.0,13.3,0.8,3.0,3.5,4.7,1.4,5.3,6.7,5.1,1.1,0.2,2.6,1.8,18.0,.420,.450,.285,.446,.740,.490
4847,Toni Kukoc,2003-04,35,MIL,NBA,73,0,1522,5.0,12.0,3.8,8.0,1.2,4.0,3.4,4.7,1.4,5.0,6.4,4.7,1.4,0.5,2.6,2.6,14.6,.417,.479,.292,.465,.729,.519
4848,John Kuester,1977-78,22,KCK,NBA,78,,1215,4.3,9.5,4.3,9.5,,,2.6,3.1,0.6,2.8,3.4,7.5,1.7,0.0,2.9,4.2,11.2,.455,.455,,.455,.829,.516
4849,Frank Kudelka,1951-52,26,BLB,NBA,65,,1583,4.6,14.0,4.6,14.0,,,4.5,5.9,,,6.3,4.2,,,,5.0,13.8,.332,.332,,.332,.767,.416
4850,Steve Kuberski,1970-71,23,BOS,NBA,82,,1867,6.0,14.4,6.0,14.4,,,2.6,3.5,,,10.4,1.5,,,,3.8,14.6,.420,.420,,.420,.727,.460
4851,Steve Kuberski,1971-72,24,BOS,NBA,71,,1128,5.9,14.2,5.9,14.2,,,2.6,3.3,,,10.2,1.5,,,,4.1,14.4,.417,.417,,.417,.784,.460
4852,Steve Kuberski,1972-73,25,BOS,NBA,78,,762,6.6,16.4,6.6,16.4,,,3.1,4.0,,,9.3,1.2,,,,4.3,16.3,.403,.403,,.403,.774,.449
4853,Steve Kuberski,1973-74,26,BOS,NBA,78,,985,5.7,13.4,5.7,13.4,,,3.1,4.1,3.5,5.2,8.7,1.4,0.3,0.3,,4.6,14.6,.427,.427,,.427,.775,.480
4854,Steve Kuberski,1975-76,28,TOT,NBA,70,,967,5.0,10.8,5.0,10.8,,,2.6,2.9,3.4,6.3,9.6,1.7,0.4,0.5,,5.0,12.7,.464,.464,,.464,.899,.523
4855,Steve Kuberski,1976-77,29,BOS,NBA,76,,860,5.5,13.1,5.5,13.1,,,2.6,3.5,3.2,5.6,8.7,1.6,0.3,0.2,,3.7,13.6,.420,.420,,.420,.759,.466
4856,Larry Krystkowiak,1988-89,24,MIL,NBA,80,77,2472,5.3,11.2,5.2,11.0,0.1,0.2,4.2,5.1,2.9,6.0,8.9,1.6,1.4,0.1,2.1,3.2,14.8,.473,.475,.333,.475,.823,.552
4857,Larry Krystkowiak,1991-92,27,MIL,NBA,79,16,1848,5.7,12.9,5.7,12.8,0.0,0.1,2.5,3.3,2.6,5.8,8.4,2.2,1.1,0.2,2.2,4.2,13.9,.444,.447,.000,.444,.757,.486
4858,Larry Krystkowiak,1992-93,28,UTA,NBA,71,0,1362,5.2,11.2,5.2,11.2,0.0,0.0,3.1,3.9,2.0,5.4,7.4,1.8,1.1,0.3,1.6,4.8,13.6,.466,.467,.000,.466,.796,.524
4859,Nenad Krstic,2004-05,21,NJN,NBA,75,57,1965,5.1,10.4,5.1,10.4,0.0,0.0,3.4,4.7,2.9,4.4,7.3,1.4,0.6,1.2,2.1,5.1,13.7,.493,.495,.000,.493,.725,.547
4860,Nenad Krstic,2005-06,22,NJN,NBA,80,80,2469,6.5,12.8,6.5,12.8,0.0,0.1,2.7,3.9,2.7,4.8,7.5,1.3,0.5,0.9,1.9,4.3,15.7,.507,.509,.250,.508,.698,.541
