
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
5201,Nick Jones,1970-71,25,SFW,NBA,81,,1183,6.8,15.9,6.8,15.9,,,3.4,4.6,,,3.3,3.4,,,,5.8,17.1,.430,.430,,.430,.735,.476
5202,Major Jones,1979-80,26,HOU,NBA,82,,1545,4.4,9.1,4.4,9.1,0.0,0.1,1.4,2.5,3.4,5.5,8.9,1.6,1.2,1.6,2.6,4.3,10.2,.480,.481,.333,.481,.565,.498
5203,Larry Jones,1973-74,31,PHI,NBA,72,,1876,5.0,11.9,5.0,11.9,,,3.8,4.5,1.4,2.2,3.5,4.4,1.6,0.3,,2.2,13.9,.423,.423,,.423,.838,.498
5204,K.C. Jones*,1959-60,27,BOS,NBA,74,,1274,4.8,11.7,4.8,11.7,,,3.6,4.8,,,5.6,5.3,,,,3.1,13.2,.408,.408,,.408,.753,.477
5205,K.C. Jones*,1960-61,28,BOS,NBA,78,,1605,4.6,13.5,4.6,13.5,,,4.2,6.3,,,6.3,5.7,,,,4.3,13.3,.338,.338,,.338,.664,.409
5206,K.C. Jones*,1961-62,29,BOS,NBA,80,,2054,5.2,12.7,5.2,12.7,,,2.6,4.1,,,5.2,6.0,,,,3.6,12.9,.406,.406,,.406,.634,.445
5207,K.C. Jones*,1962-63,30,BOS,NBA,79,,1945,4.3,10.9,4.3,10.9,,,2.1,3.3,,,4.9,5.9,,,,4.1,10.6,.389,.389,,.389,.633,.428
5208,K.C. Jones*,1963-64,31,BOS,NBA,80,,2424,4.2,10.7,4.2,10.7,,,1.3,2.5,,,5.5,6.0,,,,3.8,9.7,.392,.392,,.392,.524,.411
5209,K.C. Jones*,1964-65,32,BOS,NBA,78,,2434,3.7,9.5,3.7,9.5,,,2.1,3.4,,,4.7,6.5,,,,3.9,9.6,.396,.396,,.396,.630,.439
5210,K.C. Jones*,1965-66,33,BOS,NBA,80,,2710,3.2,8.2,3.2,8.2,,,2.8,4.0,,,4.0,6.7,,,,3.2,9.2,.388,.388,,.388,.690,.458
5211,K.C. Jones*,1966-67,34,BOS,NBA,78,,2446,2.7,6.8,2.7,6.8,,,1.8,2.8,,,3.5,5.7,,,,4.0,7.1,.397,.397,,.397,.630,.445
5212,Jumaine Jones,2001-02,22,CLE,NBA,81,36,2142,4.8,10.8,3.9,7.9,0.9,2.8,0.8,1.1,2.1,6.1,8.2,1.9,1.3,0.8,1.3,3.1,11.3,.448,.498,.310,.489,.662,.501
5213,Jumaine Jones,2002-03,23,CLE,NBA,80,12,2204,5.0,11.6,3.2,6.5,1.8,5.1,0.9,1.4,1.7,4.9,6.6,1.8,1.1,0.4,1.7,2.9,12.8,.434,.497,.354,.512,.687,.525
5214,Jumaine Jones,2004-05,25,LAL,NBA,76,23,1830,4.1,9.6,2.1,4.4,2.0,5.1,1.1,1.5,2.1,5.7,7.8,1.3,0.9,0.5,1.0,3.2,11.4,.432,.480,.391,.537,.733,.556
5215,Jumaine Jones,2005-06,26,CHA,NBA,76,42,2089,5.1,12.7,3.2,6.9,2.0,5.8,1.5,2.1,1.8,4.7,6.5,1.1,1.2,0.4,1.3,3.4,13.8,.405,.456,.343,.483,.727,.506
5216,Jimmy Jones,1974-75,30,WSB,NBA,73,,1424,5.2,10.1,5.2,10.1,,,2.6,3.6,0.9,2.6,3.5,4.1,1.9,0.3,,4.8,13.1,.518,.518,,.518,.725,.559
5217,James Jones,2004-05,24,IND,NBA,75,24,1330,3.4,8.6,1.6,4.1,1.8,4.5,1.4,1.7,1.1,3.7,4.7,1.5,0.8,0.8,1.2,3.3,10.0,.396,.395,.398,.500,.855,.537
5218,James Jones,2005-06,25,PHO,NBA,75,24,1772,4.9,11.8,2.7,6.0,2.2,5.8,2.1,2.5,0.9,4.2,5.1,1.2,0.8,1.0,0.7,2.9,14.2,.418,.449,.386,.513,.851,.551
5219,James Jones,2006-07,26,PHO,NBA,76,7,1376,4.2,11.5,1.9,5.3,2.4,6.2,1.9,2.1,0.9,3.7,4.6,1.2,0.7,1.1,0.7,3.0,12.7,.368,.356,.378,.470,.877,.510
5220,James Jones,2010-11,30,MIA,NBA,81,8,1549,3.4,8.0,0.5,1.4,2.9,6.7,1.4,1.7,0.5,3.2,3.7,1.0,0.7,0.4,0.5,3.0,11.0,.422,.390,.429,.600,.833,.629
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
5221,Fred Jones,2003-04,24,IND,NBA,81,2,1508,2.9,7.4,2.3,5.3,0.6,2.1,3.0,3.6,0.6,2.4,3.0,4.1,1.6,0.4,1.7,3.2,9.5,.395,.432,.303,.439,.832,.527
5222,Fred Jones,2004-05,25,IND,NBA,77,14,2268,4.4,10.3,3.0,6.6,1.4,3.6,2.8,3.3,0.5,3.3,3.8,3.1,1.0,0.5,1.8,2.7,12.9,.425,.450,.380,.492,.850,.551
5223,Fred Jones,2007-08,28,NYK,NBA,70,26,1757,3.7,8.9,2.2,4.9,1.5,3.9,1.9,2.6,0.6,2.9,3.5,3.4,1.0,0.4,1.6,2.9,10.9,.421,.450,.385,.507,.746,.546
5224,Edgar Jones,1982-83,26,TOT,NBA,77,28,1658,5.1,10.4,5.1,10.2,0.0,0.2,4.4,6.2,3.0,6.8,9.7,1.9,0.9,2.3,3.2,5.8,14.7,.495,.500,.222,.497,.703,.560
5225,Edgar Jones,1983-84,27,SAS,NBA,81,33,1770,6.5,13.1,6.4,12.7,0.1,0.4,3.6,4.9,2.9,6.2,9.1,1.7,1.3,2.2,2.5,6.1,16.8,.500,.506,.316,.505,.727,.550
5226,Eddie Jones,1995-96,24,LAL,NBA,70,66,2184,5.6,11.3,4.2,7.5,1.4,3.7,2.2,3.0,0.7,3.1,3.8,4.1,2.1,0.7,1.6,2.7,14.7,.492,.555,.366,.553,.739,.583
5227,Eddie Jones,1996-97,25,LAL,NBA,80,80,2998,5.7,13.0,3.9,8.3,1.8,4.7,3.3,4.0,1.1,2.8,3.9,3.2,2.3,0.6,2.0,2.7,16.5,.438,.464,.391,.508,.819,.559
5228,Eddie Jones,1997-98,26,LAL,NBA,80,80,2910,6.0,12.4,4.2,7.9,1.8,4.6,2.9,3.8,1.1,2.7,3.7,3.0,2.0,0.7,1.8,2.0,16.7,.484,.538,.389,.555,.765,.592
