
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
8701,Joe Caldwell,1968-69,27,ATL,NBA,81,,2720,7.4,14.6,7.4,14.6,,,2.1,3.9,,,4.0,4.2,,,,3.1,17.0,.507,.507,,.507,.537,.518
8702,Joe Caldwell,1969-70,28,ATL,NBA,82,,2857,8.5,16.7,8.5,16.7,,,4.8,6.9,,,5.1,3.6,,,,3.2,21.8,.507,.507,,.507,.688,.549
8703,Joe Caldwell,1964-65,23,DET,NBA,66,,1543,6.8,18.1,6.8,18.1,,,3.0,4.9,,,10.3,2.8,,,,4.0,16.5,.374,.374,,.374,.614,.408
8704,Joe Caldwell,1965-66,24,TOT,NBA,79,,1857,8.0,18.2,8.0,18.2,,,3.5,4.9,,,8.5,2.4,,,,3.9,19.4,.438,.438,,.438,.705,.477
8705,Joe Caldwell,1966-67,25,STL,NBA,81,,2256,7.3,17.2,7.3,17.2,,,3.2,4.9,,,7.1,2.6,,,,3.7,17.8,.426,.426,,.426,.649,.461
8706,Joe Caldwell,1967-68,26,STL,NBA,79,,2641,7.7,16.6,7.7,16.6,,,2.2,4.0,,,4.6,3.3,,,,2.8,17.6,.463,.463,,.463,.569,.480
8707,Jose Calderon,2011-12,30,TOR,NBA,53,53,1799,4.4,9.5,3.2,6.4,1.2,3.2,1.2,1.4,0.4,2.8,3.2,9.4,0.9,0.1,2.1,1.9,11.1,.457,.500,.371,.519,.882,.547
8708,Jose Calderon,2012-13,31,TOT,NBA,73,58,2160,5.2,10.6,3.0,5.9,2.2,4.7,1.2,1.3,0.3,2.6,2.9,8.6,1.0,0.1,2.1,1.6,13.8,.491,.516,.461,.594,.900,.616
8709,Jose Calderon,2013-14,32,DAL,NBA,81,81,2468,5.0,10.9,2.2,4.7,2.8,6.2,0.8,0.9,0.4,2.4,2.8,5.5,1.0,0.2,1.5,2.0,13.5,.456,.464,.449,.584,.825,.596
8710,Jose Calderon,2015-16,34,NYK,NBA,72,72,2024,3.7,8.1,2.2,4.5,1.5,3.6,0.7,0.9,0.4,3.7,4.1,5.3,1.1,0.1,1.5,2.4,9.7,.459,.496,.414,.552,.875,.571
8711,Jose Calderon,2006-07,25,TOR,NBA,77,11,1614,5.9,11.3,5.3,9.6,0.6,1.7,2.6,3.2,0.5,2.5,3.0,8.6,1.4,0.1,2.5,3.0,14.9,.521,.553,.333,.546,.818,.588
8712,Jose Calderon,2007-08,26,TOR,NBA,82,56,2484,5.3,10.2,4.2,7.6,1.1,2.7,1.6,1.7,0.5,2.9,3.4,9.8,1.3,0.1,1.8,1.9,13.4,.519,.551,.429,.575,.908,.607
8713,Jose Calderon,2008-09,27,TOR,NBA,68,68,2333,4.9,9.9,3.7,6.8,1.3,3.1,2.3,2.4,0.2,2.7,3.0,9.4,1.1,0.1,2.2,1.8,13.5,.497,.538,.406,.561,.981,.613
8714,Jose Calderon,2010-11,29,TOR,NBA,68,55,2102,4.5,10.2,3.5,7.5,1.0,2.7,1.5,1.8,0.5,2.9,3.5,10.4,1.4,0.1,2.5,2.4,11.5,.440,.466,.365,.487,.854,.522
8715,Nick Calathes,2013-14,24,MEM,NBA,71,7,1173,4.4,9.5,3.8,7.7,0.6,1.9,1.4,2.2,0.7,3.5,4.2,6.4,2.0,0.2,3.1,3.6,10.6,.457,.492,.311,.487,.611,.506
8716,Nick Calathes,2014-15,25,MEM,NBA,58,0,838,4.5,10.6,4.0,8.8,0.5,1.8,1.0,1.9,0.8,3.7,4.6,6.3,2.7,0.2,2.6,4.3,10.4,.421,.456,.256,.443,.533,.455
8717,Gerry Calabrese,1951-52,26,SYR,NBA,58,,937,4.2,12.2,4.2,12.2,,,2.8,4.0,,,3.2,3.2,,,,4.1,11.2,.344,.344,,.344,.709,.402
8718,Michael Cage,1997-98,36,NJN,NBA,79,17,1201,1.3,2.5,1.3,2.5,0.0,0.0,0.6,1.1,3.4,5.8,9.2,1.0,1.3,1.3,0.7,3.1,3.2,.512,.518,.000,.512,.556,.531
8719,Michael Cage,1989-90,28,SEA,NBA,82,82,2595,4.5,8.9,4.5,8.9,0.0,0.0,2.1,2.9,4.2,7.1,11.4,1.0,1.1,0.6,1.3,3.2,11.1,.504,.504,,.504,.698,.540
8720,Michael Cage,1990-91,29,SEA,NBA,82,55,2141,3.8,7.5,3.8,7.4,0.0,0.1,1.2,1.9,3.0,6.4,9.4,1.5,1.4,1.0,1.4,3.3,8.8,.508,.511,.000,.508,.625,.528
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
8721,Michael Cage,1991-92,30,SEA,NBA,82,69,2461,4.5,7.9,4.5,7.9,0.0,0.1,1.6,2.5,3.9,6.8,10.6,1.3,1.4,0.8,1.1,3.5,10.5,.566,.572,.000,.566,.620,.583
8722,Michael Cage,1992-93,31,SEA,NBA,82,66,2156,3.7,6.9,3.7,6.9,0.0,0.0,1.0,2.2,4.5,6.5,11.0,1.2,1.3,0.8,1.0,3.1,8.3,.526,.528,.000,.526,.469,.527
8723,Michael Cage,1984-85,23,LAC,NBA,75,41,1610,4.8,8.9,4.8,8.9,0.0,0.0,2.3,3.1,2.8,5.9,8.8,1.1,0.9,0.7,1.8,3.7,11.9,.543,.543,,.543,.737,.582
8724,Michael Cage,1993-94,32,SEA,NBA,82,42,1708,3.6,6.6,3.6,6.6,0.0,0.0,0.8,1.6,3.5,5.9,9.4,0.9,1.6,0.8,1.1,3.8,8.0,.545,.546,.000,.545,.486,.545
8725,Michael Cage,1985-86,24,LAC,NBA,78,12,1566,4.7,9.8,4.7,9.7,0.0,0.1,2.6,4.0,3.9,5.7,9.6,1.9,1.4,0.8,2.4,4.0,12.0,.479,.482,.000,.479,.649,.518
8726,Michael Cage,1994-95,33,CLE,NBA,82,21,2040,3.1,6.0,3.1,6.0,0.0,0.0,0.9,1.6,3.6,6.4,10.0,1.0,1.1,1.2,1.0,2.6,7.2,.521,.524,.000,.521,.602,.537
8727,Michael Cage,1986-87,25,LAC,NBA,80,76,2922,5.6,10.8,5.6,10.8,0.0,0.0,4.2,5.8,4.4,7.0,11.4,1.6,1.2,0.8,2.1,2.7,15.5,.521,.522,.000,.521,.730,.579
8728,Michael Cage,1995-96,34,CLE,NBA,82,80,2631,3.0,5.4,3.0,5.4,0.0,0.0,0.7,1.3,3.9,6.0,10.0,0.7,1.2,1.1,0.7,2.9,6.7,.556,.557,.000,.556,.543,.561
8729,Michael Cage,1987-88,26,LAC,NBA,72,70,2660,4.9,10.4,4.9,10.4,0.0,0.0,4.4,6.4,5.0,7.7,12.7,1.5,1.2,0.8,2.2,2.6,14.2,.470,.471,.000,.470,.688,.537
8730,Michael Cage,1996-97,35,PHI,NBA,82,24,1247,1.9,4.1,1.9,4.1,0.0,0.0,0.5,1.2,3.2,6.0,9.2,1.2,1.4,1.2,0.5,3.4,4.4,.468,.468,,.468,.463,.475
8731,Michael Cage,1988-89,27,SEA,NBA,80,71,2536,4.5,8.9,4.5,8.9,0.0,0.1,2.8,3.8,3.9,6.9,10.9,1.8,1.3,0.7,1.8,2.6,11.7,.498,.502,.000,.498,.743,.553
