
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
7601,Jared Dudley,2009-10,24,PHO,NBA,82,1,1991,4.1,8.9,1.9,4.1,2.2,4.7,1.9,2.5,1.8,3.3,5.1,2.1,1.5,0.3,1.2,2.9,12.2,.459,.461,.458,.582,.754,.612
7602,Jared Dudley,2010-11,25,PHO,NBA,82,15,2140,5.0,10.6,3.3,6.3,1.8,4.3,2.7,3.7,1.9,3.5,5.3,1.8,1.5,0.3,1.3,2.3,14.6,.477,.519,.415,.560,.743,.598
7603,Jared Dudley,2011-12,26,PHO,NBA,65,60,2020,5.6,11.5,4.1,7.7,1.4,3.7,2.1,2.9,1.7,3.7,5.4,2.0,0.9,0.3,1.3,1.9,14.7,.485,.535,.383,.547,.726,.575
7604,Jared Dudley,2012-13,27,PHO,NBA,79,50,2170,5.2,11.1,3.4,6.6,1.8,4.5,2.1,2.7,1.3,2.8,4.1,3.4,1.2,0.1,1.7,2.1,14.3,.468,.520,.391,.547,.796,.582
7605,Jared Dudley,2013-14,28,LAC,NBA,74,43,1729,4.1,9.3,2.4,4.6,1.7,4.7,0.8,1.2,0.7,2.6,3.3,2.2,0.9,0.2,1.2,3.0,10.6,.438,.518,.360,.529,.655,.541
7606,Jared Dudley,2014-15,29,MIL,NBA,72,22,1717,4.2,8.9,2.6,4.8,1.6,4.0,1.0,1.4,0.9,3.7,4.6,2.7,1.5,0.2,1.3,2.4,10.9,.468,.537,.385,.556,.716,.572
7607,Jared Dudley,2015-16,30,WAS,NBA,81,41,2098,4.0,8.4,2.3,4.3,1.7,4.1,1.2,1.7,0.9,4.0,4.9,2.9,1.3,0.3,1.4,3.3,10.9,.478,.534,.420,.581,.735,.602
7608,Chris Dudley,1991-92,26,NJN,NBA,82,21,1902,3.6,8.9,3.6,8.9,0.0,0.0,1.5,3.2,6.5,7.5,14.0,1.1,0.7,3.4,1.5,5.2,8.7,.403,.403,,.403,.468,.420
7609,Chris Dudley,1992-93,27,NJN,NBA,71,16,1398,2.4,6.8,2.4,6.8,0.0,0.0,1.5,2.8,5.5,7.7,13.2,0.4,0.4,2.7,1.4,5.0,6.3,.353,.353,,.353,.518,.390
7610,Chris Dudley,1994-95,29,POR,NBA,82,82,2245,2.9,7.2,2.9,7.1,0.0,0.0,1.4,2.9,5.2,7.0,12.3,0.5,0.7,2.0,1.3,4.6,7.2,.406,.407,.000,.406,.464,.424
7611,Chris Dudley,1995-96,30,POR,NBA,80,61,1924,3.0,6.7,3.0,6.7,0.0,0.0,1.5,2.9,4.5,9.0,13.5,0.7,0.8,1.9,1.5,4.7,7.6,.453,.454,.000,.453,.510,.473
