
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9101,Bruce Bowen,2006-07,35,SAS,NBA,82,82,2464,2.8,6.8,1.5,3.4,1.3,3.4,0.6,1.1,0.3,2.9,3.3,1.7,0.9,0.4,0.9,2.6,7.5,.405,.426,.384,.500,.589,.511
9102,Bruce Bowen,2007-08,36,SAS,NBA,81,81,2448,2.6,6.3,1.2,3.1,1.3,3.2,0.7,1.0,0.5,3.0,3.4,1.3,0.8,0.3,0.7,2.6,7.1,.407,.394,.419,.512,.652,.527
9103,Don Boven,1952-53,27,TOT,NBA,67,,1373,4.0,11.2,4.0,11.2,,,3.8,5.5,,,5.7,2.1,,,,6.0,11.8,.358,.358,,.358,.694,.435
9104,Don Boven,1951-52,26,MLH,NBA,66,,1982,3.6,12.1,3.6,12.1,,,4.6,6.4,,,6.1,3.2,,,,4.9,11.9,.299,.299,,.299,.731,.399
9105,Tom Boswell,1976-77,23,BOS,NBA,70,,1083,5.8,11.3,5.8,11.3,,,3.2,4.5,3.7,6.5,10.2,2.8,0.9,0.3,,7.9,14.8,.515,.515,,.515,.711,.558
9106,Tom Boswell,1978-79,25,DEN,NBA,79,,2201,5.3,9.9,5.3,9.9,,,3.2,4.6,4.1,4.7,8.8,4.0,0.8,0.8,3.0,4.3,13.7,.532,.532,,.532,.697,.577
9107,Tom Boswell,1979-80,26,TOT,NBA,79,,2077,6.0,10.6,5.9,10.5,0.1,0.2,3.6,4.7,2.5,5.1,7.7,2.8,0.5,0.6,3.1,4.7,15.7,.564,.566,.500,.569,.755,.616
9108,Chris Bosh,2010-11,26,MIA,NBA,77,77,2795,6.7,13.6,6.7,13.3,0.1,0.3,4.9,6.1,1.8,6.4,8.3,1.9,0.8,0.6,1.8,2.2,18.5,.496,.502,.240,.499,.815,.569
9109,Chris Bosh,2003-04,19,TOR,NBA,75,63,2510,4.7,10.2,4.6,10.0,0.1,0.2,2.9,4.1,2.7,5.2,8.0,1.1,0.8,1.5,1.5,3.1,12.3,.459,.461,.357,.463,.701,.513
9110,Chris Bosh,2011-12,27,MIA,NBA,57,57,2007,7.0,14.5,6.9,13.8,0.2,0.6,4.1,5.0,1.7,6.4,8.1,1.8,0.9,0.8,2.1,2.3,18.4,.487,.496,.286,.493,.821,.551
9111,Chris Bosh,2012-13,28,MIA,NBA,74,74,2454,7.1,13.3,6.8,12.2,0.3,1.1,3.5,4.4,1.9,5.4,7.3,1.8,1.0,1.5,1.9,2.5,18.1,.535,.557,.284,.546,.798,.592
9112,Chris Bosh,2004-05,20,TOR,NBA,81,81,3017,5.6,12.0,5.6,11.9,0.0,0.1,4.9,6.5,2.3,6.3,8.6,1.8,0.9,1.3,2.2,2.7,16.2,.471,.472,.300,.472,.760,.547
9113,Chris Bosh,2013-14,29,MIA,NBA,79,79,2531,7.0,13.6,5.9,10.5,1.1,3.1,3.2,3.9,1.4,6.0,7.4,1.2,1.1,1.1,1.8,2.7,18.2,.516,.569,.339,.555,.820,.597
9114,Chris Bosh,2005-06,21,TOR,NBA,70,70,2751,7.2,14.2,7.2,14.1,0.0,0.2,6.2,7.6,2.7,5.8,8.5,2.4,0.7,1.0,2.1,2.7,20.6,.505,.511,.000,.505,.816,.585
9115,Chris Bosh,2006-07,22,TOR,NBA,69,69,2658,7.4,14.8,7.2,14.3,0.2,0.5,6.3,8.0,2.5,7.5,10.0,2.4,0.5,1.2,2.4,2.2,21.1,.496,.501,.343,.502,.785,.577
9116,Chris Bosh,2007-08,23,TOR,NBA,67,67,2425,7.5,15.2,7.4,14.9,0.1,0.4,7.0,8.3,2.6,6.1,8.7,2.5,0.9,1.0,2.3,2.3,22.2,.494,.496,.400,.499,.844,.588
9117,Chris Bosh,2008-09,24,TOR,NBA,77,77,2928,7.6,15.5,7.4,14.9,0.1,0.6,6.2,7.6,2.6,6.8,9.5,2.3,0.8,0.9,2.1,2.3,21.5,.487,.497,.245,.492,.817,.569
9118,Chris Bosh,2009-10,25,TOR,NBA,70,70,2526,8.6,16.5,8.4,16.2,0.1,0.3,6.7,8.4,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,23.9,.518,.521,.364,.522,.797,.592
9119,Vince Boryla,1953-54,26,NYK,NBA,52,,1522,4.1,12.4,4.1,12.4,,,1.7,1.9,,,3.1,1.8,,,,3.0,9.9,.333,.333,,.333,.864,.375
9120,Vince Boryla,1952-53,25,NYK,NBA,66,,2200,4.2,11.2,4.2,11.2,,,2.7,3.3,,,3.8,2.7,,,,3.7,11.0,.370,.370,,.370,.821,.435
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9121,Carlos Boozer,2006-07,25,UTA,NBA,74,74,2557,9.1,16.2,9.1,16.2,0.0,0.0,3.6,5.2,3.3,8.9,12.2,3.1,1.0,0.3,2.7,3.1,21.8,.561,.561,,.561,.685,.588
9122,Carlos Boozer,2007-08,26,UTA,NBA,81,81,2827,9.0,16.5,9.0,16.5,0.0,0.0,3.7,5.0,2.5,8.2,10.7,3.0,1.3,0.5,2.7,3.7,21.8,.547,.547,.000,.547,.738,.581
9123,Carlos Boozer,2009-10,28,UTA,NBA,78,78,2673,8.3,14.8,8.3,14.8,0.0,0.0,3.8,5.2,2.4,9.3,11.8,3.3,1.1,0.5,2.9,3.6,20.5,.562,.562,,.562,.742,.599
9124,Carlos Boozer,2011-12,30,CHI,NBA,66,66,1948,8.3,15.6,8.3,15.5,0.0,0.0,1.8,2.5,2.1,8.3,10.4,2.3,1.2,0.4,2.1,3.1,18.3,.532,.533,.000,.532,.693,.549
