
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9801,Carmelo Anthony,2003-04,19,DEN,NBA,82,82,2995,7.5,17.6,6.7,15.0,0.8,2.6,4.9,6.3,2.2,3.8,6.0,2.7,1.2,0.5,3.0,2.7,20.7,.426,.444,.322,.449,.777,.509
9802,Carmelo Anthony,2011-12,27,NYK,NBA,55,55,1876,8.5,19.7,7.2,15.8,1.3,3.9,5.7,7.0,1.7,4.9,6.6,3.8,1.2,0.5,2.8,3.0,23.9,.430,.454,.335,.463,.804,.525
9803,Carmelo Anthony,2004-05,20,DEN,NBA,75,75,2608,7.3,17.0,6.7,14.8,0.6,2.2,6.3,7.9,1.9,3.9,5.9,2.7,0.9,0.4,3.1,3.2,21.5,.431,.455,.266,.448,.796,.526
9804,Carmelo Anthony,2012-13,28,NYK,NBA,67,67,2482,9.7,21.6,7.4,15.6,2.3,6.0,6.2,7.4,1.9,4.7,6.7,2.5,0.8,0.5,2.5,3.0,27.8,.449,.476,.379,.502,.830,.560
9805,Carmelo Anthony,2005-06,21,DEN,NBA,80,80,2941,9.3,19.2,8.8,17.4,0.5,1.9,7.0,8.7,1.5,3.3,4.8,2.6,1.1,0.5,2.7,2.8,26.0,.481,.506,.243,.493,.808,.563
9806,Carmelo Anthony,2013-14,29,NYK,NBA,77,77,2982,9.0,19.8,7.0,14.8,2.0,5.0,5.5,6.5,1.8,5.8,7.5,2.9,1.1,0.6,2.4,2.7,25.5,.452,.469,.402,.503,.848,.561
9807,Carmelo Anthony,2006-07,22,DEN,NBA,65,65,2486,10.0,21.0,9.4,18.9,0.6,2.2,6.6,8.2,2.1,3.6,5.7,3.6,1.1,0.3,3.4,2.9,27.2,.476,.499,.268,.489,.808,.552
9808,Carmelo Anthony,2015-16,31,NYK,NBA,72,72,2530,8.1,18.6,6.6,14.2,1.5,4.4,4.8,5.7,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4,.434,.463,.339,.474,.829,.530
9809,Carmelo Anthony,2007-08,23,DEN,NBA,77,77,2806,9.3,19.0,8.6,16.9,0.7,2.1,6.0,7.6,2.3,5.0,7.3,3.3,1.3,0.5,3.2,3.2,25.4,.492,.509,.354,.511,.786,.568
9810,Carmelo Anthony,2008-09,24,DEN,NBA,66,66,2277,8.5,19.1,7.5,16.4,1.0,2.7,5.9,7.4,1.7,5.4,7.1,3.5,1.2,0.4,3.1,3.1,23.8,.443,.455,.371,.469,.793,.532
9811,Carmelo Anthony,2009-10,25,DEN,NBA,69,69,2634,9.4,20.5,8.6,18.0,0.8,2.6,6.9,8.4,2.1,4.1,6.2,3.0,1.2,0.4,2.9,3.1,26.6,.458,.478,.316,.478,.830,.548
9812,Carmelo Anthony,2010-11,26,TOT,NBA,77,77,2751,9.0,19.7,7.7,16.4,1.2,3.3,6.6,7.9,1.5,5.8,7.4,2.9,0.9,0.6,2.7,2.9,25.8,.455,.470,.378,.487,.838,.557
9813,Giannis Antetokounmpo,2013-14,19,MIL,NBA,77,23,1897,3.3,7.9,2.5,5.7,0.8,2.2,2.6,3.8,1.5,5.0,6.4,2.8,1.1,1.2,2.3,3.3,10.0,.414,.440,.347,.463,.683,.518
9814,Giannis Antetokounmpo,2014-15,20,MIL,NBA,81,71,2541,5.4,11.1,5.3,10.4,0.1,0.6,3.6,4.9,1.4,6.3,7.7,2.9,1.0,1.2,2.5,3.6,14.6,.491,.511,.159,.496,.741,.552
9815,Giannis Antetokounmpo,2015-16,21,MIL,NBA,80,79,2823,6.5,12.9,6.2,11.5,0.4,1.4,3.8,5.2,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2,.506,.537,.257,.520,.724,.566
9816,Chris Anstey,1999-00,25,CHI,NBA,73,11,1007,5.8,13.0,5.7,12.8,0.0,0.2,4.1,5.3,3.2,6.8,10.0,2.3,1.0,0.9,2.9,6.4,15.7,.442,.447,.167,.444,.789,.512
9817,Michael Ansley,1989-90,22,ORL,NBA,72,5,1221,6.8,13.7,6.8,13.7,0.0,0.0,4.8,6.7,5.5,5.2,10.7,1.2,0.7,0.5,1.5,4.5,18.5,.497,.497,,.497,.722,.554
9818,Willie Anderson,1990-91,24,SAS,NBA,75,75,2592,6.3,13.8,6.2,13.3,0.1,0.5,2.4,3.0,0.9,3.9,4.9,5.0,1.1,0.6,2.3,3.1,15.0,.457,.467,.200,.461,.798,.499
9819,Willie Anderson,1993-94,27,SAS,NBA,80,79,2488,5.7,12.1,5.4,11.1,0.3,1.0,2.1,2.5,1.0,2.5,3.5,5.0,1.0,0.7,2.2,2.7,13.8,.471,.484,.324,.484,.848,.523
9820,Willie Anderson,1995-96,29,TOT,NBA,76,44,2060,5.0,11.5,4.4,9.4,0.6,2.1,2.3,2.8,0.8,3.5,4.3,3.4,1.3,1.0,2.5,4.0,13.0,.436,.470,.283,.462,.810,.507
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9821,Willie Anderson,1988-89,22,SAS,NBA,81,79,2738,8.4,16.9,8.4,16.6,0.1,0.3,2.9,3.8,2.0,3.5,5.5,4.9,2.0,0.8,3.4,3.9,19.8,.498,.503,.190,.500,.775,.534
9822,Willie Anderson,1989-90,23,SAS,NBA,82,81,2788,6.9,14.0,6.8,13.6,0.1,0.3,2.8,3.7,1.5,3.3,4.8,4.7,1.4,0.7,2.6,3.3,16.6,.492,.497,.269,.495,.748,.532
9823,Shandon Anderson,1998-99,25,UTA,NBA,50,2,1072,5.4,12.2,5.0,10.8,0.5,1.4,3.0,4.2,1.6,2.8,4.4,1.9,1.3,0.3,2.2,3.0,14.3,.446,.460,.341,.466,.712,.511
9824,Shandon Anderson,1999-00,26,HOU,NBA,82,82,2700,4.9,10.4,3.9,7.4,1.1,3.0,2.6,3.4,1.2,3.9,5.1,3.2,1.3,0.4,2.6,2.4,13.5,.473,.523,.351,.524,.767,.567
9825,Shandon Anderson,2000-01,27,HOU,NBA,82,82,2396,4.0,8.9,3.3,6.3,0.7,2.6,2.1,2.8,1.1,3.9,5.0,2.8,1.2,0.6,2.0,3.0,10.7,.446,.517,.271,.485,.734,.528
9826,Shandon Anderson,2001-02,28,NYK,NBA,82,6,1596,3.4,8.4,2.5,5.2,0.9,3.2,1.7,2.4,1.3,4.3,5.6,1.7,1.1,0.3,2.2,3.0,9.3,.399,.474,.277,.452,.692,.489
9827,Shandon Anderson,2002-03,29,NYK,NBA,82,9,1731,5.2,11.2,4.1,8.3,1.1,2.9,2.9,4.0,1.3,4.0,5.3,1.8,1.5,0.4,2.4,3.7,14.3,.462,.494,.371,.510,.732,.553
9828,Shandon Anderson,2003-04,30,NYK,NBA,80,37,1974,4.3,10.3,3.7,8.0,0.7,2.3,2.2,2.9,1.0,3.1,4.0,2.2,1.2,0.3,2.2,3.3,11.6,.422,.463,.281,.454,.764,.500
9829,Shandon Anderson,1997-98,24,UTA,NBA,82,2,1602,6.0,11.2,5.9,10.5,0.2,0.7,3.1,4.2,1.9,3.2,5.1,2.0,1.5,0.4,2.0,3.3,15.3,.538,.560,.219,.545,.735,.586
9830,Ryan Anderson,2011-12,23,ORL,NBA,61,61,1964,6.1,13.9,3.0,6.1,3.0,7.7,2.7,3.1,4.1,4.5,8.6,1.0,0.9,0.5,1.0,2.7,18.0,.439,.496,.393,.548,.877,.589
9831,Ryan Anderson,2012-13,24,NOH,NBA,81,22,2503,6.8,16.0,3.7,8.0,3.1,8.0,2.2,2.6,2.7,4.7,7.5,1.4,0.6,0.4,1.4,2.6,18.8,.423,.464,.382,.519,.844,.548
9832,Ryan Anderson,2014-15,26,NOP,NBA,61,5,1675,6.3,15.7,3.6,8.0,2.6,7.7,2.8,3.2,2.3,4.0,6.3,1.2,0.7,0.4,1.3,2.4,17.9,.399,.457,.340,.483,.854,.524
9833,Ryan Anderson,2015-16,27,NOP,NBA,66,7,2008,7.1,16.7,4.8,10.2,2.3,6.4,3.6,4.1,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2.0,20.2,.427,.466,.366,.498,.873,.546
9834,Ron Anderson,1989-90,31,PHI,NBA,78,3,2089,6.5,14.5,6.5,14.1,0.1,0.4,2.8,3.4,1.4,3.7,5.1,2.5,1.2,0.2,1.3,2.5,16.0,.451,.459,.143,.452,.838,.499
9835,Ron Anderson,1990-91,32,PHI,NBA,82,13,2340,7.9,16.2,7.7,15.6,0.1,0.7,2.5,3.0,1.6,4.1,5.6,1.8,1.0,0.2,1.5,2.5,18.4,.485,.497,.209,.490,.833,.524
9836,Ron Anderson,1991-92,33,PHI,NBA,82,11,2432,6.9,14.9,6.3,13.0,0.6,1.9,2.1,2.4,1.4,2.7,4.1,2.0,1.3,0.2,1.6,1.9,16.6,.465,.485,.331,.486,.877,.520
9837,Ron Anderson,1985-86,27,TOT,NBA,77,30,1676,6.7,13.5,6.6,13.3,0.0,0.2,1.8,2.7,2.8,3.1,5.9,3.1,1.2,0.1,1.8,2.7,15.2,.494,.498,.222,.495,.669,.517
9838,Ron Anderson,1987-88,29,IND,NBA,74,1,1097,7.1,14.3,7.1,14.2,0.0,0.1,3.5,4.6,2.9,4.2,7.1,2.6,1.3,0.2,2.4,3.2,17.8,.498,.500,.000,.498,.766,.544
9839,Ron Anderson,1988-89,30,PHI,NBA,82,12,2618,7.8,15.8,7.8,15.7,0.0,0.2,2.7,3.1,2.3,3.3,5.6,1.9,1.0,0.3,1.7,2.3,18.3,.491,.494,.182,.492,.856,.531
9840,Richard Anderson,1982-83,22,SDC,NBA,78,5,1274,4.9,12.2,4.7,11.6,0.2,0.5,1.4,1.9,3.1,4.5,7.7,3.4,1.6,0.7,2.6,4.8,11.4,.404,.405,.368,.412,.696,.437
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9841,Richard Anderson,1983-84,23,DEN,NBA,78,17,1380,7.1,16.6,7.0,16.1,0.1,0.5,3.0,3.9,3.5,7.0,10.6,5.0,1.2,0.7,2.8,4.8,17.3,.426,.435,.158,.429,.773,.471
9842,Richard Anderson,1987-88,27,TOT,NBA,74,3,1350,4.6,11.7,3.3,7.7,1.3,4.0,1.5,2.1,2.4,5.7,8.1,3.0,1.4,0.4,1.6,3.7,11.9,.390,.426,.320,.444,.753,.474
9843,Richard Anderson,1988-89,28,POR,NBA,72,3,1082,4.8,11.6,3.2,6.9,1.6,4.7,1.1,1.3,2.1,5.6,7.7,3.3,1.5,0.4,1.8,3.3,12.3,.417,.464,.348,.487,.842,.509
9844,Nick Anderson,1990-91,23,ORL,NBA,70,42,1971,7.3,15.7,7.0,14.6,0.3,1.1,3.2,4.7,1.7,5.4,7.1,1.9,1.4,0.8,2.1,2.6,18.1,.467,.479,.293,.477,.668,.510
9845,Nick Anderson,1999-00,32,SAC,NBA,72,72,2094,5.3,13.4,3.0,6.6,2.3,6.8,0.6,1.3,1.4,4.4,5.8,2.1,1.6,0.3,1.6,2.0,13.4,.391,.452,.332,.476,.487,.479
9846,Nick Anderson,1991-92,24,ORL,NBA,60,59,2203,7.9,17.0,7.4,15.6,0.5,1.4,3.3,5.0,1.6,4.7,6.3,2.7,1.6,0.5,2.1,2.2,19.5,.463,.472,.353,.477,.667,.509
9847,Nick Anderson,1992-93,25,ORL,NBA,79,76,2920,7.3,16.3,6.2,13.3,1.1,3.1,3.7,5.0,1.5,4.4,5.9,3.3,1.6,0.7,2.0,2.5,19.4,.449,.471,.353,.482,.741,.524
9848,Nick Anderson,1993-94,26,ORL,NBA,81,81,2811,6.5,13.5,5.2,9.5,1.3,4.0,2.2,3.2,1.4,4.6,6.1,3.8,1.7,0.4,2.1,1.9,16.4,.478,.545,.322,.526,.672,.549
9849,Nick Anderson,1994-95,27,ORL,NBA,76,76,2588,6.1,12.8,3.6,6.8,2.5,6.0,2.0,2.8,1.2,3.5,4.7,4.4,1.7,0.3,2.0,1.7,16.7,.476,.528,.415,.573,.704,.593
9850,Nick Anderson,1995-96,28,ORL,NBA,77,77,2717,5.3,12.0,3.1,6.3,2.2,5.7,2.2,3.2,1.2,4.3,5.5,3.7,1.6,0.6,1.9,1.8,15.0,.442,.489,.391,.535,.692,.562
9851,Nick Anderson,1996-97,29,ORL,NBA,63,61,2163,4.8,12.1,2.4,5.3,2.4,6.7,0.6,1.6,1.1,4.0,5.1,3.0,2.0,0.5,1.4,2.7,12.6,.397,.453,.353,.496,.404,.494
9852,Nick Anderson,1989-90,22,ORL,NBA,81,9,1785,7.5,15.2,7.5,14.8,0.0,0.3,3.8,5.3,2.2,4.2,6.4,2.5,1.4,0.7,2.8,2.8,18.8,.494,.504,.059,.495,.705,.536
9853,Nick Anderson,1998-99,31,ORL,NBA,47,39,1581,5.8,14.6,3.6,8.3,2.2,6.3,2.3,3.7,1.2,5.1,6.3,2.1,1.5,0.3,1.9,1.6,16.0,.395,.433,.347,.470,.611,.493
9854,Kyle Anderson,2015-16,22,SAS,NBA,78,11,1245,4.0,8.5,3.6,7.5,0.3,1.1,1.8,2.4,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1,.468,.488,.324,.488,.747,.528
9855,Kenny Anderson,1993-94,23,NJN,NBA,82,82,3135,6.6,15.9,6.2,14.3,0.5,1.5,4.0,4.9,1.0,2.7,3.7,9.0,1.8,0.2,3.1,2.3,17.7,.417,.429,.303,.432,.818,.491
9856,Kenny Anderson,1994-95,24,NJN,NBA,72,70,2689,5.5,13.8,4.2,9.9,1.3,3.9,4.7,5.5,1.0,2.4,3.3,9.1,1.4,0.2,3.0,2.5,17.0,.399,.426,.330,.446,.841,.522
9857,Kenny Anderson,1995-96,25,TOT,NBA,69,64,2344,5.4,12.8,3.9,8.9,1.4,3.9,4.0,5.2,1.0,2.2,3.1,8.8,1.7,0.2,2.2,2.7,16.1,.418,.445,.359,.474,.769,.534
9858,Kenny Anderson,1996-97,26,POR,NBA,82,81,3081,5.7,13.3,4.1,9.0,1.5,4.3,3.9,5.1,1.1,3.2,4.2,6.8,1.9,0.2,2.3,2.6,16.8,.427,.458,.361,.485,.768,.540
9859,Kenny Anderson,1999-00,29,BOS,NBA,82,82,2593,6.0,13.7,4.8,10.6,1.2,3.1,2.7,3.5,0.8,2.4,3.1,5.8,1.9,0.1,1.8,3.2,16.0,.440,.456,.386,.483,.775,.524
9860,Kenny Anderson,2001-02,31,BOS,NBA,76,76,2430,4.6,10.6,4.5,10.1,0.1,0.5,1.5,2.0,0.8,3.2,4.1,6.0,2.1,0.1,1.8,3.1,10.8,.436,.444,.273,.442,.742,.472
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9861,Kenny Anderson,1992-93,22,NJN,NBA,55,55,2010,6.6,15.2,6.5,14.8,0.1,0.4,3.2,4.2,0.9,3.1,4.0,8.0,1.7,0.2,2.7,2.5,16.6,.435,.440,.280,.439,.776,.487
