
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
6301,Othella Harrington,1999-00,26,VAN,NBA,82,82,2677,5.6,11.2,5.6,11.1,0.0,0.0,3.2,4.0,2.6,4.9,7.6,1.3,0.5,0.8,2.9,3.9,14.5,.506,.507,.000,.506,.792,.560
6302,Othella Harrington,2000-01,27,TOT,NBA,74,45,1815,4.9,10.1,4.9,10.0,0.0,0.1,3.4,4.4,2.8,4.9,7.7,1.1,0.7,0.9,2.9,4.7,13.2,.487,.490,.000,.487,.763,.549
6303,Othella Harrington,2001-02,28,NYK,NBA,77,4,1563,5.5,10.4,5.5,10.3,0.0,0.0,2.8,4.0,2.9,5.2,8.0,0.9,0.7,0.8,2.2,5.8,13.7,.527,.529,.000,.527,.709,.567
6304,Othella Harrington,2002-03,29,NYK,NBA,74,64,1850,4.4,8.6,4.4,8.6,0.0,0.0,2.4,2.9,3.2,6.1,9.3,1.2,0.2,0.4,1.8,4.5,11.2,.508,.508,,.508,.820,.563
6305,Othella Harrington,2004-05,31,CHI,NBA,70,28,1271,6.1,12.0,6.1,12.0,0.0,0.0,3.6,5.0,3.0,5.3,8.3,1.6,0.7,0.5,2.4,5.3,15.9,.512,.512,,.512,.718,.559
6306,Othella Harrington,2005-06,32,CHI,NBA,72,23,824,5.9,11.9,5.9,11.9,0.0,0.0,3.4,5.4,2.4,4.4,6.7,1.7,0.3,0.6,2.7,5.7,15.2,.495,.495,,.495,.626,.530
6307,Junior Harrington,2002-03,22,DEN,NBA,82,51,2003,3.0,8.4,2.9,7.9,0.1,0.5,1.3,2.0,0.8,3.7,4.5,5.0,1.4,0.3,2.8,4.5,7.5,.362,.369,.250,.369,.652,.405
6308,Al Harrington,2008-09,28,TOT,NBA,73,56,2546,7.5,17.1,5.1,10.5,2.4,6.6,3.3,4.2,1.4,5.0,6.4,1.4,1.2,0.3,2.3,3.2,20.8,.439,.487,.364,.509,.793,.547
6309,Al Harrington,2000-01,20,IND,NBA,78,38,1892,4.6,10.3,4.6,10.2,0.0,0.1,2.0,3.0,2.3,5.0,7.2,2.5,1.2,0.3,2.8,4.2,11.2,.444,.448,.143,.445,.656,.479
6310,Al Harrington,2009-10,29,NYK,NBA,72,15,2195,7.3,16.9,5.1,10.2,2.3,6.7,3.9,5.2,1.4,5.2,6.6,1.8,1.0,0.4,2.2,3.4,20.9,.435,.496,.342,.503,.757,.546
6311,Al Harrington,2002-03,22,IND,NBA,82,37,2467,5.7,13.1,5.5,12.4,0.2,0.7,3.1,4.0,2.3,5.1,7.5,1.8,1.0,0.5,2.4,4.1,14.6,.434,.442,.283,.441,.770,.493
6312,Al Harrington,2010-11,30,DEN,NBA,73,3,1665,6.1,14.6,3.5,7.5,2.5,7.1,1.9,2.5,1.6,5.5,7.2,2.2,0.8,0.2,2.3,4.4,16.5,.416,.473,.357,.503,.735,.527
6313,Al Harrington,2003-04,23,IND,NBA,79,15,2441,6.2,13.4,5.9,12.3,0.3,1.1,2.7,3.7,2.4,5.1,7.5,1.9,1.2,0.3,2.4,3.7,15.5,.463,.481,.273,.475,.734,.514
6314,Al Harrington,2011-12,31,DEN,NBA,64,1,1761,7.1,15.8,5.0,9.6,2.1,6.2,2.4,3.6,1.5,6.5,8.0,1.8,1.2,0.2,2.3,3.7,18.6,.446,.519,.333,.512,.676,.535
6315,Al Harrington,2004-05,24,ATL,NBA,66,66,2550,6.4,13.9,6.2,12.9,0.2,1.0,3.3,5.0,2.0,4.5,6.5,2.9,1.2,0.2,2.9,3.5,16.3,.459,.479,.216,.468,.672,.508
6316,Al Harrington,2005-06,25,ATL,NBA,76,76,2782,7.1,15.8,6.3,13.3,0.9,2.5,3.1,4.5,1.7,5.1,6.8,3.1,1.1,0.2,2.5,3.9,18.3,.452,.471,.346,.479,.694,.513
6317,Al Harrington,2006-07,26,TOT,NBA,78,78,2563,7.0,15.2,5.2,11.1,1.8,4.1,2.4,3.4,2.1,4.8,7.0,2.1,0.9,0.3,2.4,3.8,18.0,.457,.466,.433,.516,.694,.540
6318,Al Harrington,2007-08,27,GSW,NBA,81,59,2190,6.6,15.2,4.1,8.5,2.5,6.7,2.4,3.1,1.8,5.5,7.2,2.2,1.2,0.3,1.5,4.4,18.1,.434,.482,.375,.517,.774,.547
6319,Matt Harpring,2007-08,31,UTA,NBA,76,0,1374,6.2,12.4,6.2,12.2,0.1,0.3,3.8,5.4,2.5,3.8,6.3,2.1,1.2,0.4,2.5,4.2,16.3,.500,.506,.200,.502,.712,.551
6320,Matt Harpring,1998-99,22,ORL,NBA,50,22,1114,4.8,10.3,4.5,9.5,0.3,0.8,3.3,4.6,2.8,4.1,6.9,1.5,1.0,0.2,2.4,3.6,13.2,.463,.468,.400,.478,.713,.533
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
6321,Matt Harpring,2001-02,25,PHI,NBA,81,81,2541,5.5,11.9,5.2,10.9,0.3,1.0,2.3,3.1,2.9,5.2,8.1,1.5,1.0,0.1,1.8,2.8,13.6,.461,.475,.304,.473,.743,.512
6322,Matt Harpring,2002-03,26,UTA,NBA,78,69,2557,7.3,14.4,6.4,12.1,0.9,2.3,3.7,4.7,2.7,4.6,7.2,1.9,1.0,0.2,2.3,3.1,19.3,.511,.529,.413,.543,.792,.588
6323,Matt Harpring,2004-05,28,UTA,NBA,78,55,2584,5.8,11.9,5.7,11.3,0.1,0.6,3.4,4.4,2.7,4.0,6.7,2.0,1.0,0.2,1.9,3.5,15.2,.489,.504,.209,.494,.778,.549
6324,Matt Harpring,2005-06,29,UTA,NBA,71,32,1944,6.0,12.6,5.7,11.8,0.3,0.7,4.2,5.8,2.9,3.9,6.8,1.8,1.1,0.3,2.0,3.7,16.4,.475,.482,.359,.485,.725,.542
6325,Matt Harpring,2006-07,30,UTA,NBA,77,2,1965,5.9,12.0,5.7,11.3,0.2,0.7,4.3,5.7,2.1,4.3,6.5,1.8,1.0,0.2,2.2,4.3,16.4,.491,.501,.333,.501,.767,.564
6326,Ron Harper,1986-87,23,CLE,NBA,82,82,3064,8.6,19.0,8.4,17.9,0.2,1.1,4.5,6.6,2.0,2.6,4.6,4.6,2.5,1.0,4.1,2.9,22.0,.455,.470,.213,.461,.684,.503
6327,Ron Harper,1997-98,34,CHI,NBA,82,82,2284,4.6,10.5,4.4,9.2,0.3,1.3,2.6,3.4,1.7,2.9,4.6,3.8,1.7,0.8,1.4,2.9,12.0,.441,.477,.190,.453,.750,.503
6328,Ron Harper,1988-89,25,CLE,NBA,82,82,2851,7.4,14.5,7.0,13.0,0.4,1.5,4.1,5.4,1.5,3.6,5.2,5.5,2.3,0.9,2.9,2.8,19.3,.511,.540,.250,.523,.751,.570
6329,Ron Harper,1999-00,36,LAL,NBA,80,78,2042,3.7,9.4,3.2,7.5,0.6,1.9,1.8,2.6,1.7,4.2,5.9,4.8,1.5,0.7,2.3,2.9,9.8,.399,.421,.311,.430,.680,.468
