
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
8301,Nick Collison,2010-11,30,OKC,NBA,71,2,1524,3.2,5.7,3.2,5.7,0.0,0.0,1.3,1.7,2.8,4.7,7.5,1.6,1.0,0.7,1.3,5.0,7.8,.566,.566,,.566,.753,.600
8302,Nick Collison,2011-12,31,OKC,NBA,63,0,1307,3.3,5.5,3.3,5.5,0.0,0.0,1.2,1.7,3.3,4.3,7.5,2.3,0.9,0.8,1.7,4.2,7.8,.597,.600,.000,.597,.710,.622
8303,Nick Collison,2012-13,32,OKC,NBA,81,2,1583,4.0,6.7,4.0,6.6,0.0,0.1,1.4,1.8,2.8,4.8,7.6,2.8,1.2,0.7,1.6,4.5,9.4,.595,.603,.000,.595,.769,.624
8304,Darren Collison,2010-11,23,IND,NBA,79,79,2360,6.1,13.3,5.4,11.4,0.6,1.9,3.1,3.5,0.6,2.8,3.4,6.1,1.3,0.2,3.0,1.7,15.8,.457,.479,.331,.481,.871,.534
8305,Darren Collison,2011-12,24,IND,NBA,60,56,1878,4.4,10.0,3.8,8.2,0.7,1.8,2.4,2.9,0.6,3.0,3.6,5.5,0.9,0.3,2.2,1.9,11.9,.440,.457,.362,.472,.830,.526
8306,Darren Collison,2012-13,25,DAL,NBA,81,47,2372,5.2,11.0,4.4,8.9,0.7,2.1,3.7,4.2,0.5,2.9,3.3,6.3,1.5,0.1,2.6,2.1,14.8,.471,.498,.353,.504,.880,.575
8307,Darren Collison,2013-14,26,LAC,NBA,80,35,2069,5.6,12.1,4.4,8.8,1.2,3.3,3.3,3.9,0.8,2.5,3.3,5.2,1.6,0.3,2.3,2.6,15.9,.467,.501,.376,.518,.857,.575
8308,Darren Collison,2015-16,28,SAC,NBA,74,15,2219,6.1,12.6,4.7,9.1,1.4,3.5,3.1,3.7,0.5,2.3,2.7,5.2,1.2,0.1,2.1,2.3,16.8,.486,.519,.401,.542,.858,.591
8309,Darren Collison,2009-10,22,NOH,NBA,76,37,2109,6.4,13.5,5.6,11.5,0.8,2.0,2.5,3.0,0.7,2.6,3.3,7.4,1.3,0.1,3.4,1.6,16.1,.477,.490,.400,.506,.851,.546
8310,Jason Collins,2001-02,23,NJN,NBA,77,9,1407,3.0,7.1,3.0,7.1,0.0,0.1,2.9,4.2,3.4,4.3,7.7,2.1,0.7,1.2,1.8,4.4,9.0,.421,.420,.500,.423,.701,.500
8311,Jason Collins,2002-03,24,NJN,NBA,81,66,1900,2.7,6.4,2.7,6.3,0.0,0.1,3.4,4.5,2.6,4.4,7.0,1.6,0.9,0.8,1.6,4.8,8.7,.414,.419,.000,.414,.763,.521
8312,Jason Collins,2003-04,25,NJN,NBA,78,78,2220,2.6,6.2,2.6,6.2,0.0,0.0,2.2,3.0,2.3,4.2,6.5,2.5,1.1,0.9,1.6,4.1,7.5,.424,.427,.000,.424,.739,.497
8313,Jason Collins,2004-05,26,NJN,NBA,80,80,2542,2.6,6.4,2.6,6.3,0.0,0.1,1.9,3.0,2.2,4.7,6.9,1.5,1.0,1.0,1.3,4.6,7.2,.412,.413,.333,.415,.656,.471
8314,Jason Collins,2005-06,27,NJN,NBA,71,70,1895,2.0,5.0,1.9,4.7,0.1,0.2,0.8,1.6,1.8,4.7,6.5,1.3,0.9,0.8,1.2,4.8,4.8,.397,.404,.250,.403,.512,.425
8315,Jason Collins,2006-07,28,NJN,NBA,80,78,1844,1.1,2.9,1.1,2.9,0.0,0.0,1.2,2.5,1.8,4.4,6.2,0.9,0.8,0.7,1.4,5.3,3.3,.364,.369,.000,.364,.465,.408
8316,Jason Collins,2007-08,29,TOT,NBA,74,26,1172,1.6,3.5,1.6,3.4,0.0,0.0,1.0,2.3,2.0,3.5,5.5,0.8,0.7,0.8,1.5,6.0,4.3,.469,.473,.000,.469,.459,.481
8317,Jarron Collins,2007-08,29,UTA,NBA,70,9,702,1.8,4.2,1.8,4.2,0.0,0.1,2.4,3.8,2.1,3.9,5.9,1.9,0.5,0.3,1.1,5.4,6.1,.439,.444,.000,.439,.622,.515
8318,Jarron Collins,2001-02,23,UTA,NBA,70,68,1440,3.9,8.6,3.9,8.6,0.0,0.0,3.3,4.5,3.4,3.9,7.4,1.4,0.7,0.5,1.4,5.9,11.3,.461,.462,.000,.461,.740,.532
8319,Jarron Collins,2003-04,25,UTA,NBA,81,31,1732,3.1,6.1,3.1,6.1,0.0,0.0,3.9,5.4,2.4,4.1,6.6,1.6,0.5,0.4,1.6,5.3,10.0,.498,.500,.000,.498,.718,.587
8320,Jarron Collins,2005-06,27,UTA,NBA,79,41,1730,2.7,5.8,2.7,5.8,0.0,0.0,3.3,4.6,2.8,4.1,6.9,2.0,0.7,0.6,1.3,5.2,8.6,.461,.461,,.461,.717,.551
