
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1201,LaSalle Thompson,1986-87,25,SAC,NBA,82,53,2166,6.0,12.5,6.0,12.4,0.0,0.1,3.1,4.2,3.9,7.5,11.4,2.0,1.1,2.1,2.4,4.8,15.2,.481,.485,.000,.481,.737,.528
1202,LaSalle Thompson,1988-89,27,TOT,NBA,76,71,2329,6.4,13.1,6.4,13.1,0.0,0.0,3.5,4.3,3.5,7.6,11.1,1.3,1.2,1.5,2.8,4.4,16.4,.489,.490,.000,.489,.808,.544
1203,LaSalle Thompson,1989-90,28,IND,NBA,82,60,2126,3.8,8.0,3.8,7.9,0.0,0.1,1.8,2.3,3.0,7.7,10.7,1.8,1.1,1.2,2.5,5.3,9.4,.473,.476,.200,.475,.799,.523
1204,LaSalle Thompson,1990-91,29,IND,NBA,82,77,1946,5.1,10.5,5.1,10.4,0.0,0.1,1.3,1.9,2.8,7.6,10.4,2.7,1.2,1.2,3.1,4.9,11.6,.488,.491,.200,.489,.692,.512
1205,LaSalle Thompson,1991-92,30,IND,NBA,80,49,1299,4.7,9.9,4.7,9.9,0.0,0.1,1.6,2.0,2.7,7.8,10.6,2.8,1.4,0.9,2.7,5.7,10.9,.468,.471,.000,.468,.817,.505
1206,Klay Thompson,2011-12,21,GSW,NBA,66,29,1608,7.1,16.1,4.6,10.1,2.5,6.0,1.8,2.0,0.5,3.1,3.6,3.0,1.1,0.4,2.3,3.5,18.5,.443,.460,.414,.520,.868,.545
1207,Klay Thompson,2012-13,22,GSW,NBA,82,82,2936,6.2,14.8,3.6,8.3,2.6,6.4,1.6,1.9,0.4,3.4,3.8,2.2,1.1,0.6,1.9,2.9,16.7,.422,.437,.401,.509,.841,.533
1208,Klay Thompson,2013-14,23,GSW,NBA,81,81,2868,7.0,15.8,4.2,9.1,2.8,6.7,1.8,2.3,0.5,2.6,3.1,2.3,0.9,0.5,1.7,2.9,18.7,.444,.464,.417,.533,.795,.555
1209,Klay Thompson,2014-15,24,GSW,NBA,77,77,2455,8.8,19.0,5.3,11.1,3.5,8.0,3.3,3.8,0.4,3.2,3.6,3.3,1.3,0.9,2.2,1.8,24.5,.463,.481,.439,.555,.879,.591
1210,Klay Thompson,2015-16,25,GSW,NBA,80,80,2666,8.8,18.7,5.1,9.9,3.7,8.8,2.6,3.0,0.5,3.7,4.1,2.2,0.8,0.7,1.9,2.1,23.9,.470,.510,.425,.569,.873,.597
1211,Jason Thompson,2008-09,22,SAC,NBA,82,56,2303,5.6,11.2,5.6,11.1,0.0,0.1,3.1,4.5,3.7,5.8,9.5,1.5,0.7,0.9,2.3,4.9,14.2,.497,.502,.000,.497,.692,.540
1212,Jason Thompson,2009-10,23,SAC,NBA,75,58,2357,5.7,12.0,5.6,11.8,0.0,0.2,3.0,4.2,3.4,6.3,9.7,1.9,0.6,1.1,2.1,4.3,14.3,.472,.477,.100,.473,.715,.518
1213,Jason Thompson,2010-11,24,SAC,NBA,75,39,1748,5.6,11.0,5.6,10.9,0.0,0.1,2.5,4.1,3.0,6.4,9.4,1.8,0.6,0.9,2.0,4.4,13.7,.507,.510,.000,.507,.605,.533
1214,Jason Thompson,2011-12,25,SAC,NBA,64,47,1657,5.1,9.6,5.1,9.6,0.0,0.0,2.4,3.9,3.6,6.0,9.6,1.7,0.9,1.0,1.5,3.2,12.7,.535,.537,.000,.535,.602,.558
1215,Jason Thompson,2012-13,26,SAC,NBA,82,81,2285,5.9,11.7,5.9,11.7,0.0,0.0,2.3,3.2,2.7,5.9,8.6,1.3,0.8,1.0,1.6,3.6,14.0,.502,.504,.000,.502,.694,.533
1216,Jason Thompson,2013-14,27,SAC,NBA,82,61,2007,4.5,8.9,4.5,8.9,0.0,0.0,1.5,2.6,2.7,6.7,9.5,1.0,0.6,1.0,1.7,4.5,10.5,.506,.506,,.506,.579,.523
1217,Jason Thompson,2014-15,28,SAC,NBA,81,63,1991,3.6,7.7,3.6,7.7,0.0,0.0,1.6,2.6,2.5,7.1,9.6,1.5,0.6,1.0,1.5,4.3,8.9,.470,.471,.000,.470,.622,.500
1218,Hollis Thompson,2013-14,22,PHI,NBA,77,41,1742,3.5,7.7,2.1,4.2,1.4,3.5,1.1,1.5,1.5,3.6,5.1,1.5,1.1,0.2,1.2,3.0,9.5,.460,.507,.401,.550,.712,.570
1219,Hollis Thompson,2014-15,23,PHI,NBA,71,23,1776,4.5,11.0,2.2,5.2,2.3,5.8,1.3,1.8,1.1,2.9,4.0,1.7,1.2,0.5,1.3,2.9,12.7,.413,.426,.401,.518,.708,.538
1220,Hollis Thompson,2015-16,24,PHI,NBA,77,17,2154,4.5,11.4,2.0,4.8,2.5,6.6,1.2,1.6,0.9,3.6,4.5,1.7,0.6,0.4,1.3,3.1,12.7,.397,.420,.380,.507,.719,.525
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1221,George Thompson,1974-75,27,MIL,NBA,73,,1983,5.6,12.5,5.6,12.5,,,3.0,3.9,0.9,2.4,3.3,4.1,1.2,0.1,,3.7,14.2,.443,.443,,.443,.785,.497
1222,David Thompson*,1976-77,22,DEN,NBA,82,,3001,9.9,19.5,9.9,19.5,,,5.7,7.5,1.7,2.4,4.0,4.0,1.4,0.6,,2.8,25.5,.507,.507,,.507,.766,.559
1223,David Thompson*,1977-78,23,DEN,NBA,80,,3025,9.8,18.9,9.8,18.9,,,6.2,7.9,1.9,2.8,4.6,4.3,1.1,1.2,2.9,2.5,25.8,.521,.521,,.521,.778,.578
1224,David Thompson*,1978-79,24,DEN,NBA,76,,2670,9.3,18.2,9.3,18.2,,,5.9,7.9,1.5,2.2,3.7,3.0,0.9,1.1,2.5,2.4,24.6,.512,.512,,.512,.753,.567
