
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3601,Alonzo Mourning*,1992-93,22,CHH,NBA,78,78,2644,7.8,15.2,7.8,15.2,0.0,0.0,6.7,8.6,3.6,7.4,11.0,1.0,0.4,3.7,3.2,3.9,22.3,.511,.513,.000,.511,.781,.586
3602,Alonzo Mourning*,1993-94,23,CHH,NBA,60,59,2018,7.6,15.1,7.6,15.0,0.0,0.0,7.7,10.1,3.2,7.7,10.9,1.5,0.5,3.4,3.6,3.7,23.0,.505,.507,.000,.505,.762,.588
3603,Alonzo Mourning*,1994-95,24,CHH,NBA,77,77,2941,7.0,13.5,6.9,13.1,0.1,0.4,6.0,7.9,2.4,6.9,9.3,1.4,0.6,2.8,3.0,3.4,20.1,.519,.525,.324,.524,.761,.593
3604,Alonzo Mourning*,1995-96,25,MIA,NBA,70,70,2671,7.6,14.5,7.5,14.1,0.1,0.4,6.6,9.6,2.9,6.9,9.8,2.1,0.9,2.5,3.5,3.3,21.9,.523,.530,.300,.527,.685,.584
3605,Alonzo Mourning*,1996-97,26,MIA,NBA,66,65,2320,7.3,13.7,7.3,13.6,0.0,0.1,5.6,8.8,2.9,7.2,10.2,1.6,0.9,2.9,3.5,4.2,20.3,.534,.539,.111,.535,.642,.578
3606,Alonzo Mourning*,1998-99,28,MIA,NBA,46,46,1753,6.7,13.0,6.7,13.0,0.0,0.0,5.7,8.7,3.4,7.0,10.4,1.5,0.7,3.7,2.9,3.3,19.0,.511,.513,.000,.511,.652,.563
3607,Alonzo Mourning*,1999-00,29,MIA,NBA,79,78,2748,8.5,15.5,8.5,15.5,0.0,0.1,5.4,7.6,2.8,7.0,9.9,1.6,0.5,3.9,2.8,4.0,22.5,.551,.553,.000,.551,.711,.596
3608,Alonzo Mourning*,2001-02,31,MIA,NBA,75,74,2455,6.6,12.7,6.5,12.7,0.0,0.0,4.1,6.3,2.7,6.6,9.3,1.3,0.4,2.7,2.7,3.8,17.3,.516,.517,.333,.517,.657,.558
3609,Alonzo Mourning*,2006-07,36,MIA,NBA,77,43,1572,5.5,9.7,5.5,9.7,0.0,0.0,4.2,7.1,2.9,5.1,8.0,0.4,0.3,4.1,3.0,5.0,15.1,.560,.560,,.560,.601,.590
3610,Hanno Mottola,2000-01,24,ATL,NBA,73,3,989,4.5,10.1,4.5,10.0,0.0,0.1,2.7,3.3,1.8,4.6,6.3,0.9,0.4,0.3,2.4,5.9,11.6,.444,.449,.000,.444,.811,.504
3611,Hanno Mottola,2001-02,25,ATL,NBA,82,14,1371,4.4,10.1,4.4,9.7,0.0,0.3,1.5,2.0,2.1,4.9,7.0,1.3,0.5,0.5,1.8,4.6,10.4,.440,.453,.077,.441,.750,.474
3612,Donatas Motiejunas,2013-14,23,HOU,NBA,62,3,952,5.0,11.2,4.2,8.0,0.8,3.2,2.2,3.6,2.3,6.2,8.5,1.3,0.8,0.8,1.9,5.0,12.9,.443,.519,.250,.478,.604,.504
3613,Donatas Motiejunas,2014-15,24,HOU,NBA,71,62,2037,6.2,12.4,5.4,10.0,0.9,2.4,1.8,2.9,2.4,5.0,7.4,2.3,1.0,0.6,2.2,3.6,15.1,.504,.536,.368,.539,.602,.553
3614,Perry Moss,1985-86,27,TOT,NBA,72,0,1012,4.1,10.4,3.9,9.2,0.2,1.1,2.3,3.2,1.2,2.9,4.1,3.8,2.0,0.5,2.8,4.7,10.8,.397,.419,.219,.409,.730,.459
3615,Anthony Morrow,2009-10,24,GSW,NBA,69,37,2018,5.9,12.5,3.4,7.1,2.5,5.5,1.8,2.0,1.1,3.5,4.6,1.9,1.2,0.3,1.5,2.8,16.0,.468,.477,.456,.568,.886,.597
