
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3326,Michael Ruffin,2000-01,24,CHI,NBA,45,16,879,10.1,.000,.856,13.1,22.6,17.7,6.9,1.8,3.2,27.1,9.0,97,103,0.2,0.9,1.0,.056,-3.8,2.1,-1.7,0.1
3327,Michael Ruffin,2001-02,25,PHI,NBA,15,0,169,5.5,.000,.308,15.6,18.6,17.1,4.4,1.6,3.6,27.1,11.0,71,98,-0.3,0.3,0.0,-.005,-6.6,2.8,-3.8,-0.1
3328,Michael Ruffin,2003-04,27,UTA,NBA,41,23,733,7.0,.000,.325,13.0,22.2,17.5,8.9,1.7,2.4,23.9,11.2,82,101,-0.8,1.0,0.2,.014,-4.1,2.3,-1.8,0.0
3329,Michael Ruffin,2004-05,28,WAS,NBA,79,7,1262,8.6,.010,.677,13.5,16.2,14.8,7.1,1.8,2.4,25.5,6.0,109,106,0.7,1.3,1.9,.074,-2.4,2.5,0.1,0.7
3330,Michael Ruffin,2005-06,29,WAS,NBA,76,4,1010,8.1,.026,.961,13.6,17.7,15.6,3.7,1.7,2.4,25.8,6.5,108,105,0.6,1.1,1.7,.081,-2.4,2.1,-0.3,0.4
3331,Michael Ruffin,2006-07,30,WAS,NBA,30,0,271,4.4,.000,1.056,14.4,11.8,13.1,2.9,1.1,2.3,31.3,6.2,91,112,-0.1,0.1,0.0,.002,-3.9,0.6,-3.3,-0.1
3332,Michael Ruffin,2007-08,31,MIL,NBA,46,2,632,12.1,.000,1.016,16.1,18.6,17.3,5.3,2.6,2.4,17.5,7.7,117,108,0.7,0.6,1.2,.095,-1.2,2.0,0.8,0.4
3333,Michael Ruffin,2008-09,32,POR,NBA,11,0,35,10.3,.000,.286,20.9,18.0,19.5,0.0,4.7,2.3,20.2,13.3,95,99,0.0,0.1,0.1,.080,-4.5,0.0,-4.5,0.0
3334,Damjan Rudez,2014-15,28,IND,NBA,68,2,1047,8.2,.646,.087,0.9,4.1,2.5,7.9,0.8,0.4,14.7,13.8,105,109,0.6,0.7,1.3,.061,-0.7,-1.8,-2.5,-0.1
3335,Damjan Rudez,2015-16,29,MIN,NBA,33,0,277,5.5,.806,.129,2.1,6.2,4.2,5.8,0.5,0.3,16.6,12.7,102,116,0.1,0.0,0.1,.009,-1.2,-3.5,-4.7,-0.2
