
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3601,David Robinson*,1998-99,33,SAS,NBA,49,49,1554,24.9,.002,.689,11.4,23.4,17.8,12.1,2.4,5.3,13.6,23.8,111,88,4.0,4.4,8.4,.261,2.2,5.3,7.4,3.7
3602,David Robinson*,1999-00,34,SAS,NBA,80,80,2557,24.6,.002,.496,9.0,24.5,17.1,10.3,2.0,4.9,11.6,25.6,112,92,6.2,6.4,12.7,.238,1.6,3.9,5.5,4.8
3603,David Robinson*,2000-01,35,SAS,NBA,80,80,2371,23.7,.001,.571,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,114,92,6.4,5.7,12.1,.246,1.4,4.1,5.5,4.5
3604,David Robinson*,2001-02,36,SAS,NBA,78,78,2303,20.3,.000,.588,9.9,22.0,16.2,7.0,2.0,4.3,10.9,19.2,114,95,5.0,5.1,10.1,.211,0.4,3.5,3.9,3.4
3605,David Robinson*,2002-03,37,SAS,NBA,64,64,1676,17.8,.000,.510,11.8,22.8,17.6,5.9,1.7,4.6,13.9,16.5,109,95,2.5,3.6,6.0,.172,-1.2,3.3,2.1,1.7
3606,Clifford Robinson,1989-90,23,POR,NBA,82,0,1565,9.3,.059,.334,7.5,13.9,10.7,6.5,1.6,2.1,13.0,24.9,90,104,-2.0,2.4,0.3,.010,-4.7,0.0,-4.7,-1.1
3607,Clifford Robinson,1990-91,24,POR,NBA,82,11,1940,14.1,.024,.390,7.1,12.7,10.0,11.0,1.9,2.4,12.3,22.6,104,104,1.2,3.0,4.2,.104,-1.2,1.4,0.1,1.0
3608,Clifford Robinson,1991-92,25,POR,NBA,82,7,2124,14.2,.013,.386,7.2,14.2,10.7,9.4,1.9,3.2,13.4,22.1,103,103,1.0,3.6,4.6,.104,-1.9,1.9,0.0,1.1
3609,Clifford Robinson,1992-93,26,POR,NBA,82,12,2575,18.8,.058,.311,6.8,16.5,11.5,11.8,1.8,4.0,10.2,27.0,106,103,2.5,4.3,6.8,.127,0.0,1.7,1.8,2.4
3610,Clifford Robinson,1993-94,27,POR,NBA,82,64,2853,17.4,.038,.328,6.0,15.4,10.5,8.9,2.0,2.5,9.5,25.4,107,104,3.7,3.7,7.5,.126,0.0,0.6,0.6,1.9
3611,Clifford Robinson,1994-95,28,POR,NBA,75,73,2725,18.3,.290,.289,6.0,11.8,8.8,12.2,1.5,2.2,9.6,25.5,113,107,5.4,3.3,8.7,.153,2.9,0.2,3.1,3.5
