
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
10401,Bill Garnett,1984-85,24,IND,NBA,65,13,1123,10.7,.006,.561,9.1,17.8,13.4,8.0,1.1,0.7,19.2,16.8,102,108,0.3,1.2,1.5,.063,-2.6,-0.3,-2.8,-0.2
10402,Bill Garnett,1985-86,25,IND,NBA,80,2,1197,10.5,.008,.678,9.7,15.2,12.5,10.2,1.6,1.1,22.7,13.8,103,106,0.5,1.5,2.0,.078,-2.2,1.4,-0.8,0.4
10403,Chris Garner,1997-98,22,TOR,NBA,38,0,293,5.6,.200,.100,2.6,6.8,4.6,23.1,3.7,0.9,25.5,14.7,77,110,-0.5,0.1,-0.4,-.069,-5.8,-1.9,-7.7,-0.4
10404,Chris Garner,2000-01,25,GSW,NBA,8,0,149,1.0,.189,.162,1.3,7.8,4.3,17.4,2.4,0.5,18.5,13.8,62,109,-0.4,0.0,-0.4,-.123,-7.9,-1.3,-9.1,-0.3
10405,Winston Garland,1994-95,30,MIN,NBA,73,58,1931,10.1,.183,.273,3.1,7.5,5.3,26.7,1.9,0.5,18.6,13.4,103,114,0.6,0.6,1.2,.030,-2.0,-1.5,-3.5,-0.7
10406,Winston Garland,1987-88,23,GSW,NBA,67,62,2122,13.8,.050,.203,3.5,8.6,6.0,28.3,2.6,0.2,16.5,19.3,102,113,0.8,0.9,1.7,.039,-0.3,-0.9,-1.2,0.4
10407,Winston Garland,1988-89,24,GSW,NBA,79,79,2661,14.7,.040,.234,3.8,8.5,6.2,24.9,2.9,0.3,13.6,19.5,105,108,1.9,2.6,4.5,.082,0.0,0.1,0.0,1.4
10408,Winston Garland,1989-90,25,TOT,NBA,79,19,1762,9.8,.063,.213,3.3,9.9,6.7,23.5,2.1,0.3,20.1,18.2,92,112,-1.4,1.1,-0.3,-.008,-2.9,-0.8,-3.8,-0.8
10409,Winston Garland,1990-91,26,LAC,NBA,69,26,1702,12.1,.050,.303,2.9,9.8,6.3,25.6,2.7,0.4,16.5,16.8,102,107,0.4,2.0,2.4,.069,-1.7,0.7,-1.0,0.4
10410,Winston Garland,1991-92,27,DEN,NBA,78,67,2209,13.3,.037,.265,3.1,6.4,4.6,27.6,2.2,0.6,17.3,18.6,105,111,1.3,1.6,2.9,.063,-0.9,-1.1,-2.0,0.0
10411,Winston Garland,1992-93,28,HOU,NBA,66,4,1004,12.2,.038,.259,3.8,8.1,6.1,20.3,2.0,0.2,14.9,19.8,105,108,0.7,1.1,1.8,.084,-2.0,-0.9,-2.9,-0.2
10412,Gary Garland,1979-80,22,DEN,NBA,78,,1106,10.2,.053,.073,4.6,8.5,6.5,17.9,2.3,0.2,16.6,15.6,95,109,-0.2,0.7,0.5,.020,-2.6,-0.9,-3.5,-0.4
10413,Thomas Gardner,2008-09,23,ATL,NBA,16,0,98,1.5,.639,.111,0.0,8.4,4.2,3.1,2.2,0.8,7.4,19.5,67,109,-0.3,0.1,-0.2,-.120,-7.1,-2.6,-9.7,-0.2
10414,Thomas Gardner,2007-08,22,CHI,NBA,4,0,45,4.4,.522,.087,7.3,2.6,5.0,4.0,0.0,0.0,14.3,27.4,81,116,-0.1,0.0,-0.1,-.128,-4.1,-6.6,-10.7,-0.1
10415,Francisco Garcia,2008-09,27,SAC,NBA,65,36,1975,14.1,.332,.268,3.3,9.6,6.4,12.6,2.1,2.5,13.1,19.4,107,114,1.7,0.7,2.4,.058,0.3,-0.4,-0.1,0.9
10416,Francisco Garcia,2009-10,28,SAC,NBA,25,4,575,12.4,.335,.097,2.2,11.1,6.6,12.1,0.9,2.4,10.3,15.7,111,111,0.6,0.3,1.0,.081,-0.7,-0.4,-1.1,0.1
10417,Francisco Garcia,2010-11,29,SAC,NBA,58,34,1386,13.5,.472,.160,1.9,9.2,5.5,8.0,1.9,2.6,8.1,17.3,113,109,1.9,1.1,3.0,.104,0.6,0.0,0.7,0.9
10418,Francisco Garcia,2011-12,30,SAC,NBA,49,3,798,10.7,.572,.131,1.4,12.7,6.8,5.8,2.3,3.4,8.3,14.4,101,108,0.3,0.5,0.8,.048,-1.6,0.4,-1.2,0.2
10419,Francisco Garcia,2012-13,31,TOT,NBA,58,20,1029,11.0,.597,.070,0.9,9.4,5.1,9.2,2.3,2.9,9.4,14.7,105,109,0.6,0.6,1.3,.059,-0.5,0.1,-0.4,0.4
10420,Francisco Garcia,2005-06,24,SAC,NBA,67,11,1301,10.3,.422,.311,3.5,13.0,8.3,11.2,1.6,2.6,16.9,15.7,98,104,0.0,1.6,1.6,.060,-2.4,1.0,-1.3,0.2
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
10421,Francisco Garcia,2013-14,32,HOU,NBA,55,4,1083,9.3,.656,.065,2.3,9.8,6.3,8.6,1.2,2.3,9.0,13.5,108,108,0.8,0.9,1.8,.078,-0.3,0.1,-0.2,0.5
10422,Francisco Garcia,2006-07,25,SAC,NBA,79,5,1410,11.7,.392,.300,4.3,12.9,8.5,9.8,1.6,2.3,14.0,15.9,106,108,1.1,1.2,2.4,.080,-0.9,0.3,-0.6,0.5
10423,Francisco Garcia,2014-15,33,HOU,NBA,14,0,200,3.6,.714,.063,1.7,7.7,4.7,11.0,2.2,1.9,13.4,16.2,76,105,-0.4,0.2,-0.2,-.044,-5.0,-0.2,-5.3,-0.2
