
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
501,Lorenzo Williams,1997-98,28,WAS,NBA,14,6,111,14.1,.000,.118,15.9,10.6,13.3,4.1,0.9,1.9,10.1,8.0,145,107,0.3,0.1,0.4,.169,1.4,-0.2,1.1,0.1
502,Lorenzo Williams,1999-00,30,WAS,NBA,8,0,76,16.1,.000,.000,18.0,19.9,18.9,2.0,2.0,5.7,25.0,7.0,134,101,0.2,0.1,0.3,.165,0.5,2.5,2.9,0.1
503,Kevin Williams,1983-84,22,SAS,NBA,19,0,200,9.9,.017,.552,2.2,4.7,3.5,25.2,1.8,1.0,23.4,18.2,100,113,0.0,0.1,0.1,.026,-2.7,-2.4,-5.1,-0.2
504,Kevin Williams,1984-85,23,CLE,NBA,46,4,413,9.7,.037,.478,5.0,11.5,8.3,20.0,2.5,0.5,23.2,20.5,94,108,-0.3,0.4,0.1,.017,-3.0,0.5,-2.5,0.0
505,Kevin Williams,1986-87,25,SEA,NBA,65,0,703,10.4,.024,.223,7.3,5.6,6.4,13.1,3.0,0.6,16.2,21.7,99,110,0.0,0.6,0.6,.038,-1.8,-0.9,-2.6,-0.1
506,Kevin Williams,1987-88,26,SEA,NBA,80,9,1084,12.0,.016,.271,6.2,7.0,6.6,12.5,2.7,0.4,11.9,21.2,106,109,0.8,1.1,1.9,.084,-1.0,-0.8,-1.8,0.0
507,Kevin Williams,1988-89,27,TOT,NBA,50,0,547,9.0,.030,.295,5.5,8.7,7.0,13.6,2.6,1.2,18.7,20.7,91,109,-0.6,0.5,-0.1,-.009,-4.2,-0.2,-4.4,-0.3
508,Kenny Williams,1990-91,21,IND,NBA,75,0,527,13.9,.017,.279,12.6,15.8,14.3,8.5,1.0,3.5,16.9,19.3,105,111,0.4,0.4,0.7,.068,-1.6,-0.8,-2.3,0.0
509,Kenny Williams,1991-92,22,IND,NBA,60,6,565,16.4,.018,.197,13.3,12.1,12.6,10.5,1.7,4.3,8.5,19.2,114,108,1.0,0.6,1.6,.133,0.4,0.6,1.0,0.4
510,Kenny Williams,1992-93,23,IND,NBA,57,0,844,17.7,.011,.241,13.4,16.2,14.8,6.7,1.2,3.4,8.2,17.0,121,108,1.8,0.8,2.7,.151,0.8,0.1,0.9,0.6
511,Kenny Williams,1993-94,24,IND,NBA,68,1,982,15.8,.010,.164,11.4,12.7,12.1,8.7,1.3,3.4,9.7,20.7,108,104,1.2,1.2,2.4,.119,-0.5,0.3,-0.2,0.4
512,Justin Williams,2006-07,22,SAC,NBA,26,1,333,17.3,.011,.716,17.6,23.0,20.3,1.0,0.8,3.7,11.5,17.6,113,106,0.6,0.4,0.9,.132,-2.2,-2.4,-4.6,-0.2
513,Justin Williams,2007-08,23,TOT,NBA,23,0,123,13.2,.000,.897,19.5,27.3,23.5,0.0,2.1,3.1,9.0,16.2,99,104,0.0,0.2,0.2,.071,-5.9,-4.4,-10.3,-0.3
514,Jordan Williams,2011-12,21,NJN,NBA,43,5,635,14.5,.000,.434,11.7,16.9,14.3,2.9,1.8,1.8,11.3,14.7,112,108,1.0,0.4,1.3,.101,-1.9,-1.1,-3.1,-0.2
515,John Williams,1986-87,20,WSB,NBA,78,6,1773,15.5,.058,.357,7.6,14.4,10.9,15.6,3.5,0.9,14.5,19.1,103,104,0.8,2.8,3.5,.096,0.2,2.4,2.6,2.1
516,John Williams,1987-88,21,WSB,NBA,82,37,2428,14.9,.042,.281,5.8,14.7,10.2,14.3,2.4,0.8,12.4,19.8,106,106,1.9,3.1,5.0,.098,0.4,1.6,2.0,2.5
517,John Williams,1988-89,22,WSB,NBA,82,1,2413,18.8,.076,.309,6.9,19.6,13.0,20.9,2.8,1.7,12.8,20.4,110,104,3.3,3.5,6.9,.136,1.8,2.8,4.6,4.0
518,John Williams,1989-90,23,WSB,NBA,18,18,632,17.6,.066,.307,4.6,18.8,11.6,18.9,1.6,0.8,12.1,22.9,107,108,0.7,0.7,1.3,.101,0.6,0.2,0.8,0.4
519,John Williams,1990-91,24,WSB,NBA,33,11,941,14.1,.104,.247,4.9,15.7,10.3,20.8,2.0,0.4,13.5,22.3,99,107,-0.1,1.1,1.0,.051,-1.0,0.2,-0.9,0.3
520,John Williams,1992-93,26,LAC,NBA,74,8,1638,10.5,.111,.270,5.9,15.6,10.7,11.3,2.5,0.9,12.9,15.4,98,106,-0.2,2.1,1.9,.055,-2.3,1.3,-1.0,0.4
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
521,John Williams,1993-94,27,LAC,NBA,34,6,725,10.5,.106,.191,5.5,13.1,9.3,18.2,1.7,0.8,14.7,13.6,102,109,0.3,0.5,0.8,.050,-2.0,0.2,-1.8,0.0
522,John Williams,1994-95,28,IND,NBA,34,0,402,4.2,.104,.217,7.1,11.5,9.3,10.3,1.3,0.4,21.7,18.3,79,108,-0.9,0.4,-0.5,-.055,-5.9,-0.3,-6.2,-0.4
523,Jerome Williams,1996-97,23,DET,NBA,33,0,177,12.6,.000,.333,15.8,19.3,17.6,6.6,4.2,0.5,18.2,20.0,90,98,-0.2,0.4,0.2,.049,-4.3,1.4,-2.9,0.0
524,Jerome Williams,1997-98,24,DET,NBA,77,3,1305,16.3,.003,.576,15.4,19.2,17.3,6.1,2.1,0.6,14.3,15.0,117,102,2.6,1.9,4.5,.166,0.5,0.4,0.9,1.0
525,Jerome Williams,1998-99,25,DET,NBA,50,10,1154,18.2,.000,.641,16.6,20.4,18.5,3.4,3.0,0.5,11.4,14.8,119,97,2.9,1.9,4.8,.201,1.4,0.6,2.0,1.2
526,Jerome Williams,1999-00,26,DET,NBA,82,1,2102,17.9,.007,.623,15.3,28.2,21.7,5.0,2.3,0.7,15.3,14.3,118,101,4.6,3.0,7.6,.174,0.7,0.7,1.4,1.8
527,Jerome Williams,2000-01,27,TOT,NBA,59,2,1182,15.7,.010,.459,12.0,23.4,17.5,6.1,2.5,1.2,15.1,15.4,107,98,1.5,2.0,3.5,.141,-1.3,1.6,0.4,0.7
528,Jerome Williams,2001-02,28,TOR,NBA,68,32,1641,15.7,.000,.526,11.2,16.0,13.5,7.3,2.6,1.1,12.5,15.2,113,102,2.7,2.3,5.0,.147,-0.1,1.5,1.4,1.4
529,Jerome Williams,2002-03,29,TOR,NBA,71,63,2346,15.6,.011,.525,10.8,21.2,15.8,6.7,2.6,0.8,13.0,14.7,108,103,2.9,2.5,5.4,.110,-0.4,1.3,0.8,1.7
530,Jerome Williams,2003-04,30,TOT,NBA,68,44,1637,14.7,.024,.461,11.7,20.6,16.1,7.3,2.9,0.4,15.5,13.3,107,99,1.8,2.5,4.3,.127,-1.5,1.9,0.4,1.0
531,Jerome Williams,2004-05,31,NYK,NBA,79,4,1211,13.2,.021,.708,11.1,16.4,13.7,5.2,2.4,0.6,16.9,14.5,110,107,1.5,1.1,2.6,.102,-1.2,0.3,-0.9,0.3
532,Jayson Williams,1990-91,22,PHI,NBA,52,1,508,8.0,.012,.348,9.3,15.2,12.3,4.7,0.9,0.7,17.7,19.4,93,110,-0.4,0.4,0.1,.006,-4.8,-2.1,-6.9,-0.6
533,Jayson Williams,1991-92,23,PHI,NBA,50,8,646,7.4,.000,.427,11.1,14.6,12.8,2.7,1.6,1.9,15.2,19.6,88,109,-0.8,0.6,-0.3,-.020,-5.8,-1.7,-7.5,-0.9
534,Jayson Williams,1992-93,24,NJN,NBA,12,2,139,10.6,.000,.391,17.2,15.0,16.1,0.0,1.4,1.8,12.9,18.7,97,105,0.0,0.2,0.2,.052,-4.8,-4.0,-8.9,-0.2
535,Jayson Williams,1993-94,25,NJN,NBA,70,0,877,13.0,.000,.406,12.9,18.8,15.8,4.5,1.0,2.5,9.2,18.3,104,104,0.7,1.1,1.8,.099,-2.7,-0.7,-3.3,-0.3
536,Jayson Williams,1994-95,26,NJN,NBA,75,6,982,16.2,.015,.378,19.9,27.5,23.7,6.1,1.4,2.3,13.5,19.5,104,104,0.5,1.6,2.1,.102,-2.3,-0.1,-2.5,-0.1
