
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4201,James Posey,2006-07,30,MIA,NBA,71,19,1919,12.7,.600,.227,4.2,17.5,11.0,7.7,2.0,0.9,10.4,13.1,116,104,2.6,2.6,5.2,.130,0.7,1.1,1.8,1.8
4202,James Posey,2007-08,31,BOS,NBA,74,2,1821,12.0,.674,.278,2.1,18.0,10.5,9.5,2.1,0.9,12.3,13.5,114,98,2.2,4.0,6.2,.164,0.5,2.4,2.9,2.3
4203,James Posey,2008-09,32,NOH,NBA,75,0,2140,10.8,.599,.279,2.2,18.3,10.2,6.0,1.5,0.8,11.8,15.0,109,107,1.7,2.6,4.2,.095,-0.6,0.3,-0.3,0.9
4204,James Posey,2009-10,33,NOH,NBA,77,2,1731,8.7,.701,.232,2.1,20.5,11.2,9.3,1.3,0.8,11.8,11.4,108,110,1.0,1.4,2.4,.067,-1.3,0.6,-0.7,0.6
4205,James Posey,2010-11,34,IND,NBA,49,0,839,7.5,.880,.062,1.3,18.0,9.7,6.1,1.4,0.5,8.8,14.3,98,106,0.0,1.0,1.0,.056,-1.3,-0.6,-2.0,0.0
4206,Kristaps Porzingis,2015-16,20,NYK,NBA,72,72,2047,17.7,.274,.271,7.1,20.7,14.0,7.8,1.3,5.0,10.9,24.6,103,103,1.5,2.9,4.3,.102,-0.8,0.9,0.1,1.1
4207,Bobby Portis,2015-16,20,CHI,NBA,62,4,1102,13.8,.119,.151,12.0,20.0,16.1,7.5,1.1,1.5,10.4,20.7,100,106,0.3,1.3,1.5,.066,-2.4,-0.9,-3.3,-0.4
4208,Terry Porter,1985-86,22,POR,NBA,79,3,1214,14.8,.094,.347,3.3,7.7,5.5,22.2,3.1,0.0,17.1,20.2,107,108,1.2,1.1,2.3,.093,-0.1,-1.0,-1.1,0.3
4209,Terry Porter,1986-87,23,POR,NBA,80,80,2714,16.2,.078,.434,3.0,10.8,6.9,33.6,2.7,0.2,21.8,17.0,113,108,4.0,2.8,6.8,.120,1.1,0.2,1.3,2.2
4210,Terry Porter,1987-88,24,POR,NBA,82,82,2991,18.1,.078,.364,2.3,11.3,6.8,35.9,2.3,0.3,19.1,16.8,119,107,6.5,3.3,9.8,.157,2.4,0.0,2.4,3.4
4211,Terry Porter,1988-89,25,POR,NBA,81,81,3102,17.7,.191,.283,2.9,10.2,6.4,32.8,2.2,0.2,16.1,19.1,116,109,6.5,2.6,9.2,.142,2.8,-0.6,2.2,3.3
4212,Terry Porter,1989-90,26,POR,NBA,80,80,2781,20.0,.246,.487,2.3,8.4,5.3,35.4,2.5,0.1,17.2,20.1,122,105,7.9,3.8,11.7,.202,4.4,0.0,4.3,4.4
4213,Terry Porter,1990-91,27,POR,NBA,81,81,2665,21.7,.332,.359,2.2,9.4,5.9,34.0,2.8,0.3,14.7,19.6,127,104,9.2,3.9,13.0,.235,5.9,0.3,6.1,5.5
4214,Terry Porter,1991-92,28,POR,NBA,82,82,2784,18.1,.287,.326,2.0,8.0,5.0,24.9,2.2,0.3,12.7,21.6,119,106,7.0,3.5,10.6,.182,3.6,-0.5,3.1,3.6
4215,Terry Porter,1992-93,29,POR,NBA,81,81,2883,17.0,.311,.350,2.1,10.1,6.0,21.7,1.7,0.2,13.5,21.1,115,108,5.7,3.1,8.8,.147,2.9,-0.5,2.4,3.2
4216,Terry Porter,1993-94,30,POR,NBA,77,34,2074,16.4,.337,.280,2.3,9.3,5.6,28.2,1.9,0.6,15.0,21.7,110,108,3.5,1.8,5.4,.124,2.4,-1.3,1.0,1.6
4217,Terry Porter,1994-95,31,POR,NBA,35,9,770,13.7,.427,.307,2.5,9.7,5.9,25.4,2.0,0.2,16.1,19.8,109,108,0.9,0.8,1.7,.106,0.6,-1.0,-0.4,0.3
4218,Terry Porter,1995-96,32,MIN,NBA,82,40,2072,15.4,.372,.344,2.1,10.2,6.1,35.1,2.2,0.6,19.8,18.7,108,111,2.3,1.3,3.7,.085,1.2,-2.0,-0.8,0.6
4219,Terry Porter,1996-97,33,MIN,NBA,82,20,1568,14.5,.445,.370,2.4,10.9,6.6,30.2,1.8,0.5,19.7,19.0,106,109,1.5,1.2,2.7,.082,0.3,-2.1,-1.8,0.1
4220,Terry Porter,1997-98,34,MIN,NBA,82,8,1786,17.3,.404,.338,2.4,8.2,5.3,23.5,1.8,0.6,13.6,19.1,117,109,4.3,0.9,5.2,.139,2.9,-2.2,0.7,1.2
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4221,Terry Porter,1998-99,35,MIA,NBA,50,1,1365,16.9,.381,.400,1.2,10.5,6.2,19.6,2.0,0.6,14.5,18.4,115,100,3.3,1.7,5.0,.178,2.8,0.0,2.8,1.7
4222,Terry Porter,1999-00,36,SAS,NBA,68,8,1613,16.6,.447,.367,1.8,11.3,6.7,22.3,1.6,0.4,15.7,18.3,114,101,3.4,2.3,5.6,.168,2.7,0.0,2.7,1.9
4223,Terry Porter,2000-01,37,SAS,NBA,80,42,1678,15.5,.466,.264,1.7,11.4,6.8,24.5,1.7,0.5,17.5,16.7,112,100,3.0,2.3,5.4,.154,2.0,0.2,2.2,1.8
4224,Terry Porter,2001-02,38,SAS,NBA,72,0,1294,13.9,.442,.259,1.1,13.1,7.3,25.2,1.9,0.9,19.2,15.9,108,101,1.6,1.9,3.5,.131,0.2,0.6,0.8,0.9
4225,Otto Porter,2013-14,20,WAS,NBA,37,0,319,6.0,.231,.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,86,107,-0.4,0.3,0.0,-.006,-5.4,-1.4,-6.8,-0.4
4226,Otto Porter,2014-15,21,WAS,NBA,74,13,1432,11.6,.266,.202,5.6,11.6,8.7,6.8,1.6,1.7,10.9,15.1,105,104,1.0,1.8,2.7,.092,-1.4,0.9,-0.4,0.6
4227,Otto Porter,2015-16,22,WAS,NBA,75,73,2276,14.5,.372,.176,4.7,14.7,9.6,7.9,2.2,1.1,8.3,16.2,112,105,3.0,2.7,5.6,.119,0.8,1.0,1.8,2.2
4228,Kevin Porter,1979-80,29,WSB,NBA,70,,1494,13.1,.009,.313,1.7,3.9,2.8,40.0,1.8,0.4,24.8,17.5,101,108,0.8,1.0,1.8,.057,-1.9,-3.3,-5.2,-1.2
4229,Kevin Porter,1980-81,30,WSB,NBA,81,,2577,16.2,.014,.288,1.4,3.7,2.5,39.3,2.0,0.2,20.6,19.0,108,106,3.8,2.6,6.4,.119,0.8,-2.0,-1.2,0.5
4230,Kevin Porter,1982-83,32,WSB,NBA,11,0,210,8.4,.000,.150,1.0,1.6,1.3,29.8,2.3,0.0,33.0,12.6,95,103,0.0,0.3,0.2,.055,-4.7,-2.6,-7.3,-0.3
4231,Chris Porter,2000-01,22,GSW,NBA,51,35,1147,11.1,.011,.317,7.6,10.1,8.7,9.0,2.0,0.4,10.4,20.8,94,109,-0.1,0.3,0.2,.008,-2.8,-1.8,-4.6,-0.8
4232,Ben Poquette,1979-80,24,UTA,NBA,82,,2349,14.0,.004,.295,6.4,20.9,13.9,7.7,0.9,3.9,13.9,13.6,112,107,3.0,1.8,4.9,.099,-1.1,1.3,0.2,1.3
4233,Ben Poquette,1980-81,25,UTA,NBA,82,,2808,13.0,.010,.264,6.6,18.9,12.8,7.9,1.2,3.6,15.1,12.4,110,107,2.9,2.5,5.4,.092,-1.0,2.2,1.2,2.3
4234,Ben Poquette,1981-82,26,UTA,NBA,82,56,1698,13.1,.023,.280,7.3,18.9,13.0,6.9,1.4,2.1,12.6,13.0,115,110,2.2,1.2,3.4,.096,-0.9,0.6,-0.4,0.7
4235,Ben Poquette,1982-83,27,UTA,NBA,75,50,2331,13.4,.007,.317,7.0,15.6,11.4,9.6,1.2,2.5,11.2,15.0,108,104,2.5,2.5,5.0,.103,-0.8,1.4,0.6,1.6
4236,Ben Poquette,1983-84,28,CLE,NBA,51,4,858,9.6,.029,.251,7.3,17.2,12.1,7.5,1.1,2.3,12.8,10.6,107,108,0.4,0.9,1.3,.075,-2.8,1.8,-1.0,0.2
4237,Ben Poquette,1984-85,29,CLE,NBA,79,6,1656,12.6,.037,.300,9.7,21.2,15.5,6.4,1.3,1.9,11.9,14.2,109,106,1.4,2.1,3.5,.102,-1.5,1.6,0.1,0.9
4238,Ben Poquette,1985-86,30,CLE,NBA,81,3,1496,10.4,.029,.287,8.9,18.6,13.8,6.8,1.0,1.2,14.8,12.6,106,108,0.9,1.4,2.3,.075,-1.9,1.1,-0.7,0.5
4239,Ben Poquette,1986-87,31,TOT,NBA,58,2,604,10.8,.033,.410,5.4,12.8,9.1,7.7,0.7,3.2,12.7,11.1,117,107,0.7,0.7,1.4,.110,-2.7,1.0,-1.7,0.0
4240,Dave Popson,1988-89,24,TOT,NBA,17,0,106,6.4,.000,.100,12.2,15.5,13.9,10.6,0.4,1.6,19.3,19.5,83,112,-0.2,0.1,-0.1,-.065,-6.0,-1.8,-7.8,-0.2
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4241,Dave Popson,1990-91,26,BOS,NBA,19,0,64,11.6,.000,.313,13.2,11.1,12.1,4.3,0.8,1.8,14.2,27.9,98,109,0.0,0.1,0.0,.035,-4.1,-4.2,-8.3,-0.1
4242,Dave Popson,1991-92,27,MIL,NBA,5,0,26,6.9,.143,.286,8.5,13.7,11.0,16.0,3.9,2.4,33.7,19.1,76,106,-0.1,0.0,0.0,-.075,-5.8,2.4,-3.4,0.0
4243,Mark Pope,1997-98,25,IND,NBA,28,0,193,3.4,.073,.415,5.9,10.1,8.1,5.5,0.8,2.2,17.1,14.4,83,104,-0.2,0.2,0.0,-.003,-5.5,0.7,-4.8,-0.1
4244,Mark Pope,1998-99,26,IND,NBA,4,0,26,-8.5,.571,.143,9.3,9.0,9.1,0.0,0.0,0.0,11.8,15.5,43,110,-0.1,0.0,-0.1,-.230,-8.8,-5.5,-14.2,-0.1
4245,Mark Pope,2000-01,28,MIL,NBA,63,45,942,7.2,.169,.246,6.8,10.9,8.8,5.6,0.9,2.0,9.7,8.4,111,107,0.8,0.5,1.3,.068,-2.0,0.2,-1.7,0.1
4246,Mark Pope,2001-02,29,MIL,NBA,45,12,426,7.3,.275,.231,5.7,13.7,9.9,5.9,1.4,1.9,13.0,12.7,92,107,-0.1,0.3,0.1,.016,-4.1,-0.6,-4.7,-0.3
4247,Mark Pope,2003-04,31,DEN,NBA,4,0,20,-9.0,.000,.500,0.0,17.2,8.5,0.0,2.6,0.0,55.1,11.9,32,101,-0.1,0.0,-0.1,-.172,-12.5,-0.8,-13.3,-0.1
4248,Mark Pope,2004-05,32,DEN,NBA,9,0,27,10.0,.000,.000,21.5,12.7,17.1,5.3,1.9,5.6,14.3,11.6,96,102,0.0,0.0,0.0,.070,-3.1,2.8,-0.3,0.0
4249,David Pope,1984-85,22,KCK,NBA,22,0,129,2.1,.019,.245,8.0,7.9,8.0,4.9,1.1,1.3,10.7,20.1,80,114,-0.3,0.0,-0.2,-.088,-6.7,-2.8,-9.4,-0.2
4250,David Pope,1985-86,23,SEA,NBA,11,0,74,9.2,.050,.200,9.4,8.2,8.8,7.6,1.3,0.8,8.4,13.4,109,109,0.1,0.1,0.1,.081,-1.8,-0.5,-2.4,0.0
4251,Quincy Pondexter,2010-11,22,NOH,NBA,66,6,734,8.5,.278,.189,3.8,10.8,7.3,5.9,1.3,1.1,7.6,13.7,102,108,0.2,0.7,0.9,.060,-2.8,0.0,-2.8,-0.1
4252,Quincy Pondexter,2011-12,23,MEM,NBA,64,8,1002,9.4,.305,.222,6.3,8.5,7.3,4.1,1.4,0.4,10.3,13.2,107,106,0.9,0.9,1.7,.082,-1.1,-0.8,-1.9,0.0
4253,Quincy Pondexter,2012-13,24,MEM,NBA,59,1,1243,11.0,.508,.251,4.0,8.6,6.3,7.6,1.5,0.4,11.2,13.9,114,104,1.7,1.5,3.2,.125,0.5,0.1,0.6,0.8
4254,Quincy Pondexter,2013-14,25,MEM,NBA,15,2,270,10.3,.430,.329,4.4,7.0,5.7,11.0,1.0,0.3,14.2,18.0,104,110,0.2,0.2,0.4,.063,-0.7,-1.9,-2.6,0.0
4255,Quincy Pondexter,2014-15,26,TOT,NBA,75,30,1793,9.9,.546,.215,3.4,9.0,6.2,7.7,0.6,1.0,9.4,13.8,112,110,2.1,0.8,2.9,.078,0.5,-1.1,-0.7,0.6
