
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4301,Dexter Pittman,2013-14,25,ATL,NBA,2,0,3,13.1,.000,2.000,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,84,116,0.0,0.0,0.0,-.180,-5.4,-17.3,-22.7,0.0
4302,Charles Pittman,1982-83,24,PHO,NBA,28,0,170,6.8,.025,.925,8.8,11.2,10.1,5.2,0.6,2.3,28.1,18.8,91,102,-0.1,0.2,0.1,.032,-4.9,-0.6,-5.5,-0.2
4303,Charles Pittman,1983-84,25,PHO,NBA,69,8,989,11.3,.010,.483,8.9,16.4,12.7,8.8,0.8,1.3,24.2,13.9,108,109,0.8,0.9,1.7,.081,-1.4,0.1,-1.2,0.2
4304,Charles Pittman,1984-85,26,PHO,NBA,68,3,1001,9.1,.009,.643,10.3,15.3,12.8,8.9,0.9,1.2,25.6,15.9,98,108,-0.1,1.0,0.9,.044,-3.3,0.4,-2.9,-0.2
4305,Charles Pittman,1985-86,27,PHO,NBA,69,17,1132,10.3,.000,.647,10.5,14.3,12.5,6.6,1.5,1.1,27.6,13.6,103,108,0.4,1.1,1.5,.065,-2.0,0.6,-1.4,0.2
4306,Scottie Pippen*,1987-88,22,CHI,NBA,79,0,1650,12.9,.041,.305,8.1,12.6,10.4,14.5,2.8,1.9,17.0,20.0,98,103,-0.4,2.6,2.3,.066,-1.8,2.0,0.2,0.9
4307,Scottie Pippen*,1988-89,23,CHI,NBA,73,56,2413,14.9,.089,.347,6.8,14.3,10.7,15.1,2.9,1.5,16.6,21.3,102,105,0.7,3.3,4.0,.080,-0.4,1.9,1.4,2.1
4308,Scottie Pippen*,1989-90,24,CHI,NBA,82,82,3148,16.3,.097,.257,5.6,14.9,10.3,19.8,3.3,2.0,17.8,21.2,103,105,1.4,4.3,5.7,.087,0.2,2.3,2.6,3.6
4309,Scottie Pippen*,1990-91,25,CHI,NBA,82,82,3014,20.6,.059,.295,6.5,16.6,11.6,23.5,3.2,1.9,15.1,21.8,114,102,5.9,5.4,11.2,.179,3.1,3.2,6.3,6.4
4310,Scottie Pippen*,1991-92,26,CHI,NBA,82,82,3164,21.5,.059,.319,6.9,15.8,11.5,25.8,2.5,1.8,14.0,24.6,114,102,7.1,5.5,12.7,.192,3.9,2.6,6.5,6.8
4311,Scottie Pippen*,1992-93,27,CHI,NBA,81,81,3123,19.2,.070,.264,7.3,16.0,11.5,24.0,2.9,1.6,14.2,23.9,108,104,3.8,4.8,8.6,.132,2.0,2.3,4.3,5.0
4312,Scottie Pippen*,1993-94,28,CHI,NBA,72,72,2759,23.2,.154,.320,7.3,19.4,13.3,24.6,4.0,1.4,13.7,27.1,109,97,5.2,6.0,11.2,.194,4.5,3.8,8.3,7.2
4313,Scottie Pippen*,1994-95,29,CHI,NBA,79,79,3014,22.6,.239,.333,6.9,18.2,12.5,22.8,4.0,2.2,15.2,26.3,110,98,5.1,6.7,11.8,.188,3.8,4.0,7.8,7.4
4314,Scottie Pippen*,1995-96,30,CHI,NBA,77,77,2825,21.0,.330,.266,6.3,14.2,10.2,25.2,2.5,1.5,13.2,24.4,116,101,7.0,5.3,12.3,.209,4.6,2.2,6.8,6.3
4315,Scottie Pippen*,1996-97,31,CHI,NBA,82,82,3095,21.3,.310,.213,5.9,13.3,9.7,24.3,2.7,1.1,12.5,24.6,115,101,7.8,5.2,13.1,.203,4.9,1.7,6.6,6.7
4316,Scottie Pippen*,1997-98,32,CHI,NBA,44,44,1652,20.4,.273,.274,3.7,12.1,7.9,26.5,2.6,1.9,12.1,24.4,112,99,3.7,3.0,6.6,.193,4.0,1.8,5.8,3.2
4317,Scottie Pippen*,1998-99,33,HOU,NBA,50,50,2011,16.8,.351,.303,3.9,14.2,9.4,24.4,2.6,1.3,18.8,19.7,104,101,2.5,2.3,4.9,.116,1.8,1.7,3.5,2.8
4318,Scottie Pippen*,1999-00,34,POR,NBA,82,82,2749,16.4,.306,.259,5.1,16.2,11.0,23.7,2.3,1.1,17.8,19.6,105,99,3.4,4.4,7.8,.137,2.0,2.2,4.2,4.3
4319,Scottie Pippen*,2000-01,35,POR,NBA,64,60,2133,15.3,.312,.270,4.1,14.2,9.3,21.8,2.4,1.2,18.8,17.9,104,101,2.4,2.7,5.1,.115,1.3,1.5,2.7,2.6
4320,Scottie Pippen*,2001-02,36,POR,NBA,62,60,1996,14.9,.295,.244,4.5,14.5,9.5,28.7,2.7,1.3,20.5,19.1,101,102,1.2,2.6,3.7,.090,0.5,1.7,2.2,2.1
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4321,Scottie Pippen*,2002-03,37,POR,NBA,64,58,1911,15.3,.223,.248,3.6,14.0,8.8,24.3,3.0,1.0,19.9,20.0,100,101,1.2,2.6,3.8,.095,0.3,1.6,2.0,1.9
4322,Scottie Pippen*,2003-04,38,CHI,NBA,23,6,412,12.4,.343,.193,5.2,13.1,9.0,21.0,2.7,1.6,16.0,19.6,92,102,-0.2,0.5,0.3,.037,-1.5,0.7,-0.8,0.1
4323,Tom Piotrowski,1983-84,23,POR,NBA,18,0,78,9.2,.000,.231,8.9,15.6,12.1,8.4,0.6,2.3,17.3,17.9,104,109,0.0,0.1,0.1,.070,-2.9,-1.1,-4.0,0.0
4324,John Pinone,1983-84,22,ATL,NBA,7,0,65,7.8,.000,.769,0.0,17.8,8.8,6.5,1.5,0.9,22.3,14.9,94,106,0.0,0.1,0.1,.040,-5.2,0.2,-4.9,0.0
4325,Kevinn Pinkney,2006-07,23,BOS,NBA,6,0,100,11.6,.074,.333,8.2,9.8,9.0,8.3,1.6,2.3,11.4,15.8,105,108,0.1,0.1,0.2,.075,-2.0,0.1,-1.9,0.0
4326,Ed Pinckney,1985-86,22,PHO,NBA,80,24,1602,12.8,.004,.556,7.1,14.7,11.1,7.7,2.0,1.3,20.6,17.8,104,106,0.8,1.8,2.7,.080,-1.7,0.6,-1.1,0.4
4327,Ed Pinckney,1986-87,23,PHO,NBA,80,65,2250,15.2,.004,.700,9.1,19.7,14.5,6.7,1.8,1.4,17.2,14.2,119,108,3.8,2.4,6.2,.132,0.4,1.3,1.6,2.1
