
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
8101,Kevin Johnson,1992-93,26,PHO,NBA,49,47,1643,18.1,.014,.488,2.1,4.9,3.5,32.7,2.5,0.7,18.0,21.0,115,109,3.5,1.6,5.1,.148,1.4,-1.4,0.1,0.9
8102,Kevin Johnson,1993-94,27,PHO,NBA,67,67,2449,20.6,.028,.473,2.6,5.1,3.8,38.5,2.5,0.3,16.6,24.3,116,109,7.0,1.7,8.7,.170,3.2,-2.3,0.9,1.8
8103,Kevin Johnson,1994-95,28,PHO,NBA,47,35,1352,21.0,.050,.553,2.7,7.1,4.9,40.1,1.7,1.0,13.9,24.2,119,113,4.1,0.7,4.8,.169,2.8,-2.3,0.4,0.8
8104,Kevin Johnson,1995-96,29,PHO,NBA,56,55,2007,22.8,.085,.591,2.5,10.2,6.4,41.5,2.1,0.5,16.7,22.6,122,111,6.9,1.3,8.2,.195,4.7,-1.4,3.3,2.7
8105,Kevin Johnson,1987-88,21,TOT,NBA,80,28,1917,15.5,.040,.354,2.1,9.2,5.7,31.4,2.6,0.7,17.5,18.2,109,109,2.2,1.9,4.0,.101,-0.2,-0.5,-0.7,0.6
8106,Ken Johnson,2002-03,24,MIA,NBA,16,0,156,6.1,.000,.162,2.9,21.3,11.8,0.0,0.4,6.0,13.1,13.8,76,100,-0.2,0.2,0.0,-.002,-9.9,-0.1,-10.0,-0.3
8107,Ken Johnson,1985-86,23,POR,NBA,64,0,815,9.3,.000,.397,12.5,21.3,16.9,3.0,0.7,1.5,19.0,15.1,98,108,0.0,0.8,0.8,.044,-3.6,-1.4,-5.0,-0.6
8108,Kannard Johnson,1987-88,22,CLE,NBA,4,0,12,-4.6,.000,.000,0.0,0.0,0.0,0.0,4.1,0.0,40.0,17.8,39,107,-0.1,0.0,-0.1,-.238,-12.7,0.5,-12.2,0.0
8109,John Johnson,1979-80,32,SEA,NBA,81,,2533,13.3,.000,.260,6.7,11.0,8.8,22.4,1.4,0.8,22.3,17.2,103,103,1.7,3.2,4.9,.093,-0.2,1.1,0.9,1.9
8110,John Johnson,1980-81,33,SEA,NBA,80,,2324,11.3,.001,.247,6.5,10.5,8.6,19.6,1.2,0.6,19.3,20.9,95,107,-0.8,2.0,1.2,.025,-1.7,-0.1,-1.7,0.2
8111,John Johnson,1981-82,34,SEA,NBA,14,1,187,9.8,.000,.444,1.8,8.4,5.2,20.2,1.0,0.9,24.0,15.7,99,106,0.0,0.2,0.2,.062,-3.8,-0.7,-4.5,-0.1
8112,Joe Johnson,2003-04,22,PHO,NBA,82,77,3331,13.9,.211,.180,2.7,10.5,6.6,18.6,1.4,0.6,12.5,21.6,100,109,2.2,1.1,3.3,.047,0.3,-1.1,-0.8,1.0
8113,Joe Johnson,2011-12,30,ATL,NBA,60,60,2127,18.4,.346,.200,2.9,9.2,6.1,19.7,1.2,0.5,10.3,24.9,110,105,4.4,2.1,6.4,.145,3.4,-1.4,2.1,2.2
8114,Joe Johnson,2004-05,23,PHO,NBA,82,82,3240,15.1,.314,.153,4.2,9.5,7.0,13.2,1.2,0.5,10.5,19.0,113,110,5.8,1.7,7.6,.112,2.5,-0.2,2.3,3.5
8115,Joe Johnson,2012-13,31,BRK,NBA,72,72,2642,14.1,.375,.153,2.4,7.4,4.9,16.7,1.0,0.4,9.9,21.7,109,111,3.9,1.2,5.1,.092,1.9,-1.7,0.3,1.5
8116,Joe Johnson,2005-06,24,ATL,NBA,82,82,3340,17.9,.258,.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,109,114,5.5,0.4,6.0,.086,3.0,-2.4,0.7,2.2
8117,Joe Johnson,2013-14,32,BRK,NBA,79,79,2575,15.5,.397,.192,2.2,10.3,6.3,15.0,1.0,0.3,9.8,22.3,110,112,3.9,1.0,4.9,.091,2.0,-2.2,-0.1,1.2
8118,Joe Johnson,2006-07,25,ATL,NBA,57,57,2359,19.5,.274,.276,2.7,9.6,6.1,21.8,1.4,0.4,12.1,28.3,109,111,4.1,1.0,5.1,.105,4.0,-2.5,1.6,2.1
8119,Joe Johnson,2014-15,33,BRK,NBA,80,80,2791,14.1,.329,.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,105,110,2.6,1.5,4.1,.070,0.9,-0.7,0.2,1.5
8120,Joe Johnson,2007-08,26,ATL,NBA,82,82,3343,17.3,.297,.253,2.9,9.9,6.4,25.5,1.3,0.4,11.8,25.6,109,112,5.3,1.7,7.0,.100,3.1,-1.9,1.1,2.7
