
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3801,Jason Richardson,2010-11,30,TOT,NBA,80,80,2715,15.0,.454,.151,2.9,11.1,7.1,9.2,1.8,0.4,7.8,20.6,110,106,3.6,3.3,6.9,.123,2.0,0.1,2.2,2.8
3802,Jason Richardson,2011-12,31,ORL,NBA,54,54,1591,13.3,.465,.116,2.6,11.6,7.0,12.0,1.8,1.1,8.7,20.2,103,105,1.2,1.6,2.8,.084,0.6,0.0,0.6,1.0
3803,Jason Richardson,2012-13,32,PHI,NBA,33,33,936,12.6,.497,.098,2.2,13.4,7.7,8.6,2.3,1.2,6.9,18.5,100,105,0.3,1.1,1.4,.070,-0.5,-0.1,-0.6,0.3
3804,Jason Richardson,2014-15,34,PHI,NBA,19,15,416,11.7,.539,.124,3.2,14.5,8.6,16.6,1.6,0.6,7.9,21.3,98,107,0.0,0.4,0.4,.045,-1.0,-1.8,-2.9,-0.1
3805,Clint Richardson,1979-80,23,PHI,NBA,52,,988,9.9,.009,.129,6.2,6.9,6.6,14.9,1.1,0.8,14.8,17.5,97,105,0.1,1.0,1.1,.052,-2.2,-0.8,-3.1,-0.3
3806,Clint Richardson,1980-81,24,PHI,NBA,77,,1313,12.2,.002,.233,7.4,7.2,7.3,15.6,1.3,0.4,17.7,19.1,102,104,0.8,1.6,2.4,.087,-1.0,-0.5,-1.5,0.2
3807,Clint Richardson,1981-82,25,PHI,NBA,77,0,1040,9.8,.006,.284,6.2,6.5,6.4,13.5,1.7,0.5,18.5,17.1,99,108,0.1,1.0,1.0,.048,-2.2,-0.6,-2.9,-0.2
3808,Clint Richardson,1982-83,26,PHI,NBA,77,1,1755,11.4,.011,.199,6.2,8.6,7.4,12.6,1.9,0.6,14.0,16.0,103,103,1.1,2.2,3.3,.090,-0.6,0.9,0.4,1.0
3809,Clint Richardson,1983-84,27,PHI,NBA,69,12,1571,10.0,.008,.218,4.6,7.2,6.0,14.0,1.5,0.8,16.2,16.3,101,108,0.3,1.6,1.9,.057,-2.0,-0.1,-2.1,0.0
3810,Clint Richardson,1984-85,28,PHI,NBA,74,20,1531,9.1,.007,.220,4.5,6.9,5.7,13.7,1.2,0.6,15.0,13.7,106,111,0.9,0.9,1.8,.058,-1.5,-0.6,-2.0,0.0
3811,Clint Richardson,1985-86,29,IND,NBA,82,61,2224,12.2,.012,.200,3.4,8.8,6.1,23.2,1.2,0.2,14.5,17.3,104,109,1.2,1.9,3.1,.067,-1.2,-0.7,-1.9,0.1
3812,Clint Richardson,1986-87,30,IND,NBA,78,14,1396,12.8,.036,.158,3.9,7.3,5.6,24.3,1.7,0.3,14.5,17.5,104,109,0.7,1.3,2.1,.071,-1.3,-1.0,-2.3,-0.1
3813,Chris Richard,2007-08,23,MIN,NBA,52,3,556,7.9,.000,.310,10.5,17.9,14.1,4.6,0.9,1.7,19.5,10.0,102,111,0.1,0.3,0.4,.037,-3.8,0.1,-3.7,-0.2
3814,Chris Richard,2009-10,25,CHI,NBA,18,0,224,6.5,.000,.379,9.6,19.6,14.7,4.4,1.8,1.4,29.3,9.6,96,103,0.0,0.4,0.3,.067,-4.6,1.8,-2.7,0.0
3815,Glen Rice,1989-90,22,MIA,NBA,77,60,2311,11.3,.064,.116,4.6,12.5,8.4,9.1,1.4,0.7,9.1,21.6,98,110,-0.4,1.8,1.4,.029,-2.5,-0.7,-3.2,-0.7
3816,Glen Rice,1990-91,23,MIA,NBA,77,77,2646,14.1,.154,.175,3.5,12.7,8.1,11.5,1.8,0.6,11.4,22.4,105,109,1.9,2.5,4.4,.080,-0.1,-0.3,-0.4,1.0
3817,Glen Rice,1991-92,24,MIA,NBA,79,79,3007,17.5,.277,.222,3.1,11.7,7.3,10.2,1.5,0.7,8.4,23.9,115,112,6.2,1.7,7.9,.126,2.9,-1.7,1.2,2.4
3818,Glen Rice,1992-93,25,MIA,NBA,82,82,3082,15.0,.292,.223,3.4,12.6,7.9,9.9,1.5,0.5,9.7,22.7,109,110,3.8,2.5,6.3,.098,1.4,-1.0,0.5,1.9
3819,Glen Rice,1993-94,26,MIA,NBA,81,81,2999,18.5,.243,.200,2.9,13.6,8.2,10.5,1.9,0.7,7.8,24.1,116,107,7.3,2.9,10.2,.163,2.8,-1.0,1.8,2.9
3820,Glen Rice,1994-95,27,MIA,NBA,82,82,3014,19.7,.321,.260,3.8,11.1,7.4,11.1,1.9,0.4,8.9,25.2,118,111,7.9,2.1,10.0,.159,4.3,-1.6,2.7,3.6
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3821,Glen Rice,1995-96,28,CHH,NBA,79,79,3142,17.8,.311,.294,3.3,11.5,7.3,12.6,1.5,0.5,10.0,23.4,116,113,7.2,1.2,8.3,.127,3.4,-1.6,1.8,3.0
3822,Glen Rice,1996-97,29,CHH,NBA,79,78,3362,19.7,.291,.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,117,112,9.6,1.2,10.8,.154,4.1,-2.8,1.2,2.7
3823,Glen Rice,1997-98,30,CHH,NBA,82,82,3295,17.4,.216,.364,3.3,9.6,6.5,9.9,1.3,0.5,10.2,25.1,112,109,7.4,2.0,9.3,.136,2.6,-1.9,0.7,2.3
3824,Glen Rice,1998-99,31,LAL,NBA,27,25,985,15.2,.341,.227,1.1,10.4,5.9,12.2,0.9,0.4,9.4,22.0,110,108,2.0,0.3,2.2,.108,2.1,-2.5,-0.3,0.4
