
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
11601,Luol Deng,2011-12,26,CHI,NBA,54,54,2129,14.1,.285,.219,4.1,14.0,9.2,11.7,1.4,1.2,10.4,19.8,105,100,2.3,3.6,5.8,.132,0.5,1.6,2.1,2.2
11602,Luol Deng,2012-13,27,CHI,NBA,75,75,2903,15.1,.213,.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,105,105,3.0,3.3,6.3,.105,0.6,0.4,1.1,2.2
11603,Luol Deng,2004-05,19,CHI,NBA,61,45,1663,14.2,.181,.251,6.2,15.4,10.8,14.8,1.5,1.2,14.1,22.4,98,100,0.1,2.9,3.0,.086,-1.2,1.8,0.6,1.1
11604,Luol Deng,2013-14,28,TOT,NBA,63,63,2213,15.2,.220,.312,5.0,13.4,9.2,14.6,1.5,0.3,10.4,22.3,106,107,2.2,2.3,4.5,.098,0.4,-0.2,0.2,1.2
11605,Luol Deng,2005-06,20,CHI,NBA,78,56,2604,15.8,.082,.289,5.6,17.1,11.4,9.7,1.4,1.5,8.9,20.4,106,103,2.7,3.8,6.5,.120,-0.8,1.7,0.9,1.9
11606,Luol Deng,2014-15,29,MIA,NBA,72,72,2421,15.5,.280,.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,110,109,3.7,1.6,5.4,.106,1.1,-0.6,0.5,1.5
11607,Luol Deng,2006-07,21,CHI,NBA,82,82,3071,18.7,.006,.295,5.5,15.9,10.8,11.8,1.6,1.2,10.0,22.2,112,100,5.7,5.6,11.3,.176,0.8,1.9,2.7,3.6
11608,Luol Deng,2015-16,30,MIA,NBA,74,73,2394,15.0,.344,.258,5.3,15.4,10.5,9.0,1.6,0.9,8.9,17.4,112,105,3.5,2.8,6.4,.128,1.3,0.6,1.9,2.3
11609,Luol Deng,2007-08,22,CHI,NBA,63,59,2128,17.0,.025,.296,7.0,14.2,10.4,13.2,1.4,1.1,10.6,23.6,107,109,2.4,1.9,4.4,.098,0.2,-0.1,0.1,1.1
11610,Dell Demps,1993-94,23,GSW,NBA,2,0,11,4.5,.000,.333,0.0,0.0,0.0,12.9,8.8,0.0,12.7,29.5,60,98,-0.1,0.0,0.0,-.207,-10.9,-1.5,-12.4,0.0
11611,Dell Demps,1995-96,25,SAS,NBA,16,0,87,17.1,.061,.515,2.7,8.6,5.8,15.9,1.8,0.8,22.9,27.1,105,106,0.1,0.1,0.2,.105,-1.5,-1.4,-2.9,0.0
11612,Dell Demps,1996-97,26,ORL,NBA,2,0,10,1.9,.333,.667,0.0,0.0,0.0,0.0,5.4,0.0,0.0,17.9,67,104,0.0,0.0,0.0,-.070,-7.9,-0.8,-8.8,0.0
11613,Larry Demic,1981-82,24,NYK,NBA,48,0,356,5.7,.012,.470,9.1,16.4,12.7,5.0,0.5,1.0,20.6,14.6,87,110,-0.4,0.2,-0.1,-.017,-5.2,-1.5,-6.6,-0.4
11614,Larry Demic,1979-80,22,NYK,NBA,82,,1872,7.4,.000,.347,11.2,16.9,14.1,4.1,1.3,0.9,21.6,16.0,89,108,-1.4,1.3,-0.1,-.002,-3.8,-0.9,-4.7,-1.3
11615,Larry Demic,1980-81,23,NYK,NBA,76,,964,10.4,.008,.362,13.0,15.8,14.4,3.9,0.6,0.8,16.5,14.8,106,107,0.8,0.8,1.6,.081,-2.0,-1.6,-3.6,-0.4
11616,Fennis Dembo,1988-89,23,DET,NBA,31,0,74,7.8,.095,.238,12.8,21.9,17.6,10.1,0.7,0.0,13.1,30.9,86,104,-0.2,0.1,-0.1,-.037,-6.0,-2.8,-8.8,-0.1
11617,Matthew Dellavedova,2015-16,25,CLE,NBA,76,14,1867,11.3,.468,.129,2.0,7.8,4.9,26.2,1.2,0.4,17.7,15.9,109,108,2.2,1.6,3.8,.098,-0.2,-1.4,-1.6,0.2
11618,Matthew Dellavedova,2013-14,23,CLE,NBA,72,4,1271,10.7,.524,.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,111,111,1.4,0.7,2.1,.078,-0.5,-1.7,-2.1,0.0
11619,Matthew Dellavedova,2014-15,24,CLE,NBA,67,13,1380,8.5,.544,.124,3.1,7.3,5.2,21.1,0.9,0.1,15.9,12.6,109,111,1.4,0.5,1.9,.067,-0.6,-2.0,-2.6,-0.2
11620,Tony Delk,2000-01,27,PHO,NBA,82,11,2288,13.4,.182,.255,3.7,9.3,6.5,12.1,1.7,0.5,9.0,22.0,100,101,1.7,2.9,4.6,.096,-0.7,-0.4,-1.1,0.5
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
11621,Tony Delk,2001-02,28,TOT,NBA,63,17,1447,13.8,.364,.165,4.4,11.4,7.8,15.2,1.9,0.5,8.6,21.5,102,105,1.0,1.5,2.5,.084,0.1,-0.8,-0.7,0.5
11622,Tony Delk,2002-03,29,BOS,NBA,67,39,1873,13.7,.543,.155,2.4,11.9,7.0,14.0,2.0,0.4,10.3,16.6,108,103,2.5,2.1,4.6,.117,0.5,-0.3,0.2,1.0
11623,Tony Delk,2003-04,30,DAL,NBA,33,11,509,13.2,.359,.239,3.3,9.4,6.3,7.8,2.7,1.0,7.7,19.0,105,107,0.6,0.3,0.8,.080,0.3,-1.6,-1.3,0.1
11624,Tony Delk,2004-05,31,ATL,NBA,56,1,1340,15.1,.342,.230,2.3,9.3,5.6,13.9,1.8,0.2,7.7,23.6,108,113,1.8,0.3,2.1,.074,1.2,-3.6,-2.3,-0.1
11625,Tony Delk,1996-97,23,CHH,NBA,61,1,867,14.2,.438,.199,4.5,9.2,6.9,18.5,2.3,0.5,19.6,18.8,108,110,1.0,0.6,1.6,.087,1.1,-1.4,-0.3,0.4
11626,Tony Delk,2005-06,32,TOT,NBA,24,0,385,16.1,.292,.168,4.3,12.2,8.2,15.2,1.9,0.2,9.9,23.7,106,105,0.4,0.5,0.9,.112,0.6,-1.5,-0.9,0.1
11627,Tony Delk,1997-98,24,TOT,NBA,77,9,1681,13.1,.197,.189,2.3,8.8,5.5,19.3,2.3,0.5,11.2,25.3,94,107,-0.6,1.3,0.8,.022,-1.3,-1.4,-2.7,-0.3
11628,Tony Delk,1998-99,25,GSW,NBA,36,13,630,11.6,.261,.281,1.8,7.5,4.6,26.6,1.4,0.7,13.7,23.2,94,105,0.0,0.4,0.4,.029,-1.5,-2.0,-3.5,-0.2
11629,Tony Delk,1999-00,26,SAC,NBA,46,1,682,14.1,.143,.211,5.5,8.0,6.7,12.4,2.5,0.5,9.5,20.6,102,104,0.5,0.7,1.3,.090,-0.9,-0.4,-1.3,0.1
11630,Carlos Delfino,2009-10,27,MIL,NBA,75,66,2279,12.9,.499,.163,2.4,18.0,9.8,14.0,1.8,0.7,13.2,18.0,103,103,1.1,3.7,4.8,.101,-0.1,1.8,1.6,2.1
11631,Carlos Delfino,2010-11,28,MIL,NBA,49,40,1590,13.1,.554,.146,1.7,13.2,7.3,12.1,2.6,0.4,9.5,17.7,104,102,0.9,2.6,3.5,.105,0.5,1.5,2.1,1.6
11632,Carlos Delfino,2011-12,29,MIL,NBA,54,53,1537,11.7,.528,.106,1.4,13.9,7.5,11.9,2.6,0.5,12.2,15.5,102,104,0.8,1.6,2.4,.075,0.1,0.6,0.7,1.1
11633,Carlos Delfino,2012-13,30,HOU,NBA,67,5,1689,13.3,.679,.090,1.2,13.4,7.4,12.5,2.0,0.4,10.0,18.6,109,107,2.0,1.5,3.5,.101,1.7,-0.6,1.2,1.3
