
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2201,DaJuan Summers,2010-11,23,DET,NBA,22,1,199,4.4,.304,.290,1.2,6.4,3.7,1.6,0.8,0.4,14.3,21.3,84,116,-0.3,0.0,-0.3,-.083,-5.5,-5.0,-10.5,-0.4
2202,DaJuan Summers,2011-12,24,NOH,NBA,15,6,209,9.0,.246,.138,4.6,8.4,6.6,8.1,1.8,0.0,10.4,17.4,100,108,0.1,0.1,0.2,.049,-1.8,-1.7,-3.4,-0.1
2203,DaJuan Summers,2012-13,25,LAC,NBA,2,0,7,4.3,.000,.000,0.0,33.5,17.0,21.7,0.0,0.0,0.0,26.1,71,104,0.0,0.0,0.0,-.124,-10.8,-1.9,-12.6,0.0
2204,Jared Sullinger,2012-13,20,BOS,NBA,45,5,892,13.5,.022,.280,12.6,22.1,17.5,6.2,1.3,1.9,10.3,14.9,113,102,1.3,1.4,2.7,.146,-1.6,0.9,-0.6,0.3
2205,Jared Sullinger,2013-14,21,BOS,NBA,74,44,2041,16.4,.231,.226,13.0,20.6,16.7,10.1,0.9,1.8,10.7,24.1,105,107,1.9,2.0,3.9,.091,0.3,-0.6,-0.3,0.9
2206,Jared Sullinger,2014-15,22,BOS,NBA,58,49,1566,17.9,.260,.182,10.1,20.9,15.4,14.2,1.4,2.1,9.3,23.6,106,103,1.9,2.1,4.0,.123,1.0,1.0,2.0,1.6
2207,Jared Sullinger,2015-16,23,BOS,NBA,81,73,1915,16.7,.128,.200,10.6,27.0,18.7,15.5,1.9,1.9,10.4,21.8,103,100,1.3,3.6,4.8,.121,-1.2,2.3,1.1,1.5
2208,Rodney Stuckey,2007-08,21,DET,NBA,57,2,1081,13.8,.042,.408,3.5,10.8,7.1,23.9,2.5,0.4,14.8,23.1,101,103,0.4,1.6,2.0,.090,-1.6,0.5,-1.1,0.3
2209,Rodney Stuckey,2008-09,22,DET,NBA,79,65,2517,14.8,.085,.318,3.2,9.8,6.5,26.1,1.7,0.3,14.3,23.0,104,110,1.7,2.2,3.8,.073,0.0,-0.5,-0.5,1.0
