
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3101,Luis Scola,2015-16,35,TOR,NBA,76,76,1636,13.6,.269,.140,6.0,19.0,12.6,6.8,1.5,1.4,9.7,19.5,105,105,1.4,1.9,3.3,.098,-0.8,-0.4,-1.2,0.3
3102,John Schweitz,1984-85,24,SEA,NBA,19,0,110,5.8,.054,.135,6.3,15.8,11.1,27.1,0.0,0.5,15.2,35.2,77,111,-0.5,0.1,-0.4,-.191,-6.9,-3.3,-10.2,-0.2
3103,John Schweitz,1986-87,26,DET,NBA,3,0,7,-20.3,.000,.000,0.0,14.9,7.7,0.0,0.0,0.0,66.7,17.3,0,109,-0.1,0.0,-0.1,-.463,-21.8,-1.1,-22.9,0.0
3104,Dennis Schroder,2013-14,20,ATL,NBA,49,0,641,5.8,.223,.229,0.9,9.9,5.4,22.0,1.3,0.0,22.8,19.0,83,110,-1.1,0.4,-0.7,-.054,-6.2,-2.1,-8.3,-1.0
3105,Dennis Schroder,2014-15,21,ATL,NBA,77,10,1516,15.7,.223,.269,2.3,9.9,6.2,34.6,1.7,0.2,16.8,27.0,101,106,1.1,1.4,2.5,.080,-0.4,-2.1,-2.4,-0.2
3106,Dennis Schroder,2015-16,22,ATL,NBA,80,6,1621,15.5,.306,.233,1.7,11.8,6.9,36.1,2.1,0.4,17.5,28.8,97,103,-0.2,2.3,2.2,.064,-0.5,-0.9,-1.4,0.3
3107,Detlef Schrempf,1985-86,23,DAL,NBA,64,12,969,10.9,.022,.483,8.1,14.2,11.2,11.8,1.1,0.6,18.0,19.6,101,112,0.3,0.5,0.8,.040,-1.7,-1.2,-2.9,-0.2
3108,Detlef Schrempf,1986-87,24,DAL,NBA,81,5,1711,13.7,.123,.463,5.6,13.4,9.6,12.6,1.4,0.5,14.0,18.7,113,110,2.5,1.5,4.0,.113,0.5,-0.2,0.4,1.0
3109,Detlef Schrempf,1987-88,25,DAL,NBA,82,4,1587,14.2,.059,.494,7.1,11.9,9.6,14.1,1.3,1.2,14.1,19.9,111,109,2.1,1.5,3.6,.110,-0.1,-0.2,-0.3,0.7
3110,Detlef Schrempf,1988-89,26,TOT,NBA,69,13,1850,15.3,.061,.606,7.8,15.5,11.8,14.0,1.4,0.6,15.4,19.9,112,110,2.9,1.5,4.4,.113,0.6,-0.1,0.6,1.2
3111,Detlef Schrempf,1989-90,27,IND,NBA,78,18,2573,17.6,.058,.596,7.1,20.4,14.1,14.0,1.1,0.4,14.8,20.5,119,110,6.1,2.0,8.1,.151,1.9,-0.1,1.7,2.4
3112,Detlef Schrempf,1990-91,28,IND,NBA,82,3,2632,18.6,.048,.649,8.0,20.3,14.4,16.2,1.1,0.5,14.1,19.8,122,111,7.4,1.6,9.0,.165,2.9,-0.3,2.6,3.1
3113,Detlef Schrempf,1991-92,29,IND,NBA,80,4,2605,19.5,.077,.477,9.1,22.9,16.4,17.5,1.2,0.8,14.6,21.1,121,108,7.1,2.8,9.8,.181,3.0,0.6,3.7,3.7
3114,Detlef Schrempf,1992-93,30,IND,NBA,82,60,3098,19.2,.048,.602,7.5,19.9,13.8,23.2,1.3,0.6,15.0,22.1,117,109,7.6,2.9,10.4,.161,3.2,0.9,4.1,4.8
3115,Detlef Schrempf,1993-94,31,SEA,NBA,81,80,2728,14.9,.075,.432,6.2,13.5,9.9,14.8,1.4,0.2,13.9,19.6,114,105,5.1,3.2,8.4,.148,1.2,0.1,1.2,2.2
3116,Detlef Schrempf,1994-95,32,SEA,NBA,82,82,2886,20.3,.182,.523,5.7,15.1,10.5,16.4,1.6,0.9,12.6,21.0,127,108,9.8,3.1,12.9,.215,4.2,0.3,4.5,4.7
