
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
8801,Phil Hubbard,1982-83,26,CLE,NBA,82,38,1953,13.9,.003,.496,12.6,14.9,13.7,6.7,2.2,0.2,17.8,19.0,103,106,1.6,1.8,3.4,.084,-0.1,0.0,-0.1,0.9
8802,Phil Hubbard,1983-84,27,CLE,NBA,80,6,1799,15.9,.002,.476,10.5,13.6,12.0,7.2,1.9,0.2,13.1,20.3,113,109,3.0,1.7,4.6,.124,1.0,-0.5,0.4,1.1
8803,Phil Hubbard,1984-85,28,CLE,NBA,76,55,2249,16.0,.005,.601,10.3,12.8,11.5,7.3,1.7,0.2,14.6,21.7,112,109,3.7,2.0,5.7,.121,1.4,-0.2,1.3,1.9
8804,Stephen Howard,1996-97,26,TOT,NBA,49,0,418,16.0,.000,.750,9.0,15.9,12.6,4.2,2.5,2.4,14.8,18.7,113,103,0.7,0.6,1.3,.149,-1.0,0.1,-0.9,0.1
8805,Stephen Howard,1997-98,27,SEA,NBA,13,0,53,9.8,.000,.857,13.8,13.3,13.5,9.1,3.0,1.4,17.2,30.5,87,101,-0.1,0.1,0.0,-.020,-5.9,-1.6,-7.5,-0.1
8806,Stephen Howard,1992-93,22,UTA,NBA,49,0,260,9.8,.000,.570,11.8,14.4,13.1,5.4,2.9,3.0,16.5,23.0,91,103,-0.3,0.4,0.1,.018,-5.0,0.7,-4.3,-0.1
8807,Stephen Howard,1993-94,23,UTA,NBA,9,0,53,19.4,.000,.941,22.1,12.9,17.4,3.0,1.0,4.0,20.0,25.1,114,104,0.1,0.1,0.2,.188,1.1,-1.7,-0.6,0.0
8808,Juwan Howard,1999-00,26,WAS,NBA,82,82,2909,12.3,.006,.248,5.2,13.5,9.3,14.5,1.2,0.5,15.5,22.2,97,109,0.5,1.3,1.9,.031,-1.1,-0.4,-1.4,0.4
8809,Juwan Howard,2007-08,34,DAL,NBA,50,0,353,4.1,.000,.219,7.1,19.0,13.3,6.9,0.8,0.4,19.5,11.5,88,107,-0.3,0.4,0.1,.016,-5.4,0.5,-4.9,-0.3
8810,Juwan Howard,2000-01,27,TOT,NBA,81,81,2974,16.0,.002,.314,6.6,15.6,11.1,13.9,1.3,0.9,14.9,24.6,101,107,2.8,1.6,4.4,.071,0.2,-0.6,-0.4,1.2
8811,Juwan Howard,2008-09,35,TOT,NBA,42,2,472,10.9,.000,.231,7.9,11.9,9.9,9.7,0.8,1.0,13.8,18.8,104,109,0.2,0.4,0.7,.067,-2.9,-1.0,-3.9,-0.2
8812,Juwan Howard,2001-02,28,TOT,NBA,81,72,2635,15.8,.002,.341,9.4,16.7,13.0,10.8,0.9,1.3,11.6,22.3,106,108,3.5,1.5,4.9,.090,-0.1,-0.5,-0.6,0.9
8813,Juwan Howard,2009-10,36,POR,NBA,73,27,1632,10.0,.003,.187,8.1,17.3,12.7,5.9,0.9,0.5,15.1,13.9,107,108,1.1,1.6,2.6,.077,-2.1,0.3,-1.7,0.1
8814,Juwan Howard,1994-95,21,WSB,NBA,65,52,2348,15.0,.008,.314,8.7,18.4,13.4,11.6,1.1,0.5,13.5,22.8,104,112,1.3,1.5,2.8,.057,-0.9,-0.6,-1.5,0.3
8815,Juwan Howard,2002-03,29,DEN,NBA,77,77,2730,17.2,.003,.278,7.4,18.1,12.5,18.1,1.5,0.8,11.8,26.1,102,102,2.7,3.4,6.0,.106,0.7,0.5,1.2,2.2
8816,Juwan Howard,2010-11,37,MIA,NBA,57,0,592,8.4,.000,.280,7.7,16.3,12.2,5.8,0.9,0.5,15.1,13.1,102,105,0.2,0.8,0.9,.074,-3.8,-0.3,-4.1,-0.3
8817,Juwan Howard,1995-96,22,WSB,NBA,81,81,3294,17.0,.009,.284,6.9,16.5,11.8,18.7,1.0,0.8,15.2,27.0,104,108,2.5,3.1,5.6,.082,0.0,0.2,0.2,1.8
8818,Juwan Howard,2003-04,30,ORL,NBA,81,77,2877,15.6,.001,.336,6.6,16.1,11.2,10.0,1.0,0.6,11.7,23.9,103,111,3.6,0.0,3.6,.059,-0.4,-2.4,-2.8,-0.6
