
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
7201,Ty Lawson,2011-12,24,DEN,NBA,61,61,2124,19.4,.261,.282,3.1,9.2,6.2,30.2,2.0,0.2,14.7,21.2,116,108,5.7,1.2,6.9,.157,4.2,-1.0,3.3,2.8
7202,Ty Lawson,2012-13,25,DEN,NBA,73,71,2513,17.9,.239,.320,1.6,7.1,4.4,30.2,2.1,0.2,14.1,22.3,113,109,5.6,1.8,7.4,.141,3.0,-1.5,1.4,2.2
7203,Ty Lawson,2013-14,26,DEN,NBA,62,61,2222,19.0,.251,.504,1.9,8.5,5.2,38.2,2.2,0.3,16.9,22.7,113,110,4.8,1.5,6.3,.136,2.9,-1.2,1.7,2.1
7204,Ty Lawson,2014-15,27,DEN,NBA,75,75,2665,18.5,.221,.392,1.6,8.1,4.7,43.0,1.7,0.3,14.6,20.6,113,111,6.0,1.0,7.0,.126,2.7,-2.1,0.5,1.7
7205,Ty Lawson,2015-16,28,TOT,NBA,66,13,1411,9.7,.305,.243,2.0,7.4,4.7,24.6,1.9,0.4,19.5,14.9,100,111,0.2,0.7,0.9,.031,-2.7,-2.0,-4.6,-0.9
7206,Jason Lawson,1997-98,23,ORL,NBA,17,0,80,21.5,.000,.667,11.5,28.6,19.9,10.7,2.8,3.6,9.3,12.3,141,95,0.3,0.2,0.5,.280,1.3,3.5,4.8,0.1
7207,Edmund Lawrence,1980-81,28,DET,NBA,3,,19,19.4,.000,.500,11.6,13.0,12.2,9.5,2.5,0.0,9.3,22.9,119,104,0.1,0.0,0.1,.201,3.2,-2.2,1.0,0.0
7208,Gani Lawal,2010-11,22,PHO,NBA,1,0,2,-9.1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117,0.0,0.0,0.0,-.009,-5.4,0.5,-4.9,0.0
7209,Acie Law,2007-08,23,ATL,NBA,56,6,865,7.7,.143,.203,1.6,6.0,3.8,20.4,1.8,0.0,17.8,16.5,93,112,-0.5,0.4,-0.1,-.007,-4.1,-2.6,-6.7,-1.0
