
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
7401,Kosta Koufos,2010-11,21,TOT,NBA,50,2,434,12.6,.013,.287,14.6,19.1,16.8,2.5,1.1,4.4,15.5,19.9,95,108,-0.2,0.4,0.2,.027,-5.1,-1.5,-6.7,-0.5
7402,Kosta Koufos,2011-12,22,DEN,NBA,48,24,792,17.3,.000,.286,14.4,23.3,19.0,2.9,1.5,4.1,13.2,14.0,120,102,1.7,1.0,2.7,.163,0.0,1.0,1.0,0.6
7403,Kosta Koufos,2012-13,23,DEN,NBA,81,81,1817,17.2,.002,.205,13.3,21.2,17.3,2.6,1.2,4.4,8.7,14.5,122,103,3.9,2.5,6.5,.171,0.4,1.1,1.5,1.6
7404,Kosta Koufos,2013-14,24,MEM,NBA,80,22,1349,16.5,.000,.203,14.0,22.7,18.4,4.7,1.3,4.4,11.8,19.4,106,101,1.3,2.2,3.5,.124,-2.1,1.2,-0.9,0.4
7405,Kosta Koufos,2014-15,25,MEM,NBA,81,3,1348,14.2,.000,.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,103,99,0.8,2.5,3.3,.118,-3.4,1.9,-1.5,0.2
7406,Kosta Koufos,2015-16,26,SAC,NBA,78,14,1482,15.1,.000,.234,12.4,18.4,15.4,3.3,1.3,3.8,8.9,15.4,113,107,2.1,1.4,3.5,.113,-1.6,0.4,-1.2,0.3
7407,Kyle Korver,2008-09,27,UTA,NBA,78,2,1874,12.1,.477,.227,2.2,14.2,8.2,11.1,1.3,1.3,12.8,16.9,110,109,1.9,1.8,3.7,.095,0.3,-0.1,0.2,1.0
7408,Kyle Korver,2009-10,28,UTA,NBA,52,0,952,13.9,.393,.175,1.3,12.2,6.9,13.9,1.4,1.0,12.2,16.2,116,107,1.6,1.0,2.6,.130,0.9,-0.5,0.4,0.6
7409,Kyle Korver,2010-11,29,CHI,NBA,82,0,1649,13.0,.519,.156,0.9,9.5,5.3,12.1,1.1,0.9,9.2,18.3,115,104,2.7,2.4,5.1,.149,0.8,-0.9,0.0,0.8
7410,Kyle Korver,2003-04,22,PHI,NBA,74,0,882,10.1,.633,.073,4.0,10.7,7.4,8.3,1.5,0.7,10.8,20.2,97,104,0.2,0.8,1.0,.054,-0.3,-2.3,-2.6,-0.1
7411,Kyle Korver,2011-12,30,CHI,NBA,65,7,1469,13.6,.658,.160,2.0,9.9,6.0,11.7,1.3,0.7,10.7,15.3,120,101,3.1,2.1,5.3,.172,2.5,0.0,2.5,1.7
