
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
8701,Steven Hunter,2009-10,28,MEM,NBA,21,0,158,11.6,.000,.837,13.3,17.8,15.5,0.0,0.3,4.8,13.3,18.8,95,110,-0.1,0.1,0.1,.018,-6.6,-4.2,-10.9,-0.4
8702,Steven Hunter,2001-02,20,ORL,NBA,53,21,516,12.9,.000,.639,8.6,12.4,10.5,1.5,0.5,5.8,7.8,17.7,106,105,0.5,0.5,1.0,.094,-4.0,-0.9,-4.9,-0.4
8703,Steven Hunter,2002-03,21,ORL,NBA,33,5,447,13.4,.000,.427,9.5,14.5,11.9,2.2,1.0,5.9,10.9,13.7,107,103,0.4,0.5,0.9,.099,-3.2,0.9,-2.3,0.0
8704,R.J. Hunter,2015-16,22,BOS,NBA,36,0,315,7.7,.643,.071,0.7,12.0,6.2,5.9,2.2,1.0,9.8,15.1,94,104,-0.1,0.4,0.3,.045,-3.1,-0.4,-3.5,-0.1
8705,Othello Hunter,2008-09,22,ATL,NBA,16,0,92,12.1,.000,.250,11.5,19.1,15.3,1.7,1.2,4.2,8.3,12.3,106,105,0.0,0.1,0.2,.092,-4.2,0.2,-4.0,0.0
8706,Othello Hunter,2009-10,23,ATL,NBA,7,0,33,7.9,.000,.333,21.0,21.4,21.2,0.0,0.0,2.3,17.9,23.4,88,107,-0.1,0.0,0.0,-.031,-9.2,-7.2,-16.5,-0.1
8707,Lindsey Hunter,1999-00,29,DET,NBA,82,82,2919,13.2,.436,.173,1.4,8.5,5.0,17.6,2.2,0.5,13.1,16.6,108,107,3.6,2.0,5.6,.093,1.8,-0.5,1.3,2.4
8708,Lindsey Hunter,2007-08,37,DET,NBA,24,0,215,8.8,.406,.141,2.2,5.0,3.6,23.3,3.3,0.7,16.1,17.7,94,103,-0.1,0.3,0.2,.048,-2.4,-0.3,-2.7,0.0
8709,Lindsey Hunter,2000-01,30,MIL,NBA,82,5,2002,14.8,.520,.123,1.8,7.7,4.8,17.4,2.7,0.4,7.6,20.2,108,106,3.1,1.4,4.6,.109,2.3,-1.8,0.5,1.3
8710,Lindsey Hunter,2008-09,38,CHI,NBA,28,0,266,7.9,.585,.061,0.9,4.3,2.6,20.4,3.9,0.3,18.4,17.3,89,108,-0.3,0.3,0.0,-.003,-2.7,-1.5,-4.2,-0.1
8711,Lindsey Hunter,1993-94,23,DET,NBA,82,26,2172,12.0,.232,.159,2.4,7.3,4.8,27.7,2.8,0.3,16.1,23.0,92,111,-1.8,1.0,-0.8,-.017,-1.5,-1.3,-2.9,-0.5
8712,Lindsey Hunter,2001-02,31,LAL,NBA,82,47,1616,9.4,.424,.082,1.2,7.0,4.1,11.7,2.1,0.8,9.8,15.6,98,104,0.2,1.7,2.0,.059,-1.5,-0.4,-1.9,0.0
8713,Lindsey Hunter,2009-10,39,CHI,NBA,13,0,122,-2.2,.433,.067,0.9,11.7,6.4,10.1,0.4,0.0,11.5,12.8,56,110,-0.4,0.1,-0.3,-.117,-8.7,-1.4,-10.1,-0.2
8714,Lindsey Hunter,1994-95,24,DET,NBA,42,26,944,10.5,.340,.173,3.0,6.4,4.7,25.9,2.8,0.5,18.8,20.0,94,114,-0.7,0.4,-0.3,-.015,-2.2,-2.1,-4.3,-0.5
8715,Lindsey Hunter,2002-03,32,TOR,NBA,29,0,673,10.6,.354,.156,2.4,7.8,5.0,18.8,2.8,0.5,15.0,25.8,86,107,-0.9,0.4,-0.6,-.041,-1.9,-2.2,-4.1,-0.4
8716,Lindsey Hunter,1995-96,25,DET,NBA,80,48,2138,11.2,.460,.191,2.6,8.2,5.5,14.7,2.2,0.7,10.5,17.0,105,106,1.3,2.6,3.9,.089,-0.1,0.3,0.2,1.2
8717,Lindsey Hunter,2003-04,33,DET,NBA,33,8,661,9.0,.350,.056,2.3,9.3,5.9,20.7,3.2,0.7,18.8,12.8,88,96,-0.4,1.3,0.9,.067,-2.7,2.0,-0.7,0.2
8718,Lindsey Hunter,1996-97,26,DET,NBA,82,76,3023,13.4,.449,.195,2.5,7.0,4.8,8.9,2.4,0.7,7.8,20.1,107,106,3.0,3.4,6.4,.101,1.2,-0.1,1.1,2.4
8719,Lindsey Hunter,2004-05,34,DET,NBA,76,3,1144,9.6,.278,.192,3.9,8.6,6.3,18.3,3.3,0.9,17.2,16.2,93,100,-0.6,2.0,1.4,.058,-2.8,1.6,-1.3,0.2
8720,Lindsey Hunter,1997-98,27,DET,NBA,71,67,2505,12.4,.321,.237,2.9,8.9,5.9,15.1,2.7,0.3,10.8,19.0,101,104,1.2,2.8,4.0,.077,0.3,0.4,0.7,1.7
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
8721,Lindsey Hunter,2005-06,35,DET,NBA,30,1,353,10.5,.430,.040,3.3,10.2,6.7,27.1,3.0,0.2,16.4,16.4,97,103,0.0,0.5,0.5,.066,-1.7,0.0,-1.7,0.0
