
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2701,Joe Smith,2006-07,31,TOT,NBA,65,11,1503,13.9,.010,.310,9.6,22.1,15.9,5.4,1.3,1.4,12.3,18.9,104,105,1.0,1.8,2.8,.088,-2.6,-0.3,-2.9,-0.3
2702,Joe Smith,2007-08,32,TOT,NBA,77,36,1726,16.1,.005,.312,10.3,16.1,13.1,6.7,1.0,2.1,8.7,21.0,110,108,2.4,1.8,4.1,.115,-1.3,-0.8,-2.1,0.0
2703,Joe Smith,2008-09,33,TOT,NBA,57,3,1102,13.8,.021,.246,9.5,18.3,13.9,6.0,0.8,2.7,6.3,16.2,112,107,1.4,1.4,2.7,.118,-2.2,0.3,-1.9,0.0
2704,Joe Smith,2009-10,34,ATL,NBA,64,1,592,11.2,.036,.249,12.9,18.1,15.5,5.3,0.5,2.4,9.3,18.4,104,107,0.3,0.6,0.9,.077,-3.5,-1.4,-4.9,-0.4
2705,Joe Smith,2010-11,35,TOT,NBA,16,3,69,-0.1,.000,.125,5.1,28.9,17.3,8.0,0.0,4.4,22.9,14.5,57,102,-0.3,0.1,-0.1,-.099,-11.9,1.8,-10.0,-0.1
2706,Jim Smith,1981-82,23,SDC,NBA,72,3,858,9.2,.000,.503,9.7,15.7,12.6,6.7,1.2,3.4,18.5,12.0,102,112,0.2,0.4,0.6,.034,-2.3,0.6,-1.7,0.1
2707,Jim Smith,1982-83,24,DET,NBA,4,0,18,14.2,.000,1.000,0.0,29.5,14.4,0.0,0.0,0.0,0.0,12.4,141,105,0.1,0.0,0.1,.189,-3.5,-6.2,-9.7,0.0
2708,Jerry Smith,2011-12,24,NJN,NBA,5,0,46,7.8,.429,.000,4.9,13.0,8.8,13.4,5.8,0.0,0.0,13.9,78,102,-0.1,0.1,0.0,-.007,-3.4,1.7,-1.7,0.0
2709,Jason Smith,2007-08,21,PHI,NBA,76,1,1107,10.7,.045,.265,8.2,16.6,12.3,2.8,1.1,3.6,12.2,16.1,101,106,0.2,1.4,1.5,.067,-4.0,0.2,-3.8,-0.5
2710,Jason Smith,2009-10,23,PHI,NBA,56,2,658,10.6,.167,.241,9.5,14.7,12.1,7.5,1.7,3.4,15.4,15.8,101,109,0.1,0.6,0.7,.048,-2.7,0.4,-2.3,0.0
2711,Jason Smith,2010-11,24,NOH,NBA,77,6,1102,10.8,.007,.228,9.8,16.9,13.3,5.3,1.3,2.4,13.6,16.9,100,105,0.2,1.4,1.6,.070,-3.6,0.9,-2.7,-0.2
2712,Jason Smith,2011-12,25,NOH,NBA,40,29,947,16.6,.026,.135,9.2,15.3,12.3,6.8,1.2,3.6,9.8,20.4,107,105,1.2,1.0,2.2,.110,-0.6,0.5,-0.1,0.5
2713,Jason Smith,2012-13,26,NOH,NBA,51,0,876,16.8,.012,.299,8.6,16.9,12.7,7.0,0.9,4.3,12.5,23.4,107,109,1.1,0.6,1.7,.095,-1.5,-0.6,-2.1,0.0
2714,Jason Smith,2013-14,27,NOP,NBA,31,27,830,12.4,.000,.177,7.0,18.5,12.7,5.6,0.7,2.9,8.4,18.2,104,111,0.5,0.4,0.9,.054,-2.6,-0.9,-3.5,-0.3
2715,Jason Smith,2014-15,28,NYK,NBA,82,31,1785,12.0,.071,.258,6.2,15.0,10.5,13.5,0.9,2.1,13.6,19.7,99,111,0.5,0.7,1.2,.032,-2.5,-0.9,-3.4,-0.6
2716,Jason Smith,2015-16,29,ORL,NBA,76,2,1181,14.6,.032,.133,4.9,15.8,10.3,8.6,1.4,4.6,9.7,22.1,100,105,0.4,1.4,1.8,.072,-3.1,0.6,-2.5,-0.1
2717,Jabari Smith,2000-01,23,SAC,NBA,9,0,66,14.7,.000,.273,1.7,11.1,6.5,14.8,3.1,0.0,10.9,18.5,105,100,0.1,0.1,0.2,.126,-1.9,-0.2,-2.1,0.0
2718,Jabari Smith,2001-02,24,TOT,NBA,23,0,181,13.1,.048,.508,5.0,11.9,8.5,9.7,1.7,2.3,6.1,20.4,104,101,0.2,0.3,0.5,.121,-2.5,-0.3,-2.8,0.0
