
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4801,Tom Owens,1982-83,33,DET,NBA,49,4,725,8.7,.000,.344,9.3,17.6,13.3,7.6,0.8,1.0,17.8,14.3,96,106,0.0,0.6,0.6,.041,-3.4,-0.6,-4.0,-0.4
4802,Larry Owens,2010-11,28,TOT,NBA,12,0,143,11.2,.406,.281,0.8,11.4,6.0,8.4,3.2,2.7,12.2,12.7,106,106,0.1,0.2,0.2,.083,-1.6,1.5,-0.1,0.1
4803,Larry Owens,2011-12,29,NJN,NBA,7,0,75,5.8,.455,.364,3.0,17.5,10.1,8.1,0.0,1.0,13.6,9.0,107,112,0.0,0.0,0.1,.035,-3.8,-1.7,-5.5,-0.1
4804,Keith Owens,1991-92,22,LAL,NBA,20,0,80,10.3,.000,.313,11.2,10.1,10.7,5.4,3.2,3.1,5.2,21.0,91,106,-0.1,0.1,0.0,.014,-4.9,-0.1,-4.9,-0.1
4805,Chris Owens,2002-03,23,MEM,NBA,1,0,6,20.1,.000,.000,19.0,0.0,9.4,0.0,0.0,0.0,25.0,30.0,95,117,0.0,0.0,0.0,-.032,-1.3,-9.3,-10.7,0.0
4806,Billy Owens,1991-92,22,GSW,NBA,80,77,2510,15.6,.010,.350,10.8,17.0,13.9,9.8,1.7,1.5,14.8,19.3,111,109,3.3,2.3,5.6,.107,0.8,0.7,1.5,2.2
4807,Billy Owens,1992-93,23,GSW,NBA,37,37,1201,16.9,.022,.371,10.0,14.5,12.3,18.0,1.4,1.4,15.6,23.1,107,110,1.3,0.9,2.2,.087,1.1,0.4,1.5,1.0
4808,Billy Owens,1993-94,24,GSW,NBA,79,72,2738,15.6,.015,.336,9.3,15.9,12.6,16.8,1.5,1.3,16.1,20.0,106,107,3.0,2.6,5.7,.099,0.6,0.9,1.5,2.4
4809,Billy Owens,1994-95,25,MIA,NBA,70,60,2296,15.6,.027,.382,10.2,15.6,12.8,17.3,1.8,1.0,17.6,22.3,103,109,1.2,2.1,3.2,.067,0.2,0.9,1.1,1.8
4810,Billy Owens,1995-96,26,TOT,NBA,62,51,1982,14.2,.027,.367,8.5,15.5,12.1,17.8,1.3,1.5,17.3,21.5,102,106,0.7,2.5,3.2,.077,-0.9,1.6,0.6,1.3
4811,Billy Owens,1996-97,27,SAC,NBA,66,56,1995,13.6,.113,.227,7.8,15.2,11.5,15.5,1.6,0.9,15.9,18.8,103,108,1.2,1.7,2.8,.069,-0.6,0.3,-0.2,0.9
4812,Billy Owens,1997-98,28,SAC,NBA,78,78,2348,14.4,.096,.271,7.9,20.0,13.8,15.4,2.1,1.1,15.8,18.3,100,104,0.9,2.8,3.7,.075,-0.8,1.6,0.7,1.6
4813,Billy Owens,1998-99,29,SEA,NBA,21,19,451,11.9,.067,.212,8.9,11.6,10.2,14.5,1.4,0.7,15.5,21.5,95,108,0.0,0.1,0.2,.018,-2.4,-1.6,-4.0,-0.2
4814,Billy Owens,1999-00,30,TOT,NBA,62,11,1305,10.0,.095,.296,8.0,17.4,12.5,11.6,1.3,1.2,17.4,16.3,94,103,-0.3,1.5,1.2,.045,-2.9,0.9,-2.0,0.0
4815,Billy Owens,2000-01,31,DET,NBA,45,14,793,10.5,.087,.174,11.1,16.7,13.8,11.1,2.0,1.1,13.6,15.7,91,101,-0.3,1.1,0.8,.048,-2.7,1.6,-1.1,0.2
4816,Andre Owens,2005-06,25,UTA,NBA,23,2,210,5.2,.216,.243,6.3,5.8,6.1,6.8,1.3,0.0,13.7,20.9,86,111,-0.3,0.1,-0.2,-.047,-4.8,-3.6,-8.4,-0.3
4817,Andre Owens,2007-08,27,IND,NBA,31,7,392,10.0,.374,.318,3.5,9.6,6.5,17.6,1.6,0.6,16.4,16.1,102,110,0.1,0.3,0.4,.053,-2.3,-1.1,-3.4,-0.1
