
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3401,Malik Rose,2001-02,27,SAS,NBA,82,1,1725,16.4,.019,.406,11.9,20.6,16.4,6.3,2.2,1.7,15.8,23.9,100,97,1.0,3.4,4.4,.123,-2.0,0.8,-1.2,0.3
3402,Malik Rose,2002-03,28,SAS,NBA,79,13,1933,16.1,.008,.486,9.3,20.5,15.2,11.0,1.6,1.4,18.2,22.4,102,98,1.9,3.3,5.2,.130,-1.5,1.2,-0.2,0.9
3403,Malik Rose,2003-04,29,SAS,NBA,67,13,1256,15.0,.007,.557,9.9,18.5,14.2,9.4,1.5,1.4,18.2,22.6,101,94,1.1,2.7,3.8,.145,-2.4,1.4,-1.0,0.3
3404,Malik Rose,2004-05,30,TOT,NBA,76,5,1475,12.2,.023,.422,10.2,16.9,13.5,6.6,1.7,0.8,16.3,19.6,100,103,0.5,2.1,2.6,.085,-2.7,0.4,-2.3,-0.1
3405,Malik Rose,2005-06,31,NYK,NBA,72,35,1119,10.2,.004,.488,9.0,19.2,14.1,9.7,2.0,1.0,19.0,17.1,95,109,-0.3,0.8,0.5,.021,-3.2,0.5,-2.7,-0.2
3406,Malik Rose,2006-07,32,NYK,NBA,65,2,810,7.7,.043,.280,7.0,18.6,12.8,12.7,1.7,0.9,23.7,15.3,90,107,-0.6,0.8,0.1,.007,-4.4,0.8,-3.6,-0.3
3407,Malik Rose,2007-08,33,NYK,NBA,49,3,494,7.3,.039,.283,6.9,17.1,11.9,9.3,1.7,1.1,16.5,22.0,85,110,-0.9,0.4,-0.5,-.052,-6.2,-1.0,-7.2,-0.6
3408,Malik Rose,2008-09,34,TOT,NBA,38,0,470,5.3,.053,.389,4.0,19.5,11.6,11.5,1.1,0.5,19.0,17.7,84,110,-0.8,0.4,-0.4,-.039,-6.8,-0.5,-7.3,-0.6
3409,Jalen Rose,1994-95,22,DEN,NBA,81,37,1798,15.1,.228,.468,3.9,10.4,7.2,33.3,1.9,0.9,21.0,19.1,110,110,2.4,1.5,3.8,.103,0.7,-1.0,-0.4,0.7
3410,Jalen Rose,1995-96,23,DEN,NBA,80,37,2134,14.3,.179,.459,2.5,11.6,7.0,37.4,1.3,1.3,24.4,20.1,103,110,1.2,1.7,2.9,.065,-0.5,-1.2,-1.7,0.1
3411,Jalen Rose,1996-97,24,IND,NBA,66,6,1188,13.8,.191,.414,2.8,9.3,6.1,22.9,2.6,1.2,19.4,21.5,102,104,0.6,1.5,2.1,.086,-0.5,0.5,0.0,0.6
3412,Jalen Rose,1997-98,25,IND,NBA,82,0,1706,14.1,.120,.376,2.1,11.2,6.9,16.0,1.8,0.6,15.7,23.4,101,103,1.1,2.2,3.3,.092,-0.7,0.1,-0.6,0.6
3413,Jalen Rose,1998-99,26,IND,NBA,49,1,1238,14.4,.131,.319,3.3,11.3,7.4,13.6,2.2,0.9,11.3,24.7,98,104,0.8,1.0,1.8,.069,-0.1,-0.4,-0.6,0.4
3414,Jalen Rose,1999-00,27,IND,NBA,80,80,2978,16.7,.164,.257,1.6,12.5,7.3,18.4,1.5,1.1,12.4,23.2,106,105,4.4,2.9,7.3,.118,1.6,0.5,2.1,3.1
3415,Jalen Rose,2000-01,28,IND,NBA,72,72,2943,17.8,.140,.277,1.5,12.0,6.9,28.7,1.2,1.0,13.2,25.5,105,104,4.8,2.5,7.3,.119,2.3,-0.5,1.8,2.8
3416,Jalen Rose,2001-02,29,TOT,NBA,83,83,3153,16.8,.169,.230,1.6,11.9,6.8,22.0,1.3,1.0,11.1,26.1,103,107,3.5,2.1,5.7,.087,1.7,-1.2,0.6,2.0
3417,Jalen Rose,2002-03,30,CHI,NBA,82,82,3351,14.9,.227,.295,2.3,9.2,5.8,21.1,1.1,0.5,13.7,27.4,100,109,2.5,1.1,3.6,.052,1.4,-2.2,-0.8,1.0
