
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
12901,Tony Campbell,1985-86,23,DET,NBA,82,1,1292,12.6,.015,.120,6.7,12.9,9.7,4.8,2.2,0.3,11.8,22.0,99,107,0.1,1.3,1.4,.053,-2.1,-1.3,-3.4,-0.5
12902,Tony Campbell,1993-94,31,TOT,NBA,63,14,1214,13.3,.055,.234,6.8,10.7,8.6,11.4,2.1,0.8,12.9,22.8,100,107,0.4,1.2,1.5,.061,-1.8,-0.9,-2.7,-0.2
12903,Tony Campbell,1986-87,24,DET,NBA,40,0,332,7.0,.021,.269,7.0,11.7,9.4,7.9,1.7,0.2,17.3,23.9,84,107,-0.7,0.4,-0.3,-.043,-5.9,-1.2,-7.1,-0.4
12904,Tony Campbell,1994-95,32,CLE,NBA,78,0,1128,12.9,.107,.406,6.4,10.6,8.5,11.1,1.6,0.6,12.3,22.4,105,107,0.7,1.4,2.1,.089,-2.1,-0.9,-2.9,-0.3
12905,Tony Campbell,1987-88,25,LAL,NBA,13,1,242,14.2,.030,.386,3.9,8.5,6.3,9.3,2.2,0.5,18.0,24.9,104,108,0.2,0.2,0.4,.079,-1.1,-1.6,-2.7,0.0
12906,Tony Campbell,1988-89,26,LAL,NBA,63,2,787,12.5,.061,.241,8.0,10.2,9.2,8.5,2.3,0.4,14.0,23.3,101,107,0.2,0.9,1.1,.065,-1.9,-1.5,-3.4,-0.3
12907,Elden Campbell,1994-95,26,LAL,NBA,73,59,2076,15.4,.001,.369,8.9,14.8,11.9,6.8,1.7,4.4,9.7,21.0,105,108,1.5,2.3,3.8,.087,-2.1,1.0,-1.1,0.5
12908,Elden Campbell,2002-03,34,TOT,NBA,56,1,869,14.1,.003,.461,6.2,18.2,12.1,9.9,2.0,3.3,12.4,21.3,100,99,0.6,1.4,2.0,.109,-3.3,1.3,-2.0,0.0
12909,Elden Campbell,1995-96,27,LAL,NBA,82,82,2699,18.0,.006,.393,7.1,19.5,13.4,10.3,1.7,5.5,11.6,19.6,111,103,3.8,4.4,8.2,.147,-0.6,3.4,2.9,3.3
12910,Elden Campbell,2003-04,35,DET,NBA,65,27,892,13.8,.000,.395,6.8,20.1,13.6,9.3,1.3,4.3,14.6,22.6,96,93,0.1,2.0,2.1,.115,-3.9,1.9,-1.9,0.0
12911,Elden Campbell,1996-97,28,LAL,NBA,77,77,2516,16.8,.004,.393,9.5,18.3,14.0,8.6,1.0,3.5,10.5,22.0,108,103,3.4,3.6,7.0,.134,-1.1,1.1,0.0,1.3
12912,Elden Campbell,2004-05,36,TOT,NBA,40,1,390,7.2,.016,.447,8.5,19.5,14.0,8.0,1.1,1.4,16.5,21.2,85,101,-0.6,0.6,0.0,.003,-7.1,-0.2,-7.3,-0.5
12913,Elden Campbell,1997-98,29,LAL,NBA,81,28,1784,16.4,.003,.548,9.3,19.3,14.4,6.9,1.0,4.0,12.9,22.0,106,102,2.3,2.4,4.7,.126,-2.1,0.3,-1.8,0.1
