
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
7001,Alton Lister,1996-97,38,BOS,NBA,53,2,516,7.8,.000,.403,13.7,24.6,18.7,3.6,0.8,2.0,24.9,10.0,98,110,0.0,0.3,0.3,.028,-5.1,-0.9,-6.0,-0.5
7002,Alton Lister,1987-88,29,SEA,NBA,82,55,1812,12.0,.006,.548,12.1,27.2,19.5,4.0,0.7,4.8,17.5,11.4,110,104,1.4,2.8,4.1,.110,-2.5,2.4,-0.2,0.8
7003,Alton Lister,1997-98,39,POR,NBA,7,0,44,2.4,.000,.000,5.5,23.0,14.5,3.4,1.2,1.7,20.0,10.3,76,100,-0.1,0.1,0.0,.021,-7.7,0.9,-6.8,-0.1
7004,Alton Lister,1988-89,30,SEA,NBA,82,82,1806,13.7,.000,.328,12.4,21.6,16.9,4.0,0.7,6.0,15.8,16.3,107,106,1.3,2.3,3.7,.097,-2.1,1.6,-0.6,0.7
7005,Alton Lister,1981-82,23,MIL,NBA,80,23,1186,11.5,.000,.429,10.9,26.0,18.7,9.2,0.7,5.8,27.4,16.3,91,97,-0.9,2.6,1.7,.071,-4.4,3.6,-0.8,0.4
7006,Alton Lister,1989-90,31,GSW,NBA,3,0,40,10.9,.125,.875,14.0,7.6,10.7,6.4,1.1,0.0,0.0,11.0,134,116,0.1,0.0,0.1,.125,1.6,-2.5,-0.9,0.0
7007,Alton Lister,1982-83,24,MIL,NBA,80,37,1885,13.8,.000,.471,10.3,22.3,16.6,8.0,1.3,5.2,23.1,17.7,95,96,-0.2,3.9,3.8,.096,-2.4,3.6,1.2,1.5
7008,Alton Lister,1990-91,32,GSW,NBA,77,65,1552,10.7,.003,.514,8.6,25.7,17.1,7.7,0.6,3.4,18.0,15.1,100,107,0.2,1.7,1.9,.058,-3.5,1.1,-2.4,-0.1
7009,Steve Lingenfelter,1982-83,24,WSB,NBA,7,0,53,3.2,.000,.667,2.1,23.2,12.5,9.9,0.9,3.3,39.2,10.0,69,96,-0.1,0.1,0.0,.009,-7.8,3.7,-4.1,0.0
7010,Steve Lingenfelter,1983-84,25,SAS,NBA,3,0,14,2.7,.000,2.000,23.2,7.5,15.2,7.9,0.0,0.0,34.7,8.0,101,116,0.0,0.0,0.0,.007,0.6,-1.3,-0.7,0.0
7011,Jeremy Lin,2010-11,22,GSW,NBA,29,0,285,14.8,.069,.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,100,103,0.0,0.4,0.5,.078,-2.4,3.0,0.6,0.2
7012,Jeremy Lin,2011-12,23,NYK,NBA,35,25,940,19.9,.196,.478,2.2,11.1,6.6,41.0,3.0,0.8,21.4,28.1,104,101,1.3,1.4,2.7,.140,2.0,0.2,2.2,1.0
7013,Jeremy Lin,2012-13,24,HOU,NBA,82,82,2640,14.9,.287,.307,1.4,9.1,5.3,29.4,2.5,0.8,18.8,20.8,106,107,3.0,2.5,5.4,.099,0.4,-0.1,0.3,1.5
7014,Jeremy Lin,2013-14,25,HOU,NBA,71,33,2054,14.3,.346,.400,2.0,7.8,5.1,22.3,1.6,1.0,18.4,20.4,109,109,2.8,1.6,4.4,.103,0.6,-1.0,-0.4,0.8
7015,Jeremy Lin,2014-15,26,LAL,NBA,74,30,1907,15.6,.269,.410,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,104,110,1.8,0.8,2.7,.068,0.5,-1.3,-0.8,0.6
7016,Jeremy Lin,2015-16,27,CHO,NBA,78,13,2048,13.8,.310,.401,2.2,11.4,6.8,18.6,1.4,1.7,14.9,22.2,102,106,1.3,2.3,3.5,.082,-0.9,-0.2,-1.1,0.5
7017,Damian Lillard,2012-13,22,POR,NBA,82,82,3167,16.4,.391,.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,108,112,5.1,0.7,5.8,.088,2.7,-2.4,0.3,1.9
7018,Damian Lillard,2013-14,23,POR,NBA,82,82,2937,18.6,.425,.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,116,110,7.8,1.8,9.6,.157,4.4,-1.7,2.7,3.5
7019,Damian Lillard,2014-15,24,POR,NBA,82,82,2925,20.7,.421,.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,112,105,7.3,3.3,10.6,.174,5.0,0.0,5.1,5.2
7020,Damian Lillard,2015-16,25,POR,NBA,75,75,2676,22.2,.414,.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,113,110,7.7,1.4,9.2,.165,5.9,-2.2,3.7,3.8
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
7021,DeAndre Liggins,2012-13,24,OKC,NBA,39,1,290,9.4,.404,.383,5.5,14.7,10.5,7.2,3.2,0.8,20.3,10.8,101,101,0.1,0.5,0.6,.092,-1.6,1.5,-0.1,0.1
7022,DeAndre Liggins,2013-14,25,MIA,NBA,1,0,1,129.1,.000,.000,100.0,0.0,62.8,0.0,0.0,0.0,0.0,47.8,205,116,0.0,0.0,0.0,2.123,47.8,-23.1,24.8,0.0
7023,DeAndre Liggins,2011-12,23,ORL,NBA,17,0,115,8.9,.160,.760,5.9,9.2,7.5,7.1,2.8,0.0,23.1,17.7,87,104,-0.1,0.1,0.0,.000,-4.5,0.1,-4.4,-0.1
7024,Todd Lichti,1989-90,23,DEN,NBA,79,4,1326,12.3,.027,.339,3.6,8.6,6.0,11.7,1.9,0.6,13.9,20.2,103,108,0.5,1.3,1.8,.066,-1.9,-0.6,-2.5,-0.2
7025,Todd Lichti,1990-91,24,DEN,NBA,29,25,860,13.6,.124,.183,4.9,7.7,6.1,10.5,2.3,0.5,7.5,18.1,109,116,0.9,0.1,1.0,.055,0.0,-1.3,-1.2,0.2
