
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1701,Keith Tower,1994-95,24,ORL,NBA,3,0,7,-6.2,.000,1.000,16.9,31.7,24.5,0.0,0.0,0.0,25.8,23.8,47,106,-0.1,0.0,0.0,-.304,-18.8,-8.5,-27.3,0.0
1702,Keith Tower,1995-96,25,LAC,NBA,34,1,305,7.5,.014,.361,8.5,11.6,10.1,2.4,0.7,2.7,16.1,14.5,97,113,0.0,0.1,0.1,.014,-4.7,-1.4,-6.1,-0.3
1703,Keith Tower,1996-97,26,MIL,NBA,5,1,72,0.6,.000,1.000,3.4,11.8,7.6,2.0,1.5,1.0,14.8,8.7,64,109,-0.1,0.1,-0.1,-.054,-6.8,0.1,-6.7,-0.1
1704,Axel Toupane,2015-16,23,DEN,NBA,21,0,305,7.1,.571,.243,2.9,8.5,5.6,7.0,1.2,1.6,7.2,12.0,106,111,0.2,0.1,0.3,.049,-1.7,-1.1,-2.8,-0.1
1705,Oscar Torres,2001-02,25,HOU,NBA,65,13,1075,11.4,.370,.308,4.9,8.1,6.5,6.4,1.3,0.6,11.2,18.8,102,112,0.7,0.1,0.9,.039,-1.2,-2.7,-3.9,-0.5
1706,Oscar Torres,2002-03,26,GSW,NBA,17,0,109,14.7,.361,.556,3.0,8.7,5.9,4.4,1.9,1.2,15.2,20.6,110,111,0.2,0.0,0.2,.088,-0.1,-3.6,-3.7,0.0
1707,Bernard Toone,1979-80,23,PHI,NBA,23,,124,8.9,.109,.156,10.9,17.8,14.5,13.8,1.5,2.2,19.0,27.2,82,100,-0.3,0.2,-0.1,-.036,-5.6,-0.5,-6.0,-0.1
1708,Andy Toolson,1990-91,25,UTA,NBA,47,15,470,8.4,.258,.266,8.6,8.2,8.4,9.3,1.5,0.3,14.8,15.3,101,108,0.1,0.5,0.6,.057,-1.6,-0.2,-1.8,0.0
1709,Andy Toolson,1995-96,30,UTA,NBA,13,0,53,4.4,.545,.182,0.0,13.5,6.9,2.9,0.0,0.0,7.8,22.2,93,111,0.0,0.0,0.0,-.003,-3.9,-5.2,-9.1,-0.1
1710,Sedric Toney,1985-86,23,TOT,NBA,13,0,230,7.3,.152,.470,1.6,10.6,6.2,14.8,1.2,0.0,21.6,17.7,92,110,-0.2,0.2,0.0,-.001,-4.3,-1.6,-5.9,-0.2
1711,Sedric Toney,1987-88,25,NYK,NBA,21,0,139,12.8,.292,.229,2.4,4.3,3.3,24.7,3.1,0.4,18.5,18.9,107,107,0.1,0.2,0.3,.099,-0.6,-1.7,-2.3,0.0
1712,Sedric Toney,1988-89,26,IND,NBA,2,0,9,-14.9,.600,.200,13.1,11.7,12.3,0.0,0.0,0.0,26.9,34.6,37,115,-0.1,0.0,-0.1,-.586,-18.6,-10.2,-28.8,-0.1
