
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
8201,DerMarr Johnson,2000-01,20,ATL,NBA,78,21,1313,8.4,.326,.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,88,106,-0.9,0.9,0.0,.000,-3.0,-0.3,-3.3,-0.4
8202,DerMarr Johnson,2001-02,21,ATL,NBA,72,46,1727,11.3,.457,.194,3.9,12.5,8.2,7.7,1.9,2.4,14.8,18.0,97,106,0.2,1.5,1.7,.048,-1.1,0.2,-0.9,0.5
8203,DerMarr Johnson,2003-04,23,NYK,NBA,21,1,287,11.5,.371,.320,2.0,13.5,7.8,6.4,1.5,1.8,12.6,20.5,99,104,0.1,0.3,0.4,.069,-2.0,-1.3,-3.2,-0.1
8204,DerMarr Johnson,2004-05,24,DEN,NBA,71,40,1232,14.0,.399,.272,4.0,10.0,7.1,9.8,1.8,1.1,13.5,17.4,113,106,1.9,1.3,3.2,.123,1.0,-0.7,0.3,0.7
8205,DerMarr Johnson,2005-06,25,DEN,NBA,58,21,924,11.7,.523,.137,2.4,9.6,6.1,9.5,1.4,2.1,12.4,17.9,103,107,0.5,0.8,1.3,.070,-0.4,-0.8,-1.2,0.2
8206,Dennis Johnson*,1980-81,26,PHO,NBA,79,,2615,17.0,.042,.411,6.9,8.4,7.7,15.8,2.4,1.3,12.6,24.6,108,100,4.0,4.4,8.4,.154,1.1,0.9,2.0,2.6
8207,Dennis Johnson*,1988-89,34,BOS,NBA,72,72,2309,11.5,.078,.306,1.6,7.8,4.7,26.6,2.0,0.5,19.5,16.2,103,111,1.0,1.5,2.5,.051,-1.1,-0.9,-2.0,0.0
8208,Dennis Johnson*,1981-82,27,PHO,NBA,80,77,2937,16.7,.034,.403,5.5,9.8,7.7,18.3,1.7,1.1,13.9,23.6,108,104,4.1,4.0,8.1,.132,1.2,0.5,1.7,2.7
8209,Dennis Johnson*,1989-90,35,BOS,NBA,75,65,2036,12.4,.051,.295,2.7,7.9,5.5,29.7,1.9,0.4,17.9,13.5,110,109,2.0,1.8,3.8,.089,-0.7,-0.4,-1.1,0.5
8210,Dennis Johnson*,1982-83,28,PHO,NBA,77,74,2551,14.8,.036,.429,4.2,10.1,7.2,20.4,1.8,0.9,16.6,19.6,106,102,3.0,3.6,6.6,.125,0.2,0.9,1.1,2.0
8211,Dennis Johnson*,1983-84,29,BOS,NBA,80,78,2665,12.8,.036,.376,3.8,7.9,6.0,16.6,1.7,1.2,14.4,18.4,107,106,2.5,3.2,5.7,.102,-0.4,0.8,0.4,1.6
