
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1401,Gundars Vetra,1992-93,25,MIN,NBA,13,0,89,13.6,.075,.150,5.5,5.4,5.4,12.2,1.1,0.0,4.5,22.3,111,116,0.1,0.0,0.1,.070,-0.3,-4.9,-5.2,-0.1
1402,Jan Vesely,2011-12,21,WAS,NBA,57,20,1078,11.5,.005,.284,10.5,15.6,13.0,6.7,1.9,2.3,19.7,12.7,104,105,0.7,1.0,1.7,.076,-1.6,1.4,-0.2,0.5
1403,Jan Vesely,2012-13,22,WAS,NBA,51,4,601,7.6,.009,.342,7.9,14.7,11.3,7.3,1.3,2.2,17.1,12.0,95,103,-0.1,0.8,0.7,.059,-4.4,1.9,-2.5,-0.1
1404,Jan Vesely,2013-14,23,TOT,NBA,54,1,776,12.7,.000,.324,11.7,16.1,13.9,4.0,3.4,3.5,15.4,13.2,101,100,0.2,1.4,1.6,.097,-2.7,3.2,0.5,0.5
1405,Pete Verhoeven,1981-82,22,POR,NBA,71,22,1207,10.4,.000,.243,9.9,13.6,11.8,5.4,1.7,1.0,14.4,13.0,109,108,1.0,1.1,2.1,.085,-1.1,0.2,-0.9,0.3
1406,Pete Verhoeven,1982-83,23,POR,NBA,48,0,527,10.9,.006,.181,9.3,11.1,10.2,8.5,1.6,1.0,17.8,17.3,100,105,0.2,0.5,0.8,.069,-1.5,-0.4,-1.9,0.0
1407,Pete Verhoeven,1983-84,24,POR,NBA,43,0,327,12.0,.010,.250,9.5,12.7,11.0,8.0,3.2,2.0,15.9,16.3,106,105,0.2,0.5,0.7,.099,-1.0,1.3,0.2,0.2
1408,Pete Verhoeven,1984-85,25,KCK,NBA,54,0,366,8.6,.000,.231,8.8,10.8,9.8,5.9,1.9,1.0,14.4,15.0,105,112,0.2,0.2,0.4,.053,-2.1,-0.8,-2.9,-0.1
1409,Pete Verhoeven,1985-86,26,GSW,NBA,61,5,749,10.1,.012,.257,9.1,14.3,11.6,4.8,1.8,1.2,13.9,11.3,112,111,0.7,0.5,1.2,.076,-1.2,0.1,-1.1,0.2
1410,Pete Verhoeven,1986-87,27,IND,NBA,5,0,44,5.2,.000,.000,4.9,12.6,8.7,6.0,2.2,1.4,0.0,13.3,92,105,0.0,0.1,0.0,.040,-5.1,0.7,-4.5,0.0
