
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
301,Bill Willoughby,1981-82,24,HOU,NBA,69,42,1475,13.1,.015,.166,7.7,12.2,9.9,7.0,1.0,2.3,13.5,16.0,109,109,1.5,1.1,2.6,.086,-0.8,0.3,-0.5,0.6
302,Bill Willoughby,1982-83,25,TOT,NBA,62,0,1146,8.8,.043,.170,6.2,12.7,9.6,7.0,1.0,0.8,14.9,14.2,101,108,0.4,0.8,1.2,.050,-2.0,-0.5,-2.5,-0.1
303,Bill Willoughby,1983-84,26,NJN,NBA,67,2,936,11.2,.027,.244,9.0,14.6,11.8,7.7,1.1,1.5,15.6,14.4,107,106,0.7,1.1,1.8,.092,-1.8,0.7,-1.1,0.2
304,Kevin Willis,1984-85,22,ATL,NBA,82,19,1785,12.9,.013,.262,11.0,20.9,16.0,2.9,0.8,1.5,11.9,20.2,101,106,0.4,2.2,2.7,.072,-2.9,-1.4,-4.4,-1.1
305,Kevin Willis,1985-86,23,ATL,NBA,82,59,2300,14.1,.007,.324,11.7,22.0,16.9,2.8,1.4,1.1,16.0,19.6,104,104,1.4,3.3,4.7,.099,-1.2,-0.1,-1.4,0.4
306,Kevin Willis,1986-87,24,ATL,NBA,81,81,2626,17.4,.004,.319,13.3,21.6,17.5,3.5,1.2,1.4,13.1,20.6,113,104,4.4,4.2,8.6,.156,1.1,0.3,1.4,2.2
307,Kevin Willis,1987-88,25,ATL,NBA,75,55,2091,14.0,.003,.357,12.4,16.7,14.5,1.9,1.6,1.2,14.8,18.8,107,107,1.7,2.5,4.2,.095,-0.6,-0.6,-1.2,0.4
308,Kevin Willis,1989-90,27,ATL,NBA,81,51,2273,15.7,.009,.306,12.5,20.4,16.4,3.7,1.4,1.3,13.6,19.5,111,111,3.0,1.7,4.7,.098,0.1,-1.3,-1.2,0.5
309,Kevin Willis,1990-91,28,ATL,NBA,80,80,2373,15.3,.011,.270,11.5,21.2,16.2,6.3,1.2,1.0,13.4,19.8,108,109,2.3,2.0,4.4,.089,-0.6,-0.6,-1.1,0.5
310,Kevin Willis,1991-92,29,ATL,NBA,81,80,2962,19.7,.030,.297,14.7,30.9,22.6,8.6,1.2,1.1,12.5,22.0,111,105,4.7,4.1,8.8,.143,0.6,0.4,1.0,2.2
311,Kevin Willis,1992-93,30,ATL,NBA,80,80,2878,17.4,.024,.246,12.5,27.9,19.9,8.9,1.2,0.9,13.6,22.5,107,108,3.0,3.0,6.0,.099,-0.3,-0.1,-0.4,1.2
312,Kevin Willis,1993-94,31,ATL,NBA,80,80,2867,19.4,.019,.299,12.8,24.2,18.5,8.7,1.4,0.9,11.7,24.1,110,100,5.1,5.1,10.2,.170,0.8,0.3,1.1,2.2
313,Kevin Willis,1994-95,32,TOT,NBA,67,63,2390,16.1,.015,.293,10.9,25.3,18.0,6.1,1.3,1.2,12.4,24.2,102,107,0.9,2.8,3.6,.073,-2.3,-0.9,-3.2,-0.7
314,Kevin Willis,1995-96,33,TOT,NBA,75,60,2135,11.7,.013,.284,11.4,23.1,17.3,4.2,0.8,1.5,16.7,20.1,96,105,-0.7,2.9,2.2,.050,-4.2,-0.5,-4.7,-1.4
315,Kevin Willis,1996-97,34,HOU,NBA,75,32,1964,14.3,.019,.277,9.1,23.3,16.6,6.2,1.1,1.2,12.7,21.7,101,103,0.8,3.0,3.8,.093,-3.6,-0.2,-3.8,-0.9
316,Kevin Willis,1997-98,35,HOU,NBA,81,74,2528,18.3,.007,.293,11.0,20.7,15.9,5.8,1.1,1.1,12.6,24.1,108,108,4.3,1.7,6.0,.114,-0.5,-1.9,-2.4,-0.3
317,Kevin Willis,1998-99,36,TOR,NBA,42,38,1216,15.6,.004,.347,10.3,23.2,16.7,10.3,1.2,1.8,14.3,22.4,101,102,1.1,1.2,2.4,.093,-1.5,-0.8,-2.3,-0.1
318,Kevin Willis,1999-00,37,TOR,NBA,79,1,1679,12.3,.005,.288,13.0,19.4,16.1,4.8,1.1,2.0,13.3,19.5,99,105,0.7,1.6,2.3,.066,-3.1,-1.2,-4.4,-1.0
319,Kevin Willis,2000-01,38,TOT,NBA,78,22,1830,14.6,.009,.213,10.5,21.8,16.0,4.6,1.6,2.0,10.3,20.5,100,103,1.1,2.0,3.1,.081,-2.6,-0.7,-3.3,-0.6
320,Kevin Willis,2001-02,39,HOU,NBA,52,5,865,16.1,.004,.306,13.7,25.9,19.8,2.9,1.6,1.8,11.3,19.5,104,104,0.8,0.9,1.7,.096,-3.2,-1.9,-5.2,-0.7
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
321,Kevin Willis,2002-03,40,SAS,NBA,71,6,840,12.5,.008,.323,12.0,18.8,15.6,4.9,1.3,1.7,17.0,19.5,98,99,0.2,1.3,1.6,.091,-3.3,-0.4,-3.7,-0.4
322,Kevin Willis,2003-04,41,SAS,NBA,48,0,373,14.9,.007,.260,11.2,18.1,14.7,5.5,3.0,1.8,16.1,24.7,93,91,-0.1,1.0,0.9,.111,-3.8,1.1,-2.7,-0.1
323,Kevin Willis,2004-05,42,ATL,NBA,29,5,344,8.0,.022,.256,9.3,16.8,12.9,4.1,1.2,1.6,13.0,15.0,94,111,-0.1,0.1,0.0,.004,-5.0,-1.8,-6.8,-0.4
324,Kevin Willis,2006-07,44,DAL,NBA,5,0,43,6.3,.000,.154,5.7,16.4,11.2,3.6,2.5,1.8,12.6,17.2,90,100,0.0,0.1,0.0,.048,-5.5,0.9,-4.6,0.0
325,John Williamson,1979-80,28,TOT,NBA,58,,1374,13.5,.043,.169,2.8,4.6,3.7,14.9,1.2,0.7,9.5,27.5,99,108,0.4,0.9,1.3,.046,-0.9,-3.2,-4.1,-0.7
326,John Williamson,1980-81,29,WSB,NBA,9,,112,4.2,.107,.107,0.0,6.6,3.3,20.6,1.7,0.5,17.0,25.3,74,105,-0.4,0.1,-0.3,-.117,-7.1,-1.7,-8.8,-0.2
327,Corliss Williamson,1995-96,22,SAC,NBA,53,3,609,8.5,.011,.313,10.6,11.1,10.8,6.9,0.9,1.1,19.9,27.5,87,112,-1.1,0.3,-0.8,-.062,-5.5,-3.0,-8.5,-1.0
