
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Jim Zoet,1982-83,29,DET,NBA,7,0,30,-0.8,.000,.000,10.2,17.7,13.9,3.8,1.5,5.3,44.4,11.6,46,101,-0.1,0.0,-0.1,-.123,-10.3,3.0,-7.3,0.0
2,Derrick Zimmerman,2005-06,24,NJN,NBA,2,0,32,5.5,.000,.000,3.6,11.2,7.3,34.2,0.0,0.0,57.1,10.3,88,108,0.0,0.0,0.0,.004,-7.1,-2.6,-9.7,-0.1
3,George Zidek,1995-96,22,CHH,NBA,71,21,888,8.0,.000,.375,9.2,15.9,12.5,2.7,0.5,0.6,11.6,16.7,102,114,0.3,0.3,0.6,.031,-4.2,-3.1,-7.3,-1.2
4,George Zidek,1996-97,23,TOT,NBA,52,2,376,10.2,.017,.483,11.4,15.8,13.6,6.1,0.7,0.6,15.9,21.0,100,111,0.1,0.2,0.3,.034,-4.0,-3.0,-6.9,-0.5
5,George Zidek,1997-98,24,TOT,NBA,12,0,64,9.1,.069,.552,7.2,24.4,15.7,5.1,0.0,2.3,10.0,28.7,89,109,-0.1,0.0,0.0,-.036,-8.8,-5.6,-14.4,-0.2
6,Wang Zhizhi,2000-01,23,DAL,NBA,5,0,38,14.9,.105,.526,3.0,17.2,10.3,0.0,0.0,0.0,4.1,29.2,106,106,0.1,0.0,0.1,.122,-4.5,-9.3,-13.8,-0.1
7,Wang Zhizhi,2001-02,24,DAL,NBA,55,0,600,16.1,.468,.230,3.6,16.8,10.3,5.9,0.9,2.1,8.4,22.4,110,107,1.1,0.4,1.5,.121,1.0,-2.8,-1.7,0.0
8,Wang Zhizhi,2002-03,25,LAC,NBA,41,1,412,11.6,.290,.358,7.2,13.9,10.6,4.3,1.0,1.7,14.2,24.0,94,108,-0.1,0.2,0.1,.014,-3.1,-3.6,-6.8,-0.5
9,Wang Zhizhi,2003-04,26,TOT,NBA,16,0,114,11.5,.304,.217,4.0,14.4,9.2,3.3,1.4,3.4,10.6,23.2,92,101,0.0,0.1,0.1,.043,-4.5,-2.2,-6.7,-0.1
10,Wang Zhizhi,2004-05,27,MIA,NBA,20,0,92,16.3,.083,.333,7.9,14.6,11.4,9.2,1.7,1.6,10.8,23.4,104,103,0.1,0.1,0.2,.114,-1.8,-1.2,-3.0,0.0
11,Phil Zevenbergen,1987-88,23,SAS,NBA,8,0,58,13.7,.000,.074,7.4,16.9,12.1,7.6,2.4,0.9,12.5,21.7,100,110,0.0,0.0,0.0,.041,-2.0,-2.0,-4.0,0.0
12,Tony Zeno,1979-80,22,IND,NBA,8,,59,0.2,.000,.095,5.1,19.9,12.3,2.1,3.1,2.8,29.1,20.3,55,100,-0.3,0.1,-0.2,-.160,-12.2,0.1,-12.1,-0.2
13,Tyler Zeller,2012-13,23,CLE,NBA,77,55,2033,11.0,.007,.281,8.7,16.7,12.5,7.4,0.9,2.8,13.1,15.9,102,110,0.8,1.2,2.0,.048,-2.7,0.4,-2.3,-0.1
