
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
6401,Tony Massenburg,1996-97,29,NJN,NBA,79,49,1954,11.9,.002,.456,11.6,17.4,14.3,1.8,1.0,1.9,14.4,13.8,107,110,1.6,1.2,2.8,.069,-2.8,-1.2,-3.9,-0.9
6402,Tony Massenburg,1997-98,30,VAN,NBA,61,13,894,14.9,.000,.443,10.3,19.5,14.9,4.0,1.5,1.9,14.0,21.4,104,110,0.8,0.4,1.3,.067,-2.5,-2.7,-5.3,-0.7
6403,Tony Massenburg,1998-99,31,VAN,NBA,43,35,1143,15.9,.005,.399,8.4,18.2,13.2,4.0,1.2,2.5,12.3,20.9,103,107,1.3,0.5,1.8,.076,-2.0,-1.8,-3.8,-0.5
6404,Tony Massenburg,1999-00,32,HOU,NBA,10,0,109,13.8,.000,.444,7.4,20.1,13.9,4.5,0.9,3.0,17.3,21.0,100,104,0.1,0.1,0.2,.073,-4.7,-1.4,-6.0,-0.1
6405,Tony Massenburg,1990-91,23,SAS,NBA,35,0,161,16.3,.000,.750,16.7,22.8,19.9,3.6,1.2,3.4,14.0,24.0,104,100,0.1,0.3,0.4,.129,-3.2,-1.5,-4.6,-0.1
6406,Tony Massenburg,2000-01,33,VAN,NBA,52,20,823,9.6,.000,.352,10.5,18.6,14.6,1.8,0.6,2.4,17.3,15.4,96,105,0.1,0.6,0.7,.041,-4.8,-1.3,-6.1,-0.9
6407,Tony Massenburg,1991-92,24,TOT,NBA,18,0,90,3.8,.000,.600,8.7,21.4,15.2,0.0,0.5,0.7,22.2,18.6,82,108,-0.2,0.1,-0.1,-.044,-9.2,-5.2,-14.4,-0.3
6408,Tony Massenburg,2001-02,34,MEM,NBA,73,31,1247,11.4,.003,.335,9.0,20.0,14.5,3.5,1.3,1.7,14.0,17.0,99,105,0.3,1.2,1.5,.059,-4.4,-0.9,-5.3,-1.0
6409,Roger Mason,2008-09,28,SAS,NBA,82,71,2496,11.9,.479,.144,0.8,11.1,6.0,11.1,0.9,0.4,10.3,18.9,107,107,1.9,2.9,4.7,.091,0.0,-0.4,-0.4,1.0
6410,Roger Mason,2009-10,29,SAS,NBA,79,5,1515,9.7,.532,.069,0.9,11.5,6.3,13.5,1.0,0.7,10.4,17.2,101,107,0.3,1.7,1.9,.062,-1.2,-0.5,-1.7,0.1
6411,Roger Mason,2010-11,30,NYK,NBA,26,0,319,7.1,.571,.130,1.8,13.7,7.7,8.8,0.9,0.5,6.9,12.2,102,113,0.1,0.1,0.2,.029,-2.4,-2.0,-4.4,-0.2
6412,Roger Mason,2011-12,31,WAS,NBA,52,0,697,12.1,.597,.105,1.1,10.1,5.6,11.0,1.0,0.6,10.6,19.4,104,110,0.6,0.2,0.9,.059,0.4,-3.3,-2.9,-0.2
6413,Roger Mason,2002-03,22,CHI,NBA,17,0,113,7.4,.581,.065,2.0,9.6,5.9,16.3,1.8,0.0,13.6,14.5,98,108,0.0,0.1,0.1,.038,-1.6,-2.3,-3.8,-0.1
6414,Roger Mason,2012-13,32,NOH,NBA,69,13,1219,10.0,.521,.141,1.1,12.0,6.5,9.5,1.2,0.8,13.6,14.3,109,112,1.1,0.3,1.4,.057,-0.3,-1.4,-1.7,0.1
6415,Roger Mason,2003-04,23,TOT,NBA,26,3,328,7.7,.398,.224,0.3,10.6,5.4,14.0,1.8,1.3,15.7,18.7,86,102,-0.3,0.4,0.1,.008,-4.6,-0.7,-5.2,-0.3
6416,Roger Mason,2013-14,33,MIA,NBA,25,2,260,8.2,.716,.104,0.5,9.8,5.3,10.5,1.2,0.3,11.4,14.5,104,110,0.1,0.2,0.3,.055,-1.0,-2.4,-3.4,-0.1
6417,Roger Mason,2006-07,26,WAS,NBA,62,0,492,7.2,.570,.089,1.6,9.1,5.3,10.9,1.3,0.9,9.3,18.3,95,113,-0.2,0.1,-0.1,-.005,-2.2,-3.4,-5.6,-0.5
