
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
10501,Matt Freije,2006-07,25,ATL,NBA,19,0,147,6.1,.407,.111,6.5,13.3,9.8,7.9,1.1,0.5,5.0,18.7,86,111,-0.2,0.1,-0.1,-.034,-4.2,-3.3,-7.5,-0.2
10502,Joel Freeland,2012-13,25,POR,NBA,51,1,477,9.3,.000,.190,9.6,19.5,14.5,4.3,1.4,1.7,11.0,16.6,94,108,-0.2,0.4,0.2,.022,-5.3,-0.9,-6.2,-0.5
10503,Joel Freeland,2013-14,26,POR,NBA,52,0,727,11.3,.012,.179,13.2,17.6,15.4,7.1,0.7,2.1,15.5,12.4,109,107,0.7,0.7,1.4,.093,-1.8,1.1,-0.7,0.2
10504,Joel Freeland,2014-15,27,POR,NBA,48,8,617,12.2,.000,.166,11.0,21.9,16.6,3.8,0.7,2.7,12.4,13.4,109,102,0.6,0.9,1.6,.122,-3.0,1.2,-1.8,0.0
10505,World B. Free,1980-81,27,GSW,NBA,65,,2370,19.5,.027,.561,2.2,5.3,3.7,22.3,1.7,0.3,11.9,27.4,115,112,6.8,0.6,7.4,.150,2.9,-2.8,0.1,1.3
10506,World B. Free,1981-82,28,GSW,NBA,78,78,2796,18.2,.039,.446,4.5,5.2,4.8,21.7,1.2,0.2,10.7,28.0,111,112,5.6,1.3,6.9,.118,2.4,-2.3,0.1,1.5
10507,World B. Free,1982-83,29,TOT,NBA,73,69,2638,18.4,.032,.410,3.8,4.8,4.3,18.2,1.8,0.3,11.1,29.6,106,110,4.5,1.2,5.7,.104,2.5,-2.6,-0.1,1.3
10508,World B. Free,1983-84,30,CLE,NBA,75,71,2375,18.8,.049,.358,4.1,6.3,5.2,16.3,2.0,0.2,8.6,31.3,108,111,3.7,1.6,5.3,.107,2.6,-2.3,0.2,1.3
10509,World B. Free,1984-85,31,CLE,NBA,71,50,2249,19.7,.145,.309,2.9,7.2,5.1,23.5,1.6,0.4,8.4,29.4,111,111,4.5,1.4,6.0,.127,4.3,-1.8,2.5,2.6
10510,World B. Free,1985-86,32,CLE,NBA,75,75,2535,19.0,.118,.339,3.1,6.4,4.7,19.9,1.7,0.4,9.5,29.3,109,111,4.5,1.5,6.1,.115,3.4,-1.9,1.5,2.3
10511,World B. Free,1986-87,33,PHI,NBA,20,2,285,7.1,.073,.382,2.1,5.5,3.8,15.0,0.9,0.8,11.1,23.8,91,114,-0.3,0.1,-0.2,-.037,-5.4,-4.0,-9.4,-0.5
10512,World B. Free,1979-80,26,SDC,NBA,68,,2585,22.7,.016,.488,5.2,4.7,5.0,18.0,1.5,0.7,10.8,32.7,112,113,7.7,0.3,8.0,.148,4.3,-3.3,1.0,1.9
10513,World B. Free,1987-88,34,HOU,NBA,58,0,682,11.1,.100,.286,2.2,4.6,3.4,13.1,1.4,0.2,11.1,26.1,98,110,-0.1,0.5,0.4,.028,-2.8,-3.4,-6.2,-0.7
10514,Jimmer Fredette,2012-13,23,SAC,NBA,69,0,967,14.6,.381,.242,2.2,6.4,4.2,15.9,1.6,0.2,13.1,23.9,106,115,1.1,-0.1,1.1,.052,0.7,-4.3,-3.6,-0.4
10515,Jimmer Fredette,2013-14,24,TOT,NBA,49,0,519,15.8,.370,.093,1.7,9.7,5.7,22.2,1.4,0.5,16.9,24.3,105,110,0.5,0.3,0.8,.078,0.6,-3.0,-2.4,0.0
10516,Jimmer Fredette,2014-15,25,NOP,NBA,50,0,509,9.8,.289,.271,1.8,7.1,4.5,17.2,1.5,0.3,15.1,19.6,97,111,0.0,0.2,0.2,.021,-2.6,-2.9,-5.5,-0.4
10517,Jimmer Fredette,2015-16,26,TOT,NBA,6,0,18,12.0,.400,1.000,0.0,0.0,0.0,7.7,2.8,0.0,21.7,22.8,94,111,0.0,0.0,0.0,.000,-2.3,-5.3,-7.5,0.0
10518,Jimmer Fredette,2011-12,22,SAC,NBA,61,7,1135,10.8,.484,.108,1.6,5.7,3.5,15.1,1.3,0.2,12.5,20.4,100,114,0.5,-0.2,0.3,.012,-0.4,-4.0,-4.4,-0.7
10519,Anthony Frederick,1988-89,24,IND,NBA,46,0,313,11.9,.040,.272,9.8,8.7,9.2,9.8,2.2,1.1,19.5,23.2,98,111,0.0,0.2,0.2,.025,-1.9,-1.4,-3.3,-0.1
10520,Anthony Frederick,1990-91,26,SAC,NBA,35,3,475,11.2,.000,.357,8.4,11.8,10.0,14.4,2.3,1.7,17.1,21.6,91,108,-0.5,0.5,0.0,-.001,-4.0,0.2,-3.8,-0.2
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
