
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2901,Jack Sikma,1982-83,27,SEA,NBA,75,71,2564,19.6,.008,.458,9.3,25.7,17.8,12.6,1.6,1.3,13.2,22.5,111,99,5.2,4.6,9.8,.183,1.3,1.9,3.2,3.4
2902,Jack Sikma,1983-84,28,SEA,NBA,82,82,2993,19.7,.002,.416,8.6,25.9,17.3,16.0,1.5,1.7,14.7,22.2,112,104,5.3,4.4,9.7,.156,1.7,2.3,4.0,4.5
2903,Jack Sikma,1984-85,29,SEA,NBA,68,68,2402,20.4,.011,.417,7.9,27.0,17.4,18.6,1.7,2.2,12.5,22.2,114,104,4.6,3.7,8.3,.166,1.7,2.8,4.5,4.0
2904,Jack Sikma,1985-86,30,SEA,NBA,80,78,2790,17.6,.012,.374,6.0,26.2,15.9,16.5,1.6,1.6,14.3,22.4,108,103,3.4,4.4,7.8,.134,0.1,2.4,2.5,3.2
2905,Jack Sikma,1986-87,31,MIL,NBA,82,82,2536,16.0,.002,.372,9.0,27.3,18.0,11.1,1.7,2.2,14.0,18.4,109,101,2.7,4.7,7.4,.141,-0.7,2.8,2.1,2.6
2906,Jack Sikma,1987-88,32,MIL,NBA,82,82,2923,17.4,.013,.329,7.5,19.8,13.7,14.1,1.6,1.6,11.5,19.7,115,105,5.4,3.9,9.4,.154,1.5,2.0,3.5,4.1
2907,Jack Sikma,1988-89,33,MIL,NBA,80,80,2587,15.8,.259,.352,6.2,21.9,13.9,15.5,1.6,1.5,13.1,17.8,115,105,4.5,3.7,8.1,.151,1.7,2.0,3.6,3.7
2908,Jack Sikma,1989-90,34,MIL,NBA,71,70,2250,14.7,.241,.314,5.5,19.8,12.5,14.6,1.7,1.3,12.9,20.1,108,107,2.3,2.7,5.0,.107,0.1,0.9,1.0,1.7
2909,Jack Sikma,1990-91,35,MIL,NBA,77,44,1940,13.7,.195,.285,6.5,20.8,13.5,10.7,1.7,2.1,14.3,20.1,104,105,1.0,2.6,3.5,.088,-1.3,1.0,-0.3,0.8
2910,Jerry Sichting,1980-81,24,IND,NBA,47,,450,8.4,.053,.337,2.6,8.0,5.2,19.2,2.4,0.1,20.4,12.2,94,107,-0.1,0.4,0.3,.032,-3.8,-0.7,-4.6,-0.3
