
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
201,Loren Woods,2002-03,24,MIN,NBA,38,11,353,9.9,.039,.355,8.9,21.3,15.2,7.5,1.5,2.6,20.7,14.2,91,101,-0.1,0.5,0.4,.048,-4.4,1.3,-3.2,-0.1
202,Loren Woods,2003-04,25,MIA,NBA,38,2,506,12.3,.000,.573,14.8,16.1,15.4,3.3,1.2,3.0,17.8,13.6,103,101,0.4,0.6,1.1,.100,-2.9,0.5,-2.4,-0.1
203,Loren Woods,2004-05,26,TOR,NBA,45,30,712,11.3,.006,.360,12.6,22.5,17.5,3.7,0.6,4.0,16.3,14.6,98,106,0.0,0.7,0.7,.048,-4.5,0.6,-3.9,-0.4
204,Loren Woods,2005-06,27,TOR,NBA,27,4,324,12.3,.017,.237,15.9,26.0,20.8,1.8,1.5,5.6,19.7,11.6,102,106,0.1,0.3,0.4,.064,-3.9,1.0,-2.9,-0.1
205,Loren Woods,2007-08,29,HOU,NBA,7,0,17,13.4,.000,.000,0.0,6.5,3.3,20.1,0.0,0.0,0.0,13.4,136,109,0.0,0.0,0.1,.179,-1.3,-3.2,-4.5,0.0
206,Leon Wood,1984-85,22,PHI,NBA,38,1,269,9.1,.224,.194,1.3,6.2,3.8,24.5,1.4,0.0,14.7,25.5,91,112,-0.3,0.2,-0.2,-.029,-3.5,-4.3,-7.7,-0.4
207,Leon Wood,1985-86,23,TOT,NBA,68,1,1198,13.3,.245,.333,2.3,5.9,4.1,22.0,1.4,0.0,12.2,21.0,106,110,1.1,0.9,1.9,.077,-0.1,-2.9,-3.0,-0.3
208,Leon Wood,1986-87,24,NJN,NBA,76,7,1733,11.1,.399,.307,1.5,6.3,3.9,28.8,1.3,0.1,16.0,15.7,107,114,1.3,0.6,2.0,.054,-0.3,-2.8,-3.2,-0.5
209,Leon Wood,1987-88,25,TOT,NBA,52,8,909,15.4,.407,.317,2.0,4.8,3.4,24.7,1.3,0.1,9.9,17.2,122,117,2.1,0.0,2.2,.114,2.4,-4.3,-1.9,0.0
210,Leon Wood,1989-90,27,NJN,NBA,28,2,200,10.9,.429,.327,0.5,6.3,3.2,32.6,1.5,0.0,12.5,12.9,110,113,0.2,0.1,0.3,.066,-2.5,-4.3,-6.8,-0.2
211,Leon Wood,1990-91,28,SAC,NBA,12,0,222,15.4,.603,.333,2.5,7.3,4.9,32.9,1.1,0.0,14.2,16.6,119,113,0.5,0.1,0.6,.119,1.7,-4.1,-2.4,0.0
212,Howard Wood,1981-82,22,UTA,NBA,42,3,342,12.0,.008,.433,6.8,13.8,10.2,3.4,1.1,0.9,9.5,18.5,105,113,0.2,0.1,0.3,.049,-3.0,-3.2,-6.2,-0.4
213,David Wood,1988-89,24,CHI,NBA,2,0,2,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117,0.0,0.0,0.0,-.002,-6.5,-0.1,-6.6,0.0
214,David Wood,1990-91,26,HOU,NBA,82,13,1421,9.6,.258,.381,8.1,10.4,9.2,8.8,2.0,0.7,17.9,14.4,107,105,0.9,1.9,2.8,.096,-1.4,1.3,-0.1,0.7
215,David Wood,1992-93,28,SAS,NBA,64,2,598,8.7,.179,.470,7.6,10.8,9.3,7.6,1.1,1.2,17.0,12.5,109,109,0.5,0.5,1.0,.082,-1.7,0.1,-1.6,0.1
216,David Wood,1993-94,29,DET,NBA,78,3,1182,11.1,.189,.317,9.6,12.8,11.2,6.1,1.7,1.0,10.6,12.2,117,111,1.7,0.6,2.3,.095,-0.6,0.0,-0.7,0.4
217,David Wood,1994-95,30,GSW,NBA,78,13,1336,10.3,.279,.359,6.8,13.2,10.0,7.0,1.0,0.7,12.3,13.6,115,114,1.7,0.5,2.2,.078,-1.0,-1.0,-2.0,0.0
218,David Wood,1995-96,31,TOT,NBA,62,0,772,9.2,.356,.287,6.6,15.4,10.6,6.4,1.2,0.9,10.9,12.0,114,111,0.8,0.5,1.3,.081,-2.2,-0.8,-3.0,-0.2
219,David Wood,1996-97,32,MIL,NBA,46,0,240,10.2,.395,.474,2.6,11.2,6.9,8.1,1.6,1.9,11.6,10.0,123,109,0.4,0.2,0.5,.110,-0.9,-0.1,-1.0,0.1
220,Christian Wood,2015-16,20,PHI,NBA,17,0,145,16.4,.208,.396,9.4,19.4,14.3,3.5,1.7,3.7,3.1,19.4,107,107,0.2,0.1,0.3,.097,-2.9,-1.6,-4.5,-0.1
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
221,Al Wood,1981-82,23,TOT,NBA,48,5,930,13.2,.063,.312,6.3,10.7,8.4,9.1,1.6,0.6,14.1,22.5,103,112,0.5,0.4,0.9,.046,-1.0,-2.1,-3.1,-0.3
222,Al Wood,1982-83,24,SDC,NBA,76,47,1822,13.0,.068,.218,5.6,9.5,7.4,10.1,1.4,1.2,12.0,19.7,105,111,1.9,0.4,2.3,.061,-0.5,-2.0,-2.4,-0.2
223,Al Wood,1983-84,25,SEA,NBA,81,81,2236,14.9,.022,.287,4.8,9.2,7.0,11.2,1.4,0.8,10.6,22.1,109,110,2.7,1.7,4.4,.094,0.2,-1.0,-0.8,0.7
224,Al Wood,1984-85,26,SEA,NBA,80,79,2545,14.3,.031,.202,4.5,8.2,6.4,14.7,1.6,1.2,9.4,21.0,106,110,2.2,2.1,4.2,.080,-0.1,-0.3,-0.4,1.0
225,Al Wood,1985-86,27,SEA,NBA,78,34,1749,13.5,.045,.293,5.3,11.4,8.3,10.3,1.6,0.7,10.4,24.6,102,107,0.7,1.8,2.5,.068,-1.7,-1.1,-2.8,-0.4
226,Al Wood,1986-87,28,DAL,NBA,54,0,657,13.2,.081,.448,6.5,8.9,7.7,7.2,1.4,0.9,8.4,25.1,106,111,0.5,0.5,1.0,.076,-1.8,-2.6,-4.4,-0.4
227,Nate Wolters,2013-14,22,MIL,NBA,58,31,1309,12.7,.159,.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,105,114,0.9,0.2,1.2,.043,-1.4,-2.1,-3.4,-0.5
228,Nate Wolters,2014-15,23,TOT,NBA,21,0,247,4.6,.123,.105,3.7,11.9,7.8,12.2,1.7,0.6,17.9,13.3,77,106,-0.4,0.2,-0.2,-.036,-6.1,0.0,-6.1,-0.3
229,Ruben Wolkowyski,2000-01,27,SEA,NBA,34,1,305,6.4,.025,.430,4.5,12.7,8.7,1.4,1.0,4.3,11.3,15.7,85,106,-0.3,0.2,-0.1,-.012,-6.7,-0.9,-7.5,-0.4
230,Ruben Wolkowyski,2002-03,29,BOS,NBA,7,0,24,1.2,.250,1.000,0.0,4.8,2.4,7.0,0.0,0.0,14.8,13.1,79,110,0.0,0.0,0.0,-.051,-7.5,-3.5,-11.0,-0.1
231,Joe Wolf,1987-88,23,LAC,NBA,42,26,1137,7.6,.045,.162,4.6,13.2,8.7,12.6,1.6,0.8,17.5,15.5,89,108,-1.1,1.1,0.1,.002,-4.5,1.2,-3.3,-0.4
232,Joe Wolf,1988-89,24,LAC,NBA,66,15,1450,7.0,.035,.159,6.1,13.8,10.0,10.1,1.0,0.6,17.9,14.3,90,112,-1.1,0.7,-0.5,-.016,-4.4,-0.5,-4.9,-1.1
233,Joe Wolf,1989-90,25,LAC,NBA,77,19,1325,6.8,.064,.181,5.5,14.4,10.0,6.5,1.1,1.1,15.4,15.8,88,109,-1.4,1.2,-0.2,-.006,-5.1,-0.4,-5.5,-1.2
234,Joe Wolf,1990-91,26,DEN,NBA,74,38,1593,10.1,.029,.160,7.3,17.3,11.9,8.0,1.6,1.0,14.6,14.4,101,114,0.2,0.5,0.7,.021,-2.9,-0.2,-3.1,-0.4
235,Joe Wolf,1991-92,27,DEN,NBA,67,0,1160,7.2,.040,.238,8.5,14.1,11.1,7.1,1.3,0.7,16.4,12.8,92,110,-0.7,0.9,0.3,.010,-4.5,0.2,-4.3,-0.7
