
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
8601,Allen Iverson*,2009-10,34,TOT,NBA,28,24,865,13.4,.079,.415,2.1,8.7,5.4,21.0,1.2,0.2,14.6,23.0,103,114,0.5,0.2,0.7,.037,-1.4,-2.8,-4.2,-0.5
8602,Allen Iverson*,2001-02,26,PHI,NBA,60,59,2622,21.9,.161,.351,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,101,100,2.6,4.3,6.9,.126,3.7,0.2,3.8,3.9
8603,Allen Iverson*,2002-03,27,PHI,NBA,82,82,3485,21.2,.156,.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,103,102,5.0,4.2,9.2,.127,3.1,-0.3,2.8,4.2
8604,Allen Iverson*,2003-04,28,PHI,NBA,48,47,2040,19.3,.177,.404,2.0,8.2,5.1,34.4,3.1,0.2,13.6,35.3,96,102,0.5,2.3,2.8,.066,3.1,-0.6,2.5,2.3
8605,Allen Iverson*,2004-05,29,PHI,NBA,75,75,3174,23.2,.186,.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,105,105,5.3,3.7,9.0,.136,4.8,-0.5,4.3,5.0
8606,Allen Iverson*,1996-97,21,PHI,NBA,76,74,3045,18.0,.303,.362,4.0,7.2,5.6,33.6,2.6,0.6,16.2,28.9,104,112,3.1,1.0,4.1,.065,3.4,-2.0,1.5,2.7
8607,Allen Iverson*,2005-06,30,PHI,NBA,72,72,3103,25.9,.122,.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,111,110,8.8,1.8,10.6,.165,6.0,-2.5,3.5,4.3
8608,Allen Iverson*,1997-98,22,PHI,NBA,80,80,3150,20.4,.167,.380,3.1,7.7,5.4,30.6,3.0,0.6,12.9,26.9,109,106,6.3,2.8,9.0,.138,4.5,-0.7,3.8,4.6
8609,Mike Iuzzolino,1991-92,24,DAL,NBA,52,21,1280,13.3,.383,.361,2.2,6.1,4.1,22.8,1.3,0.0,18.3,16.9,113,115,1.8,0.3,2.2,.081,0.7,-2.4,-1.7,0.1
8610,Mike Iuzzolino,1992-93,25,DAL,NBA,70,23,1769,12.7,.301,.312,1.7,7.3,4.3,27.4,1.3,0.2,19.2,15.5,109,118,1.8,-0.3,1.5,.041,-0.4,-3.2,-3.6,-0.7
8611,Dan Issel*,1981-82,33,DEN,NBA,81,81,2472,23.1,.005,.530,7.7,18.3,13.2,9.8,1.2,1.1,10.0,26.0,123,113,9.0,0.8,9.8,.190,3.7,-2.4,1.3,2.1
8612,Dan Issel*,1982-83,34,DEN,NBA,80,80,2431,21.6,.015,.370,6.3,18.6,12.4,12.6,1.5,0.9,10.4,25.5,115,108,6.8,1.5,8.4,.165,2.9,-1.5,1.4,2.1
8613,Dan Issel*,1983-84,35,DEN,NBA,76,66,2076,21.1,.016,.371,5.5,20.8,13.0,11.6,1.3,1.1,8.3,26.6,114,111,4.8,1.3,6.1,.141,1.6,-1.9,-0.3,0.9
8614,Dan Issel*,1984-85,36,DEN,NBA,77,9,1684,16.9,.009,.403,4.8,17.0,10.5,10.7,1.7,1.0,9.1,23.0,111,108,2.7,1.7,4.3,.124,-0.5,-1.3,-1.7,0.1
8615,Dan Issel*,1979-80,31,DEN,NBA,82,,2938,22.2,.008,.471,8.2,17.5,12.7,10.7,1.4,1.0,8.7,25.0,118,107,9.2,2.3,11.5,.188,3.6,-1.1,2.4,3.3
8616,Dan Issel*,1980-81,32,DEN,NBA,80,,2641,21.7,.010,.561,8.6,17.7,13.1,8.4,1.4,1.0,7.9,23.2,121,109,8.9,1.6,10.5,.190,3.7,-1.4,2.3,2.8
