
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4101,Pablo Prigioni,2012-13,35,NYK,NBA,78,18,1263,13.0,.609,.114,3.7,9.8,6.6,27.5,2.9,0.1,27.1,11.7,116,106,2.0,1.3,3.2,.123,0.7,-0.1,0.6,0.8
4102,Pablo Prigioni,2013-14,36,NYK,NBA,66,27,1283,13.0,.733,.063,3.2,8.8,5.9,25.6,2.8,0.1,23.4,9.3,127,110,2.5,0.9,3.4,.127,1.5,-0.9,0.6,0.8
4103,Pablo Prigioni,2014-15,37,TOT,NBA,67,3,1197,12.2,.728,.180,2.8,8.6,5.7,21.5,3.4,0.1,20.1,11.6,111,107,1.3,1.0,2.3,.092,0.0,-0.5,-0.5,0.5
4104,Pablo Prigioni,2015-16,38,LAC,NBA,59,3,823,10.2,.646,.054,5.1,9.9,7.5,21.8,3.2,0.1,24.6,11.0,103,104,0.3,1.1,1.5,.087,-1.1,1.5,0.4,0.5
4105,Tony Price,1980-81,24,SDC,NBA,5,,29,2.4,.000,.000,0.0,0.0,0.0,12.7,3.3,2.0,22.2,12.7,63,107,-0.1,0.0,-0.1,-.089,-8.9,-1.7,-10.6,-0.1
4106,Ronnie Price,2005-06,22,SAC,NBA,29,0,150,10.5,.466,.207,3.9,7.7,5.8,12.1,2.1,0.0,13.6,22.4,94,107,-0.1,0.1,0.1,.021,-2.5,-2.7,-5.2,-0.1
4107,Ronnie Price,2006-07,23,SAC,NBA,58,1,563,10.5,.378,.320,3.1,11.9,7.4,13.7,2.5,0.5,14.4,18.3,96,107,-0.1,0.5,0.4,.035,-2.2,-0.8,-3.0,-0.1
4108,Ronnie Price,2007-08,24,UTA,NBA,61,3,588,12.3,.368,.186,1.7,7.8,4.8,19.4,2.8,0.4,12.0,19.1,106,107,0.5,0.6,1.1,.094,0.1,-1.4,-1.3,0.1
4109,Ronnie Price,2008-09,25,UTA,NBA,52,17,738,8.5,.300,.222,1.9,9.2,5.6,21.3,2.7,0.5,21.5,17.2,91,108,-0.7,0.8,0.1,.009,-3.3,-0.2,-3.5,-0.3
4110,Ronnie Price,2009-10,26,UTA,NBA,60,4,806,10.3,.260,.244,4.2,6.6,5.4,22.0,2.5,1.3,17.3,18.0,98,106,-0.1,1.0,0.9,.056,-1.9,-0.2,-2.2,0.0
