
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3201,Hakeem Olajuwon*,1984-85,22,HOU,NBA,82,82,2914,8.4,15.5,8.4,15.5,0.0,0.0,4.2,6.8,5.4,6.6,12.0,1.4,1.2,2.7,2.9,4.2,20.9,.538,.538,,.538,.613,.564
3202,Hakeem Olajuwon*,1985-86,23,HOU,NBA,68,68,2467,9.1,17.3,9.1,17.3,0.0,0.0,5.1,7.9,4.9,6.5,11.4,2.0,2.0,3.4,2.8,4.0,23.3,.526,.526,,.526,.645,.560
3203,Hakeem Olajuwon*,1986-87,24,HOU,NBA,75,75,2760,8.8,17.4,8.8,17.3,0.0,0.1,5.2,7.4,4.1,7.1,11.2,2.9,1.8,3.3,3.0,3.8,22.9,.508,.509,.200,.509,.702,.554
3204,Hakeem Olajuwon*,1987-88,25,HOU,NBA,79,79,2825,9.1,17.6,9.1,17.6,0.0,0.1,4.9,7.0,3.8,8.4,12.2,2.1,2.1,2.7,3.1,4.1,23.0,.514,.516,.000,.514,.695,.555
3205,Hakeem Olajuwon*,1988-89,26,HOU,NBA,82,82,3024,9.4,18.5,9.4,18.4,0.0,0.1,5.4,7.8,4.0,9.1,13.2,1.8,2.5,3.4,3.3,3.9,24.2,.508,.511,.000,.508,.696,.552
3206,Hakeem Olajuwon*,1989-90,27,HOU,NBA,82,82,3124,9.3,18.5,9.3,18.5,0.0,0.1,4.4,6.2,3.4,9.8,13.2,2.7,2.0,4.3,3.6,3.6,23.0,.501,.502,.167,.501,.713,.541
3207,Hakeem Olajuwon*,1990-91,28,HOU,NBA,56,50,2062,8.5,16.7,8.5,16.7,0.0,0.1,3.7,4.8,3.8,9.6,13.4,2.3,2.1,3.9,3.0,3.9,20.7,.508,.510,.000,.508,.769,.549
3208,Hakeem Olajuwon*,1991-92,29,HOU,NBA,70,69,2636,8.1,16.1,8.1,16.1,0.0,0.0,4.5,5.8,3.4,8.2,11.5,2.1,1.7,4.2,2.6,3.6,20.6,.502,.503,.000,.502,.766,.553
3209,Hakeem Olajuwon*,1992-93,30,HOU,NBA,82,82,3242,9.4,17.8,9.4,17.7,0.0,0.1,4.9,6.3,3.1,8.7,11.9,3.2,1.7,3.8,2.9,3.4,23.8,.529,.532,.000,.529,.779,.577
