
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2301,Dave Robisch,1976-77,27,IND,NBA,80,,1966,6.8,14.9,6.8,14.9,,,3.9,4.7,3.1,7.0,10.1,2.9,1.0,0.7,,3.1,17.4,.455,.455,,.455,.832,.515
2302,Dave Robisch,1977-78,28,TOT,NBA,78,,1277,5.0,12.1,5.0,12.1,,,2.8,3.6,2.8,7.1,9.9,2.5,1.1,0.8,2.0,3.7,12.8,.412,.412,,.412,.775,.466
2303,Dave Robisch,1978-79,29,LAL,NBA,80,,1219,4.4,9.9,4.4,9.9,,,2.5,3.4,2.4,6.0,8.4,2.9,0.6,0.7,1.6,3.2,11.4,.446,.446,,.446,.748,.499
2304,Dave Robisch,1979-80,30,CLE,NBA,82,,2670,6.6,12.7,6.6,12.6,0.0,0.0,3.7,4.4,3.0,5.8,8.9,2.6,0.7,0.7,1.9,2.8,16.9,.520,.522,.000,.520,.842,.578
2305,Dave Robisch,1980-81,31,TOT,NBA,84,,2116,5.6,12.6,5.6,12.6,0.0,0.0,3.4,4.2,2.7,5.8,8.5,2.9,0.6,0.6,1.4,2.9,14.6,.446,.446,,.446,.810,.507
2306,Bill Robinzine,1975-76,23,KCK,NBA,75,,1327,6.2,13.5,6.2,13.5,,,3.9,5.4,3.5,6.2,9.6,1.6,2.2,0.2,,7.9,16.4,.459,.459,,.459,.732,.514
2307,Bill Robinzine,1976-77,24,KCK,NBA,75,,1594,6.9,15.3,6.9,15.3,,,3.6,4.9,3.7,7.0,10.7,2.1,1.9,0.3,,6.4,17.5,.453,.453,,.453,.736,.501
2308,Bill Robinzine,1977-78,25,KCK,NBA,82,,1748,6.3,13.9,6.3,13.9,,,4.2,5.6,3.6,7.5,11.1,1.5,1.5,0.2,3.5,5.8,16.8,.451,.451,,.451,.760,.512
2309,Bill Robinzine,1978-79,26,KCK,NBA,82,,2179,7.6,13.8,7.6,13.8,,,3.0,4.1,3.6,6.9,10.5,1.7,1.7,0.2,3.0,6.1,18.1,.548,.548,,.548,.732,.581
2310,Bill Robinzine,1979-80,27,KCK,NBA,81,,1917,6.8,13.6,6.8,13.5,0.0,0.0,3.8,5.1,3.5,6.4,9.9,1.2,2.0,0.4,2.8,5.8,17.4,.501,.501,.500,.501,.730,.548
2311,Bill Robinzine,1980-81,28,TOT,NBA,78,,2016,7.0,14.7,7.0,14.6,0.0,0.1,3.9,5.0,3.0,6.5,9.5,2.1,1.3,0.2,3.3,4.9,17.9,.475,.477,.167,.475,.776,.528
2312,Wayne Robinson,1980-81,22,DET,NBA,81,,1592,5.3,11.5,5.3,11.4,0.0,0.1,4.0,5.4,2.6,4.0,6.6,2.5,1.0,0.5,3.4,4.2,14.5,.460,.465,.000,.460,.729,.523
2313,Truck Robinson,1974-75,23,WSB,NBA,76,,995,6.9,14.2,6.9,14.2,,,2.2,4.2,3.4,7.5,10.9,1.4,1.3,1.2,,4.8,16.0,.486,.486,,.486,.522,.498
2314,Truck Robinson,1975-76,24,WSB,NBA,82,,2055,6.2,13.6,6.2,13.6,,,3.7,5.5,2.4,7.3,9.8,2.0,0.7,1.9,,4.2,16.1,.454,.454,,.454,.672,.501
2315,Truck Robinson,1976-77,25,TOT,NBA,77,,2777,7.4,15.6,7.4,15.6,,,4.1,5.6,3.3,7.5,10.7,1.8,0.9,0.5,,3.3,19.0,.478,.478,,.478,.730,.526
2316,Truck Robinson,1977-78,26,NOJ,NBA,82,,3638,7.4,16.7,7.4,16.7,,,3.6,5.7,2.9,9.8,12.7,1.7,0.7,0.8,3.0,2.6,18.4,.444,.444,,.444,.640,.481
2317,Truck Robinson,1978-79,27,TOT,NBA,69,,2537,8.0,16.3,8.0,16.3,,,4.6,6.6,2.8,8.6,11.4,1.6,0.7,1.1,3.3,2.9,20.7,.491,.491,,.491,.701,.537
2318,Truck Robinson,1979-80,28,PHO,NBA,82,,2710,7.2,14.1,7.2,14.1,0.0,0.0,4.3,6.5,2.8,7.4,10.2,1.9,0.8,0.8,3.3,3.5,18.8,.512,.512,,.512,.667,.553
2319,Truck Robinson,1980-81,29,PHO,NBA,82,,3088,7.5,14.9,7.5,14.9,0.0,0.0,2.9,4.6,2.5,6.7,9.2,2.4,0.8,0.4,2.9,2.6,18.0,.505,.505,,.505,.629,.531
2320,Truck Robinson,1981-82,30,PHO,NBA,74,72,2745,7.6,14.8,7.6,14.8,0.0,0.0,3.3,4.9,2.6,6.8,9.5,2.3,0.6,0.4,2.6,2.8,18.5,.513,.513,1.000,.514,.687,.548
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2321,Truck Robinson,1982-83,31,NYK,NBA,81,76,2426,4.8,10.5,4.8,10.5,0.0,0.0,1.8,3.0,3.0,6.8,9.7,2.2,0.8,0.4,2.8,3.6,11.4,.462,.462,,.462,.587,.485
2322,Truck Robinson,1983-84,32,NYK,NBA,65,63,2135,4.8,9.8,4.8,9.8,0.0,0.0,2.2,3.5,2.9,6.3,9.2,1.6,0.7,0.5,2.7,3.7,11.8,.489,.489,,.489,.646,.522
2323,Thomas Robinson,2012-13,21,TOT,NBA,70,0,1056,4.7,10.9,4.7,10.9,0.0,0.0,1.9,3.7,4.2,6.6,10.7,1.6,1.4,0.9,3.0,4.2,11.4,.430,.431,.000,.430,.523,.451
2324,Thomas Robinson,2013-14,22,POR,NBA,70,0,873,5.8,12.1,5.8,12.0,0.0,0.0,2.4,4.2,4.3,8.3,12.7,1.4,0.9,0.8,2.4,5.4,14.0,.481,.483,.000,.481,.564,.502
2325,Thomas Robinson,2015-16,24,BRK,NBA,71,7,917,5.1,11.4,5.1,11.4,0.0,0.0,1.8,4.3,5.3,8.8,14.1,1.8,1.5,1.4,2.7,4.4,12.1,.447,.448,.000,.447,.431,.453
2326,Rumeal Robinson,1991-92,25,ATL,NBA,81,64,2220,6.9,15.0,6.3,13.4,0.6,1.7,2.8,4.5,1.0,2.5,3.6,7.2,1.7,0.4,3.3,2.9,17.1,.456,.472,.327,.474,.636,.503
2327,Rumeal Robinson,1992-93,26,NJN,NBA,80,28,1585,6.1,14.5,5.7,13.2,0.5,1.3,2.5,4.4,1.1,2.5,3.6,7.3,2.2,0.3,3.2,3.8,15.3,.423,.430,.357,.439,.574,.464
2328,Nate Robinson,2005-06,21,NYK,NBA,72,26,1544,5.4,13.2,4.0,9.8,1.4,3.4,3.5,4.7,1.3,2.6,3.9,3.4,1.4,0.0,2.7,4.7,15.6,.407,.411,.397,.458,.752,.512
2329,Nate Robinson,2007-08,23,NYK,NBA,72,17,1883,6.3,15.0,4.5,9.4,1.9,5.6,2.9,3.7,1.0,3.3,4.2,4.1,1.1,0.0,2.0,3.6,17.5,.423,.478,.332,.485,.786,.526
2330,Nate Robinson,2008-09,24,NYK,NBA,74,11,2209,7.3,16.8,5.3,10.5,2.0,6.3,4.1,4.8,1.6,3.1,4.7,4.9,1.5,0.1,2.3,3.4,20.7,.437,.504,.325,.498,.841,.549
2331,Nate Robinson,2012-13,28,CHI,NBA,82,23,2086,6.9,15.9,4.5,9.9,2.4,6.0,2.3,2.9,0.5,2.7,3.2,6.2,1.5,0.2,2.5,3.6,18.5,.433,.450,.405,.510,.799,.540
2332,James Robinson,1994-95,24,POR,NBA,71,25,1539,6.0,14.6,4.2,9.4,1.8,5.2,1.5,2.6,1.0,2.1,3.1,4.2,1.1,0.3,3.0,3.3,15.2,.409,.446,.341,.470,.591,.484
2333,James Robinson,1995-96,25,POR,NBA,76,5,1627,5.1,12.7,2.8,6.4,2.3,6.3,2.0,3.0,1.0,2.5,3.5,3.3,0.8,0.4,2.5,3.2,14.4,.399,.438,.359,.488,.659,.512
2334,James Robinson,1997-98,27,LAC,NBA,70,13,1231,5.7,14.7,3.5,8.1,2.2,6.6,2.3,3.1,1.1,2.2,3.2,3.9,1.1,0.3,2.8,3.0,15.8,.389,.438,.329,.463,.720,.494
2335,Glenn Robinson,1994-95,22,MIL,NBA,80,76,2958,7.7,17.2,6.7,13.9,1.0,3.3,4.8,6.1,2.1,4.2,6.2,2.4,1.4,0.3,3.8,2.8,21.4,.451,.482,.321,.482,.796,.538
