
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9401,Marco Belinelli,2010-11,24,NOH,NBA,80,69,1957,5.6,12.7,3.1,6.8,2.5,6.0,1.8,2.3,0.3,2.5,2.8,1.7,0.7,0.1,1.4,2.7,15.4,.437,.458,.414,.534,.784,.560
9402,Marco Belinelli,2011-12,25,NOH,NBA,66,55,1966,5.2,12.6,3.3,7.4,2.0,5.2,1.8,2.4,0.3,2.8,3.1,1.8,0.9,0.1,1.3,2.1,14.3,.417,.445,.377,.495,.783,.525
9403,Marco Belinelli,2012-13,26,CHI,NBA,73,27,1882,4.6,11.7,3.1,7.4,1.5,4.2,2.7,3.2,0.2,2.4,2.7,2.8,0.8,0.1,1.6,2.7,13.4,.395,.416,.357,.460,.839,.513
9404,Marco Belinelli,2013-14,27,SAS,NBA,80,25,2016,6.0,12.4,3.8,7.2,2.3,5.2,2.0,2.3,0.3,3.7,4.0,3.2,0.9,0.1,1.7,2.3,16.3,.485,.525,.430,.576,.847,.605
9405,Marco Belinelli,2014-15,28,SAS,NBA,62,9,1388,5.2,12.2,2.9,6.2,2.2,6.0,2.2,2.6,0.7,3.4,4.1,2.4,0.8,0.1,1.6,2.2,14.7,.423,.471,.374,.515,.848,.553
9406,Marco Belinelli,2015-16,29,SAC,NBA,68,7,1672,5.3,13.7,3.3,7.3,2.0,6.4,2.5,3.0,0.2,2.3,2.5,2.7,0.8,0.0,1.7,2.0,15.0,.386,.456,.306,.457,.833,.500
9407,Ron Behagen,1977-78,27,TOT,NBA,80,,1735,7.2,16.7,7.2,16.7,,,3.7,5.1,4.2,6.5,10.6,2.1,1.3,0.6,3.6,5.5,18.1,.430,.430,,.430,.725,.477
9408,Ron Behagen,1973-74,23,KCO,NBA,80,,2059,6.2,14.5,6.2,14.5,,,2.8,3.7,3.3,6.6,9.9,2.3,1.0,0.6,,5.1,15.3,.432,.432,,.432,.764,.476
9409,Ron Behagen,1974-75,24,KCO,NBA,81,,2205,5.4,13.6,5.4,13.6,,,3.2,4.3,2.4,7.3,9.7,2.5,1.0,0.7,,4.9,14.1,.399,.399,,.399,.754,.455
9410,Ernie Beck,1955-56,24,PHW,NBA,67,,1007,4.9,12.5,4.9,12.5,,,2.7,3.8,,,7.0,2.8,,,,3.1,12.4,.387,.387,,.387,.717,.438
9411,Ernie Beck,1956-57,25,PHW,NBA,72,,1743,4.0,10.5,4.0,10.5,,,2.3,3.2,,,6.4,3.9,,,,3.2,10.3,.384,.384,,.384,.707,.434
9412,Ernie Beck,1957-58,26,PHW,NBA,71,,1974,5.0,12.5,5.0,12.5,,,3.1,3.7,,,5.6,3.5,,,,3.2,13.0,.398,.398,,.398,.837,.462
9413,Ernie Beck,1958-59,27,PHW,NBA,70,,1017,5.8,14.8,5.8,14.8,,,1.5,2.3,,,6.2,3.2,,,,4.4,13.1,.390,.390,,.390,.662,.413
9414,Ernie Beck,1959-60,28,PHW,NBA,66,,809,5.1,13.1,5.1,13.1,,,1.2,1.4,,,5.7,3.2,,,,4.0,11.3,.388,.388,,.388,.844,.414
9415,Zelmo Beaty*,1968-69,29,ATL,NBA,72,,2578,8.2,17.5,8.2,17.5,,,5.2,7.1,,,11.1,1.8,,,,3.8,21.6,.470,.470,,.470,.731,.525
9416,Zelmo Beaty*,1962-63,23,STL,NBA,80,,1918,5.6,12.7,5.6,12.7,,,4.1,5.8,,,12.5,1.6,,,,5.9,15.3,.439,.439,,.439,.717,.501
9417,Zelmo Beaty*,1964-65,25,STL,NBA,80,,2916,6.2,12.9,6.2,12.9,,,4.2,5.9,,,11.9,1.4,,,,4.0,16.7,.482,.482,,.482,.715,.537
