
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
6801,Artis Gilmore*,1987-88,38,TOT,NBA,71,27,893,4.0,7.3,4.0,7.3,0.0,0.0,2.7,5.2,2.8,5.7,8.5,0.8,0.6,1.2,2.7,6.0,10.7,.547,.547,,.547,.523,.558
6802,Artis Gilmore*,1980-81,31,CHI,NBA,82,,2832,7.0,10.4,7.0,10.4,0.0,0.0,4.8,6.8,2.8,7.7,10.5,2.2,0.6,2.5,3.0,3.7,18.7,.670,.670,,.670,.705,.699
6803,Artis Gilmore*,1981-82,32,CHI,NBA,82,82,2796,7.0,10.8,7.0,10.8,0.0,0.0,5.5,7.1,2.9,7.9,10.8,1.8,0.6,2.8,2.9,3.7,19.5,.652,.652,1.000,.653,.768,.702
6804,Artis Gilmore*,1982-83,33,SAS,NBA,82,82,2797,7.2,11.4,7.2,11.4,0.0,0.1,4.7,6.4,3.8,8.8,12.7,1.6,0.5,2.5,3.3,3.5,19.0,.626,.630,.000,.626,.740,.668
6805,Artis Gilmore*,1983-84,34,SAS,NBA,64,59,2034,6.2,9.8,6.2,9.8,0.0,0.1,5.0,6.9,3.8,7.9,11.7,1.2,0.6,2.3,2.6,4.1,17.4,.631,.635,.000,.631,.718,.675
6806,Artis Gilmore*,1984-85,35,SAS,NBA,81,81,2756,6.9,11.2,6.9,11.1,0.0,0.0,6.3,8.4,3.0,8.0,11.1,1.7,0.5,2.3,3.1,4.0,20.2,.623,.624,.000,.623,.749,.680
6807,Artis Gilmore*,1976-77,27,CHI,NBA,82,,2877,7.1,13.7,7.1,13.7,,,4.8,7.3,3.9,9.5,13.4,2.5,0.6,2.5,,3.3,19.1,.522,.522,,.522,.660,.566
6808,Artis Gilmore*,1985-86,36,SAS,NBA,71,71,2395,6.4,10.3,6.4,10.3,0.0,0.0,5.1,7.2,2.5,6.5,9.0,1.5,0.6,1.6,2.8,3.6,17.8,.618,.619,.000,.618,.701,.661
6809,Herm Gilliam,1970-71,24,BUF,NBA,80,,2082,6.5,15.5,6.5,15.5,,,2.5,3.3,,,5.8,5.0,,,,4.3,15.5,.422,.422,,.422,.751,.459
6810,Herm Gilliam,1971-72,25,ATL,NBA,82,,2337,5.3,11.9,5.3,11.9,,,2.2,2.7,,,5.2,5.8,,,,3.6,12.9,.446,.446,,.446,.838,.491
6811,Herm Gilliam,1972-73,26,ATL,NBA,76,,2741,6.2,13.2,6.2,13.2,,,1.6,2.0,,,5.2,6.3,,,,3.4,14.0,.468,.468,,.468,.820,.496
6812,Herm Gilliam,1975-76,29,SEA,NBA,81,,1644,6.5,14.8,6.5,14.8,,,2.0,2.5,1.2,3.6,4.8,4.4,1.8,0.3,,3.0,15.1,.442,.442,,.442,.776,.473
6813,Herm Gilliam,1976-77,30,POR,NBA,80,,1665,7.0,16.1,7.0,16.1,,,2.0,2.6,1.4,3.0,4.3,3.7,1.6,0.1,,3.6,16.1,.438,.438,,.438,.767,.467
6814,Armen Gilliam,1990-91,26,TOT,NBA,75,75,2644,6.6,13.6,6.6,13.6,0.0,0.0,3.6,4.5,3.0,5.1,8.1,1.4,0.9,0.7,2.4,2.5,16.9,.487,.487,.000,.487,.815,.542
6815,Armen Gilliam,1991-92,27,PHI,NBA,81,81,2771,6.7,13.0,6.7,13.0,0.0,0.0,4.5,5.5,3.0,5.5,8.6,1.5,0.7,1.1,2.2,2.3,17.8,.511,.513,.000,.511,.807,.575
6816,Armen Gilliam,1992-93,28,PHI,NBA,80,26,1742,7.4,16.0,7.4,16.0,0.0,0.0,5.7,6.7,2.8,6.9,9.8,2.4,0.8,1.1,3.2,2.5,20.5,.464,.464,.000,.464,.843,.541
6817,Armen Gilliam,1993-94,29,NJN,NBA,82,5,1969,6.4,12.5,6.4,12.5,0.0,0.0,5.0,6.6,3.6,5.5,9.1,1.3,0.7,1.1,1.9,2.4,17.7,.510,.511,.000,.510,.759,.577
6818,Armen Gilliam,1994-95,30,NJN,NBA,82,30,2472,6.6,13.2,6.6,13.2,0.0,0.0,4.4,5.7,2.8,6.1,8.9,1.4,1.0,1.3,2.2,2.5,17.7,.503,.504,.000,.503,.770,.562
6819,Armen Gilliam,1995-96,31,NJN,NBA,78,76,2856,7.3,15.3,7.3,15.3,0.0,0.0,3.5,4.4,3.0,5.9,9.0,1.8,0.9,0.7,2.2,2.3,18.0,.474,.474,.000,.474,.791,.522
6820,Armen Gilliam,1988-89,24,PHO,NBA,74,60,2120,7.9,15.8,7.9,15.8,0.0,0.0,4.1,5.5,2.8,6.4,9.2,0.9,0.9,0.5,2.4,3.0,20.0,.503,.503,,.503,.743,.548
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
6821,Armen Gilliam,1996-97,32,MIL,NBA,80,25,2050,4.3,9.2,4.3,9.2,0.0,0.0,3.5,4.5,2.4,6.3,8.7,0.9,1.1,0.7,1.8,3.6,12.1,.471,.471,,.471,.768,.543
6822,Armen Gilliam,1989-90,25,TOT,NBA,76,66,2426,7.2,13.9,7.2,13.9,0.0,0.0,4.5,6.2,3.1,5.8,8.9,1.5,1.0,0.8,2.7,3.1,18.9,.515,.516,.000,.515,.723,.565
6823,Armen Gilliam,1997-98,33,MIL,NBA,82,25,2114,5.6,11.5,5.6,11.4,0.0,0.1,4.5,5.7,2.5,5.0,7.5,1.8,1.1,0.6,2.5,3.0,15.7,.484,.487,.000,.484,.802,.560
6824,Kendall Gill,1993-94,25,SEA,NBA,79,77,2435,6.3,14.3,5.8,12.6,0.6,1.8,3.2,4.1,1.3,2.6,4.0,4.1,2.2,0.5,2.1,2.9,16.4,.443,.461,.317,.462,.782,.510
6825,Kendall Gill,1994-95,26,SEA,NBA,73,58,2125,6.6,14.5,5.6,11.6,1.1,2.9,2.6,3.5,1.7,3.2,4.9,3.3,2.0,0.5,2.3,3.2,17.0,.457,.479,.368,.494,.742,.527
6826,Kendall Gill,1996-97,28,NJN,NBA,82,81,3199,7.2,16.4,6.4,13.9,0.8,2.5,4.8,6.0,2.1,3.6,5.6,3.7,1.7,0.5,2.5,2.5,20.1,.443,.462,.336,.469,.797,.530
6827,Kendall Gill,1997-98,29,NJN,NBA,81,81,2733,5.5,12.8,5.2,11.5,0.3,1.3,3.0,4.3,1.5,3.7,5.2,2.6,2.1,0.8,1.6,3.5,14.3,.429,.449,.257,.443,.688,.486
6828,Kendall Gill,1998-99,30,NJN,NBA,50,47,1606,5.3,13.3,5.2,12.9,0.0,0.4,2.6,3.7,1.4,4.1,5.5,2.8,3.0,0.6,1.6,3.6,13.2,.398,.406,.118,.400,.683,.441
6829,Kendall Gill,1990-91,22,CHH,NBA,82,36,1944,7.0,15.5,6.9,15.2,0.0,0.3,2.8,3.4,1.9,2.9,4.9,5.6,1.9,0.7,3.0,3.4,16.8,.450,.455,.143,.451,.835,.494
6830,Kendall Gill,1999-00,31,NJN,NBA,76,75,2355,6.1,14.6,5.7,13.4,0.3,1.2,2.8,3.9,1.3,3.1,4.3,3.2,2.1,0.6,1.4,3.2,15.2,.414,.428,.256,.425,.710,.465
6831,Kendall Gill,2002-03,34,MIN,NBA,82,34,2068,5.0,11.8,4.6,10.8,0.3,1.0,2.1,2.8,0.9,3.4,4.3,2.7,1.4,0.3,1.9,3.1,12.4,.422,.432,.322,.436,.764,.477
