
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
9201,Bucky Bockhorn,1958-59,25,CIN,NBA,71,,2251,4.7,12.3,4.7,12.3,,,2.2,3.1,,,7.4,3.3,,,,3.4,11.6,.381,.381,,.381,.704,.423
9202,Bucky Bockhorn,1959-60,26,CIN,NBA,75,,2103,5.5,13.9,5.5,13.9,,,2.5,3.3,,,6.5,4.4,,,,4.3,13.5,.398,.398,,.398,.747,.441
9203,Bucky Bockhorn,1960-61,27,CIN,NBA,79,,2669,5.7,14.3,5.7,14.3,,,2.1,2.8,,,5.9,4.6,,,,3.8,13.4,.397,.397,,.397,.731,.431
9204,Bucky Bockhorn,1961-62,28,CIN,NBA,80,,3062,6.2,14.5,6.2,14.5,,,2.3,3.0,,,4.4,4.3,,,,3.3,14.8,.430,.430,,.430,.789,.469
9205,Bucky Bockhorn,1962-63,29,CIN,NBA,80,,2612,5.2,13.1,5.2,13.1,,,2.5,3.3,,,4.4,3.6,,,,3.6,12.9,.393,.393,,.393,.756,.440
9206,Bucky Bockhorn,1963-64,30,CIN,NBA,70,,1670,5.2,12.7,5.2,12.7,,,2.1,2.7,,,4.4,3.7,,,,4.9,12.5,.412,.412,,.412,.762,.451
9207,Nelson Bobb,1951-52,27,PHW,NBA,62,,1192,3.3,9.2,3.3,9.2,,,3.0,5.0,,,4.4,5.1,,,,5.5,9.6,.359,.359,,.359,.593,.420
9208,Nelson Bobb,1952-53,28,PHW,NBA,55,,1286,3.3,8.9,3.3,8.9,,,2.9,4.5,,,4.4,5.4,,,,4.5,9.6,.374,.374,,.374,.648,.441
9209,Mark Blount,2002-03,27,TOT,NBA,81,31,1403,3.8,8.9,3.8,8.9,0.0,0.0,2.6,3.6,2.8,5.1,7.9,1.4,1.1,1.7,2.6,4.8,10.3,.432,.432,,.432,.727,.491
