
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
10001,Michael Adams,1991-92,29,WSB,NBA,78,78,2795,6.2,15.9,4.6,10.9,1.6,5.0,4.0,4.6,0.7,3.2,4.0,7.7,1.9,0.1,2.7,2.1,18.1,.393,.425,.324,.444,.869,.506
10002,Don Adams,1972-73,25,TOT,NBA,74,,1874,5.1,13.0,5.1,13.0,,,2.8,3.5,,,8.5,2.2,,,,4.4,13.0,.391,.391,,.391,.788,.445
10003,Don Adams,1973-74,26,DET,NBA,74,,2298,4.7,11.6,4.7,11.6,,,2.4,3.1,2.1,4.9,7.0,2.2,1.7,0.2,,3.8,11.9,.408,.408,,.408,.761,.457
10004,Don Adams,1976-77,29,BUF,NBA,77,,1710,4.5,11.1,4.5,11.1,,,2.7,3.6,2.7,5.1,7.8,3.2,1.6,0.3,,4.2,11.8,.411,.411,,.411,.746,.466
10005,Don Adams,1970-71,23,SDR,NBA,82,,2374,5.9,14.5,5.9,14.5,,,2.4,3.2,,,8.8,2.6,,,,5.2,14.2,.409,.409,,.409,.731,.446
10006,Don Adams,1971-72,24,TOT,NBA,73,,2071,5.4,13.9,5.4,13.9,,,3.6,4.8,,,8.7,2.4,,,,4.6,14.4,.392,.392,,.392,.745,.452
10007,Alvan Adams,1981-82,27,PHO,NBA,79,75,2393,7.6,15.5,7.6,15.4,0.0,0.0,2.7,3.5,2.1,6.7,8.8,5.4,1.7,1.2,2.9,4.0,18.0,.494,.494,.000,.494,.781,.529
10008,Alvan Adams,1982-83,28,PHO,NBA,80,75,2447,7.0,14.4,7.0,14.4,0.0,0.0,2.6,3.2,2.4,5.7,8.1,5.5,1.7,1.1,3.6,4.2,16.7,.486,.487,.333,.487,.829,.527
10009,Alvan Adams,1983-84,29,PHO,NBA,70,13,1452,6.7,14.4,6.7,14.3,0.0,0.1,3.3,4.0,2.9,5.0,7.9,5.4,1.8,0.8,2.9,4.8,16.6,.462,.465,.000,.462,.825,.513
10010,Alvan Adams,1975-76,21,PHO,NBA,80,,2656,8.5,18.2,8.5,18.2,,,3.5,4.8,2.9,6.9,9.9,6.1,1.6,1.6,,3.7,20.6,.469,.469,,.469,.735,.507
10011,Alvan Adams,1984-85,30,PHO,NBA,82,69,2136,8.0,15.4,8.0,15.4,0.0,0.0,4.2,4.8,2.6,5.8,8.4,5.2,1.9,0.8,3.3,4.3,20.3,.520,.520,,.520,.883,.578
10012,Alvan Adams,1976-77,22,PHO,NBA,72,,2278,8.2,17.4,8.2,17.4,,,4.0,5.3,2.8,7.5,10.3,5.1,1.5,1.4,,4.1,20.5,.474,.474,,.474,.754,.519
10013,Alvan Adams,1985-86,31,PHO,NBA,78,45,2005,6.1,12.2,6.1,12.2,0.0,0.0,2.9,3.6,2.7,5.9,8.6,5.8,1.8,0.8,3.7,4.9,15.1,.502,.504,.000,.502,.783,.547
10014,Alvan Adams,1977-78,23,PHO,NBA,70,,1914,8.2,16.8,8.2,16.8,,,4.0,5.5,3.0,7.7,10.6,4.2,1.6,1.2,4.4,4.6,20.4,.485,.485,,.485,.730,.528
10015,Alvan Adams,1987-88,33,PHO,NBA,82,25,1646,5.5,11.1,5.5,11.0,0.0,0.0,2.4,2.8,2.6,5.4,8.0,4.0,1.8,0.9,3.1,5.4,13.4,.496,.496,.500,.497,.844,.543
10016,Alvan Adams,1978-79,24,PHO,NBA,77,,2364,8.7,16.3,8.7,16.3,,,3.5,4.4,3.4,7.4,10.7,5.5,1.7,1.0,4.2,3.7,20.8,.530,.530,,.530,.799,.570
10017,Alvan Adams,1979-80,25,PHO,NBA,75,,2168,7.7,14.5,7.7,14.5,0.0,0.0,3.1,3.9,2.6,7.5,10.1,5.3,1.8,0.9,3.6,3.9,18.6,.531,.533,.000,.531,.797,.571
10018,Alvan Adams,1980-81,26,PHO,NBA,75,,2054,8.0,15.2,8.0,15.2,0.0,0.0,3.5,4.5,2.8,6.8,9.6,6.0,1.9,1.2,4.0,4.0,19.5,.526,.526,,.526,.768,.567
10019,Quincy Acy,2014-15,24,NYK,NBA,68,22,1287,4.3,9.3,3.7,7.6,0.5,1.7,2.1,2.7,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1,.459,.494,.300,.486,.784,.533
10020,Quincy Acy,2015-16,25,SAC,NBA,59,29,876,4.9,8.8,4.1,6.8,0.8,2.0,2.1,2.8,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6,.556,.606,.388,.600,.735,.629
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
10021,Quincy Acy,2013-14,23,TOT,NBA,63,0,847,2.8,6.0,2.6,5.4,0.2,0.6,1.5,2.3,3.1,6.1,9.2,1.2,1.0,1.1,1.3,5.2,7.3,.468,.492,.267,.482,.660,.520
10022,Mark Acres,1987-88,25,BOS,NBA,79,5,1151,3.4,6.3,3.4,6.3,0.0,0.0,2.2,3.5,3.3,5.2,8.4,1.3,0.9,0.8,1.7,6.2,9.0,.532,.532,,.532,.640,.570
10023,Mark Acres,1989-90,27,ORL,NBA,80,50,1691,2.9,6.1,2.9,6.0,0.1,0.1,1.8,2.6,3.3,5.9,9.2,1.4,0.8,0.5,1.5,5.3,7.7,.484,.480,.750,.489,.692,.536
10024,Tom Abernethy,1976-77,22,LAL,NBA,70,,1378,4.4,9.1,4.4,9.1,,,2.6,3.5,3.0,4.7,7.6,2.6,1.3,0.3,,3.1,11.5,.484,.484,,.484,.754,.538
10025,Tom Abernethy,1977-78,23,LAL,NBA,73,,1317,5.5,11.0,5.5,11.0,,,2.5,3.0,2.9,4.4,7.2,2.8,1.5,0.6,1.4,3.3,13.5,.498,.498,,.498,.820,.544
10026,Tom Abernethy,1978-79,24,GSW,NBA,70,,1219,5.2,10.1,5.2,10.1,,,2.1,2.8,2.2,4.2,6.4,2.3,1.2,0.4,0.9,3.9,12.5,.515,.515,,.515,.745,.550
10027,Shareef Abdur-Rahim,1996-97,20,VAN,NBA,80,71,2802,7.1,15.6,7.0,15.3,0.1,0.3,5.0,6.7,2.8,4.4,7.1,2.2,1.0,1.0,2.9,2.6,19.2,.453,.457,.259,.456,.746,.518
10028,Shareef Abdur-Rahim,2005-06,29,SAC,NBA,72,30,1961,6.1,11.6,6.0,11.2,0.1,0.4,4.0,5.1,1.9,4.6,6.6,2.7,0.9,0.8,2.0,4.2,16.3,.525,.536,.227,.529,.784,.588
10029,Shareef Abdur-Rahim,1997-98,21,VAN,NBA,82,82,2950,8.0,16.4,7.7,15.8,0.3,0.6,6.1,7.8,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3,.485,.488,.412,.493,.784,.562
10030,Shareef Abdur-Rahim,2006-07,30,SAC,NBA,80,45,2015,5.5,11.7,5.5,11.3,0.1,0.4,3.0,4.2,2.2,4.9,7.1,1.9,0.9,0.7,2.1,4.3,14.2,.474,.484,.150,.476,.726,.524
10031,Shareef Abdur-Rahim,1998-99,22,VAN,NBA,50,50,2021,6.9,15.9,6.7,15.3,0.2,0.6,6.6,7.8,2.0,4.6,6.7,3.1,1.2,1.0,3.3,2.4,20.5,.432,.438,.306,.438,.841,.530
10032,Shareef Abdur-Rahim,1999-00,23,VAN,NBA,82,82,3223,6.6,14.3,6.3,13.2,0.3,1.1,5.0,6.2,2.4,6.8,9.2,3.0,1.0,1.0,2.8,2.7,18.6,.465,.478,.302,.477,.809,.547
10033,Shareef Abdur-Rahim,2000-01,24,VAN,NBA,81,81,3241,6.7,14.2,6.6,13.5,0.1,0.7,4.9,5.9,1.9,6.2,8.2,2.8,1.0,0.9,2.6,2.6,18.5,.472,.487,.188,.477,.834,.549
10034,Shareef Abdur-Rahim,2001-02,25,ATL,NBA,77,77,2980,7.2,15.7,7.0,14.8,0.3,0.8,5.1,6.3,2.4,6.0,8.4,2.9,1.2,1.0,3.0,2.6,19.8,.461,.470,.300,.469,.801,.536
10035,Shareef Abdur-Rahim,2002-03,26,ATL,NBA,81,81,3087,6.6,13.8,6.4,13.1,0.2,0.7,5.3,6.3,2.0,5.9,7.9,2.8,1.0,0.4,2.5,2.8,18.8,.478,.485,.350,.487,.841,.566
10036,Shareef Abdur-Rahim,2003-04,27,TOT,NBA,85,56,2684,6.7,14.1,6.6,13.7,0.1,0.5,5.0,5.8,2.5,6.0,8.6,2.3,0.9,0.5,2.5,3.0,18.6,.475,.482,.265,.480,.869,.557
10037,Tariq Abdul-Wahad,1998-99,24,SAC,NBA,49,49,1205,5.3,12.2,5.1,11.5,0.2,0.6,2.8,4.1,2.2,3.4,5.6,1.5,1.5,0.5,2.1,3.6,13.6,.435,.443,.286,.442,.691,.486
10038,Mahmoud Abdul-Rauf,1992-93,23,DEN,NBA,81,81,2710,8.4,18.7,7.5,16.1,0.9,2.6,2.9,3.1,0.7,2.3,3.0,4.6,1.1,0.1,2.5,2.4,20.6,.450,.465,.355,.475,.935,.515
10039,Mahmoud Abdul-Rauf,1993-94,24,DEN,NBA,80,78,2617,8.1,17.6,7.5,15.8,0.6,1.8,3.0,3.2,0.4,1.9,2.3,5.0,1.1,0.1,2.1,2.1,19.8,.460,.476,.316,.476,.956,.521
10040,Mahmoud Abdul-Rauf,1994-95,25,DEN,NBA,73,43,2082,8.2,17.4,6.7,13.7,1.4,3.7,2.4,2.7,0.6,1.8,2.4,4.5,1.3,0.2,2.1,2.2,20.1,.470,.492,.386,.511,.885,.543
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
10041,Mahmoud Abdul-Rauf,1995-96,26,DEN,NBA,57,53,2029,7.3,16.9,5.2,11.5,2.1,5.5,2.6,2.8,0.5,2.0,2.4,6.9,1.1,0.1,2.0,2.1,19.4,.434,.454,.392,.497,.930,.535
10042,Mahmoud Abdul-Rauf,1996-97,27,SAC,NBA,75,51,2131,6.9,15.6,5.4,11.5,1.6,4.2,1.9,2.3,0.3,1.8,2.1,3.2,0.9,0.1,2.0,2.9,17.4,.445,.468,.382,.496,.846,.524
10043,Mahmoud Abdul-Rauf,1991-92,22,DEN,NBA,81,11,1538,8.3,19.8,7.6,17.6,0.7,2.2,2.2,2.5,0.5,2.2,2.7,4.5,1.0,0.1,2.7,3.0,19.6,.421,.433,.330,.440,.870,.469
10044,Kareem Abdul-Jabbar*,1974-75,27,MIL,NBA,65,,2747,10.6,20.8,10.6,20.8,,,4.3,5.6,2.5,9.4,12.0,3.5,0.9,2.8,,2.7,25.5,.513,.513,,.513,.763,.550
10045,Kareem Abdul-Jabbar*,1982-83,35,LAL,NBA,79,79,2554,10.2,17.3,10.2,17.3,0.0,0.0,3.9,5.2,2.4,6.0,8.3,2.8,0.9,2.4,2.8,3.1,24.3,.588,.589,.000,.588,.749,.619
10046,Kareem Abdul-Jabbar*,1975-76,28,LAL,NBA,82,,3379,9.7,18.4,9.7,18.4,,,4.8,6.8,2.9,11.8,14.7,4.4,1.3,3.6,,3.1,24.2,.529,.529,,.529,.703,.567
10047,Kareem Abdul-Jabbar*,1983-84,36,LAL,NBA,80,80,2622,9.8,17.0,9.8,17.0,0.0,0.0,3.9,5.4,2.3,5.7,8.1,2.9,0.8,2.0,3.0,2.9,23.6,.578,.579,.000,.578,.723,.608
10048,Kareem Abdul-Jabbar*,1976-77,29,LAL,NBA,82,,3016,10.6,18.3,10.6,18.3,,,4.5,6.4,3.2,9.8,13.0,3.8,1.2,3.1,,3.1,25.7,.579,.579,,.579,.701,.608
10049,Kareem Abdul-Jabbar*,1984-85,37,LAL,NBA,79,79,2630,9.9,16.5,9.9,16.5,0.0,0.0,4.0,5.4,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7,.599,.600,.000,.599,.732,.628
10050,Kareem Abdul-Jabbar*,1969-70,22,MIL,NBA,82,,3534,9.6,18.4,9.6,18.4,,,4.9,7.6,,,12.1,3.4,,,,2.9,24.1,.518,.518,,.518,.653,.552
10051,Kareem Abdul-Jabbar*,1977-78,30,LAL,NBA,62,,2265,10.5,19.2,10.5,19.2,,,4.4,5.6,3.0,9.8,12.7,4.3,1.6,2.9,3.3,2.9,25.4,.550,.550,,.550,.783,.589
10052,Kareem Abdul-Jabbar*,1985-86,38,LAL,NBA,79,79,2629,10.3,18.3,10.3,18.3,0.0,0.0,4.6,6.0,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3,.564,.565,.000,.564,.765,.603
10053,Kareem Abdul-Jabbar*,1970-71,23,MIL,NBA,82,,3288,11.6,20.2,11.6,20.2,,,5.1,7.5,,,14.4,3.0,,,,2.9,28.4,.577,.577,,.577,.690,.606
10054,Kareem Abdul-Jabbar*,1978-79,31,LAL,NBA,80,,3157,8.9,15.4,8.9,15.4,,,4.0,5.4,2.4,9.3,11.7,4.9,0.9,3.6,3.2,2.6,21.7,.577,.577,,.577,.736,.612
10055,Kareem Abdul-Jabbar*,1986-87,39,LAL,NBA,78,78,2441,8.3,14.6,8.2,14.6,0.0,0.0,3.6,5.1,2.2,5.5,7.7,3.0,0.7,1.4,2.7,3.6,20.1,.564,.565,.333,.564,.714,.597
10056,Kareem Abdul-Jabbar*,1971-72,24,MIL,NBA,81,,3583,11.6,20.3,11.6,20.3,,,5.1,7.4,,,13.5,3.7,,,,2.4,28.4,.574,.574,,.574,.689,.603
10057,Kareem Abdul-Jabbar*,1979-80,32,LAL,NBA,82,,3143,9.6,15.8,9.6,15.8,0.0,0.0,4.2,5.5,2.2,8.0,10.1,4.2,0.9,3.2,3.4,2.5,23.3,.604,.604,.000,.604,.765,.639
10058,Kareem Abdul-Jabbar*,1987-88,40,LAL,NBA,80,80,2308,7.5,14.1,7.5,14.1,0.0,0.0,3.2,4.2,1.8,5.6,7.5,2.1,0.7,1.4,2.5,3.4,18.2,.532,.532,.000,.532,.762,.570
10059,Kareem Abdul-Jabbar*,1972-73,25,MIL,NBA,76,,3254,10.9,19.6,10.9,19.6,,,3.6,5.1,,,13.5,4.2,,,,2.3,25.4,.554,.554,,.554,.713,.580
10060,Kareem Abdul-Jabbar*,1980-81,33,LAL,NBA,80,,2976,10.1,17.6,10.1,17.6,0.0,0.0,5.1,6.7,2.4,7.5,9.9,3.3,0.7,2.8,3.0,3.0,25.3,.574,.574,.000,.574,.766,.616
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
10061,Kareem Abdul-Jabbar*,1988-89,41,LAL,NBA,74,74,1695,6.6,14.0,6.6,13.9,0.0,0.1,2.6,3.5,2.2,4.9,7.1,1.6,0.8,1.8,2.0,4.2,15.9,.475,.477,.000,.475,.739,.511
10062,Kareem Abdul-Jabbar*,1973-74,26,MIL,NBA,81,,3548,9.6,17.8,9.6,17.8,,,3.0,4.3,2.9,9.0,12.0,3.9,1.1,2.9,,2.4,22.2,.539,.539,,.539,.702,.564
10063,Kareem Abdul-Jabbar*,1981-82,34,LAL,NBA,76,76,2677,10.1,17.5,10.1,17.5,0.0,0.0,4.2,5.9,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4,.579,.580,.000,.579,.706,.608
10064,Zaid Abdul-Aziz,1969-70,23,MIL,NBA,80,,1637,5.2,12.0,5.2,12.0,,,2.6,4.1,,,13.3,1.4,,,,3.7,13.0,.434,.434,,.434,.643,.473
10065,Zaid Abdul-Aziz,1973-74,27,HOU,NBA,79,,2459,4.9,10.7,4.9,10.7,,,2.8,3.5,3.8,9.7,13.5,2.4,1.2,1.5,,3.3,12.7,.459,.459,,.459,.804,.516
10066,Alaa Abdelnaby,1991-92,23,POR,NBA,71,1,934,6.9,13.9,6.9,13.9,0.0,0.0,2.9,3.9,3.1,6.9,10.0,1.2,1.0,0.6,2.5,5.1,16.7,.493,.493,,.493,.752,.533
10067,Alaa Abdelnaby,1992-93,24,TOT,NBA,75,52,1311,6.7,13.0,6.7,13.0,0.0,0.0,2.4,3.2,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9,.518,.519,.000,.518,.759,.551
