
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3501,Eduardo Najera,2007-08,31,DEN,NBA,78,3,1664,3.8,8.0,2.6,4.8,1.1,3.2,1.4,1.9,2.4,4.8,7.3,2.1,1.5,0.9,1.3,4.3,10.0,.473,.548,.361,.545,.708,.570
3502,Lee Nailon,2001-02,26,CHH,NBA,79,41,1912,6.9,14.4,6.9,14.3,0.0,0.0,2.1,2.8,1.9,3.5,5.5,1.8,1.1,0.3,1.8,3.3,16.0,.483,.483,.500,.484,.747,.513
3503,Lee Nailon,2004-05,29,NOH,NBA,68,51,2017,7.4,15.5,7.4,15.5,0.0,0.0,2.4,2.9,2.3,3.0,5.3,1.9,0.6,0.3,2.0,3.4,17.2,.478,.479,.000,.478,.806,.511
3504,Bostjan Nachbar,2004-05,24,TOT,NBA,71,6,1341,4.3,11.0,2.3,5.8,2.0,5.3,2.6,3.1,0.6,4.2,4.9,2.0,0.8,0.4,2.0,4.9,13.3,.392,.400,.383,.483,.829,.534
3505,Bostjan Nachbar,2006-07,26,NJN,NBA,76,1,1532,5.3,11.6,2.7,5.4,2.6,6.2,3.1,3.9,0.6,5.3,5.9,1.4,0.7,0.6,1.6,4.3,16.4,.457,.496,.423,.570,.805,.614
3506,Bostjan Nachbar,2007-08,27,NJN,NBA,75,1,1660,5.3,13.2,3.3,7.5,2.0,5.7,3.3,4.3,1.2,4.4,5.6,1.9,1.0,0.5,1.8,3.9,16.0,.402,.435,.359,.479,.786,.531
3507,Pete Myers,1993-94,30,CHI,NBA,82,81,2030,4.5,9.9,4.3,9.3,0.1,0.5,2.4,3.4,1.0,2.3,3.2,4.3,1.4,0.4,2.4,3.5,11.5,.455,.465,.276,.462,.701,.507
3508,Pete Myers,1994-95,31,CHI,NBA,71,14,1270,3.4,8.1,3.1,7.0,0.3,1.1,2.0,3.2,1.6,2.3,3.9,4.2,1.6,0.4,2.5,3.5,9.0,.415,.440,.256,.432,.614,.472
3509,Pete Myers,1995-96,32,TOT,NBA,71,2,1092,3.0,8.1,2.5,6.2,0.5,1.9,2.6,4.0,1.2,3.5,4.6,4.8,1.1,0.6,2.7,4.4,9.1,.368,.407,.241,.397,.656,.459
