
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2901,Bob Peterson,1955-56,24,NYK,NBA,58,,779,5.6,14.0,5.6,14.0,,,3.1,4.8,,,10.3,2.0,,,,5.7,14.3,.399,.399,,.399,.654,.444
2902,Jim Petersen,1985-86,23,HOU,NBA,82,20,1664,4.2,8.9,4.2,8.8,0.0,0.1,2.4,3.5,3.2,5.3,8.6,1.8,0.8,1.2,1.8,5.0,10.9,.477,.480,.000,.477,.706,.525
2903,Jim Petersen,1986-87,24,HOU,NBA,82,56,2403,5.8,11.3,5.8,11.3,0.0,0.1,2.3,3.1,2.7,5.7,8.3,1.9,0.6,1.5,2.3,4.0,13.8,.511,.514,.000,.511,.727,.545
2904,Wesley Person,1994-95,23,PHO,NBA,78,56,1800,6.2,12.8,3.9,7.4,2.3,5.3,1.6,2.0,1.3,2.7,4.0,2.1,1.0,0.5,1.6,3.0,16.3,.484,.519,.436,.575,.792,.596
2905,Wesley Person,1995-96,24,PHO,NBA,82,47,2609,5.4,12.1,3.8,7.8,1.6,4.3,2.0,2.6,0.8,3.7,4.4,1.9,0.8,0.3,1.2,2.0,14.4,.445,.484,.374,.511,.771,.543
2906,Wesley Person,1996-97,25,PHO,NBA,80,42,2326,6.3,14.0,3.7,7.6,2.6,6.4,1.4,1.8,1.1,3.5,4.5,1.9,1.3,0.3,1.2,1.6,16.7,.453,.487,.413,.548,.798,.567
2907,Wesley Person,1997-98,26,CLE,NBA,82,82,3198,5.0,10.8,2.8,5.7,2.2,5.0,1.5,1.9,0.7,3.4,4.1,2.1,1.5,0.6,1.2,1.2,13.6,.460,.486,.430,.560,.776,.583
2908,Wesley Person,1998-99,27,CLE,NBA,45,42,1342,5.3,11.7,3.3,6.4,2.0,5.4,0.9,1.4,0.5,3.3,3.8,2.1,1.0,0.4,1.1,1.4,13.5,.453,.519,.375,.539,.604,.546
2909,Wesley Person,1999-00,28,CLE,NBA,79,38,2056,4.9,11.5,3.0,7.1,1.9,4.4,1.1,1.3,0.8,3.9,4.7,2.6,0.7,0.3,1.1,2.1,12.7,.428,.431,.424,.509,.792,.528
2910,Wesley Person,2001-02,30,CLE,NBA,78,78,2793,6.0,12.2,4.2,8.0,1.8,4.2,1.3,1.6,0.6,3.1,3.8,2.2,1.0,0.5,1.0,1.2,15.2,.495,.521,.444,.570,.798,.589
2911,Chuck Person,1986-87,22,IND,NBA,82,78,2956,7.7,16.5,7.1,14.9,0.6,1.7,2.7,3.6,2.0,6.2,8.2,3.6,1.1,0.2,2.6,3.8,18.8,.468,.480,.355,.486,.747,.518
2912,Chuck Person,1987-88,23,IND,NBA,79,71,2807,7.4,16.1,6.6,13.8,0.8,2.3,1.7,2.5,2.2,4.7,6.9,4.0,0.9,0.1,2.7,3.4,17.2,.459,.480,.333,.483,.670,.501
2913,Chuck Person,1988-89,24,IND,NBA,80,79,3012,8.5,17.4,7.7,14.9,0.8,2.5,2.9,3.7,1.7,4.4,6.2,3.5,1.0,0.2,3.7,3.3,20.7,.489,.519,.307,.511,.792,.544
2914,Chuck Person,1989-90,25,IND,NBA,77,73,2714,8.0,16.5,6.8,13.1,1.2,3.4,2.8,3.6,1.7,4.2,5.9,3.1,0.7,0.3,2.3,2.9,20.1,.487,.517,.372,.525,.781,.557
2915,Chuck Person,1990-91,26,IND,NBA,80,79,2566,8.7,17.3,7.7,14.4,1.0,2.8,2.3,3.2,1.7,4.2,5.9,3.3,0.8,0.2,2.6,3.1,20.7,.504,.536,.340,.532,.721,.553
2916,Chuck Person,1991-92,27,IND,NBA,81,81,2923,7.6,15.8,6.0,11.5,1.6,4.4,1.6,2.4,1.4,3.8,5.2,4.7,0.8,0.2,2.7,3.0,18.4,.480,.520,.373,.531,.675,.546
