
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1301,Jason Terry,2005-06,28,DAL,NBA,80,80,2798,6.6,14.1,4.4,8.8,2.2,5.4,2.2,2.7,0.4,1.6,2.0,3.9,1.3,0.3,1.7,2.5,17.6,.470,.505,.411,.547,.800,.575
1302,Jason Terry,2006-07,29,DAL,NBA,81,80,2846,6.5,13.4,4.5,8.8,2.0,4.7,2.0,2.5,0.5,2.4,2.9,5.3,1.0,0.2,1.9,2.2,17.1,.484,.508,.438,.560,.804,.587
1303,Jason Terry,2007-08,30,DAL,NBA,82,34,2579,6.6,14.1,4.7,9.0,1.9,5.1,2.7,3.1,0.4,2.5,2.9,3.7,1.2,0.3,1.3,2.4,17.7,.467,.519,.375,.535,.857,.574
1304,Jason Terry,2008-09,31,DAL,NBA,74,11,2491,7.8,16.9,5.4,10.3,2.4,6.6,2.9,3.3,0.6,2.0,2.6,3.6,1.4,0.3,1.7,2.0,20.9,.463,.525,.366,.535,.880,.571
1305,Jason Terry,2009-10,32,DAL,NBA,77,12,2540,6.5,14.8,4.5,9.5,1.9,5.3,3.3,3.8,0.3,1.7,2.0,4.1,1.3,0.2,1.5,2.0,18.1,.438,.479,.365,.503,.866,.552
1306,Jason Terry,2010-11,33,DAL,NBA,82,10,2564,6.9,15.3,5.1,10.4,1.8,4.9,2.6,3.0,0.3,1.8,2.1,4.7,1.3,0.2,2.3,2.0,18.2,.451,.493,.362,.509,.850,.545
1307,Jason Terry,2011-12,34,DAL,NBA,63,1,2000,6.4,14.9,3.9,8.4,2.5,6.6,1.8,2.0,0.3,2.4,2.7,4.1,1.3,0.2,2.3,1.2,17.1,.430,.471,.378,.513,.883,.540
1308,Jason Terry,2012-13,35,BOS,NBA,79,24,2124,4.8,11.0,2.7,5.4,2.1,5.6,1.9,2.2,0.3,2.4,2.7,3.4,1.1,0.2,1.7,1.9,13.5,.434,.498,.372,.529,.870,.566
1309,Jason Terry,2014-15,37,HOU,NBA,77,18,1641,4.1,9.8,1.4,2.7,2.8,7.1,0.9,1.1,0.3,2.3,2.7,3.2,1.4,0.4,1.6,2.5,11.9,.422,.504,.390,.563,.813,.579
1310,Jason Terry,2015-16,38,HOU,NBA,72,7,1258,4.3,10.8,1.7,3.3,2.7,7.5,0.8,0.9,0.4,1.9,2.3,2.9,1.3,0.3,1.4,2.6,12.1,.402,.504,.356,.525,.818,.540
1311,Ira Terrell,1976-77,22,PHO,NBA,78,,1751,5.7,11.2,5.7,11.2,,,2.3,3.6,2.0,5.9,8.0,2.1,0.8,1.0,,3.4,13.7,.508,.508,,.508,.631,.534
1312,Garrett Temple,2013-14,27,WAS,NBA,75,0,638,2.9,8.0,2.5,6.3,0.3,1.6,1.7,2.4,1.2,2.7,3.8,4.1,2.0,0.6,2.4,4.1,7.8,.362,.402,.207,.383,.698,.431
1313,Garrett Temple,2015-16,29,WAS,NBA,80,43,1951,3.7,9.3,2.1,4.6,1.6,4.8,1.7,2.3,0.7,3.2,3.9,2.6,1.3,0.3,1.2,3.6,10.7,.398,.453,.345,.486,.728,.520
1314,Sebastian Telfair,2006-07,21,BOS,NBA,78,30,1578,4.0,10.8,3.2,7.9,0.8,2.9,2.1,2.5,0.4,2.1,2.5,5.0,1.0,0.3,2.2,3.8,10.9,.371,.402,.289,.410,.818,.458
1315,Sebastian Telfair,2008-09,23,MIN,NBA,75,43,2095,4.6,12.0,3.3,8.4,1.3,3.6,2.3,2.7,0.5,1.6,2.2,5.9,1.3,0.2,2.5,3.2,12.7,.383,.399,.346,.435,.819,.481
1316,Sebastian Telfair,2011-12,26,PHO,NBA,60,1,895,5.7,13.8,4.3,9.5,1.3,4.2,2.1,2.7,0.8,2.9,3.7,5.6,1.6,0.5,2.7,4.8,14.8,.412,.456,.314,.461,.791,.495
1317,Mirza Teletovic,2013-14,28,BRK,NBA,72,7,1396,5.7,13.6,2.2,4.6,3.5,9.0,1.1,1.6,1.5,5.3,6.9,1.5,0.7,0.6,1.4,3.7,16.0,.418,.472,.390,.546,.710,.559
1318,Mirza Teletovic,2015-16,30,PHO,NBA,79,1,1686,7.1,16.6,3.2,6.8,3.9,9.8,2.6,3.3,1.2,5.3,6.4,1.9,0.7,0.4,1.8,3.4,20.6,.427,.476,.393,.544,.774,.571
1319,Jeff Teague,2009-10,21,ATL,NBA,71,3,719,4.5,11.4,4.2,9.8,0.4,1.6,2.1,2.5,0.3,3.1,3.4,6.1,1.7,0.6,2.5,4.1,11.4,.396,.426,.219,.412,.837,.459
1320,Jeff Teague,2010-11,22,ATL,NBA,70,7,963,5.0,11.4,4.3,9.6,0.7,1.8,2.9,3.6,0.4,3.4,3.8,5.2,1.7,0.9,2.4,3.1,13.5,.438,.449,.375,.467,.794,.521
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1321,Jeff Teague,2011-12,23,ATL,NBA,66,66,2183,5.3,11.1,4.4,8.6,0.8,2.5,2.3,3.1,0.3,2.3,2.6,5.3,1.7,0.6,2.2,2.4,13.7,.476,.514,.342,.514,.757,.551
1322,Jeff Teague,2012-13,24,ATL,NBA,80,78,2628,6.0,13.3,4.8,9.9,1.2,3.4,2.7,3.1,0.3,2.1,2.5,7.9,1.6,0.4,3.2,2.5,16.0,.451,.482,.359,.496,.881,.543
1323,Jeff Teague,2013-14,25,ATL,NBA,79,79,2542,6.5,14.7,5.4,11.5,1.0,3.2,4.5,5.3,0.5,2.5,2.9,7.5,1.3,0.2,3.3,2.2,18.5,.438,.469,.329,.474,.846,.541
1324,Jeff Teague,2014-15,26,ATL,NBA,73,72,2228,6.6,14.3,5.4,11.0,1.1,3.3,4.4,5.2,0.5,2.5,3.0,8.3,2.0,0.5,3.3,2.2,18.8,.460,.496,.343,.500,.862,.566
1325,Jeff Teague,2015-16,27,ATL,NBA,79,78,2255,6.9,15.8,5.2,11.4,1.8,4.4,4.2,5.0,0.5,2.9,3.4,7.5,1.5,0.4,3.5,2.7,19.8,.439,.454,.400,.495,.837,.551
1326,Terry Teagle,1982-83,22,HOU,NBA,73,44,1708,7.0,16.4,6.8,15.7,0.2,0.6,1.8,2.6,1.6,2.5,4.1,3.2,1.1,0.4,2.9,3.6,16.0,.428,.431,.345,.434,.696,.458
